BasinID,Rowid_,BASINID_1,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN,area_m2_r
-1,1,-1,95527,663.38190694500,-1,-1,0,-1.00000000000,0.00000000000,-95527.00000000000,1,-1,-1,-1,2167461182680.00000000000
1,2,1,11,0.07638888457,1,1,0,1.00000000000,0.00000000000,11.00000000000,1,1,1,1,811437783.11899996000
2,3,2,17,0.11805554888,2,2,0,2.00000000000,0.00000000000,34.00000000000,1,2,2,2,1251239431.02000000000
3,4,3,15,0.10416666078,3,3,0,3.00000000000,0.00000000000,45.00000000000,1,3,3,3,1105122840.14000010000
4,5,4,33,0.22916665371,4,4,0,4.00000000000,0.00000000000,132.00000000000,1,4,4,4,2437873502.23000000000
5,6,5,42,0.29166665018,5,5,0,5.00000000000,0.00000000000,210.00000000000,1,5,5,5,3109835612.03000020000
6,7,6,26,0.18055554535,6,6,0,6.00000000000,0.00000000000,156.00000000000,1,6,6,6,1926058869.08999990000
7,8,7,6,0.04166666431,7,7,0,7.00000000000,0.00000000000,42.00000000000,1,7,7,7,446265313.16100001000
8,9,8,2,0.01388888810,8,8,0,8.00000000000,0.00000000000,16.00000000000,1,8,8,8,149364824.14300001000
9,10,9,32,0.22222220966,9,9,0,9.00000000000,0.00000000000,288.00000000000,1,9,9,9,2395328645.30999990000
10,11,10,13,0.09027777267,10,10,0,10.00000000000,0.00000000000,130.00000000000,1,10,10,10,972916332.77499998000
11,12,11,47,0.32638887044,11,11,0,11.00000000000,0.00000000000,517.00000000000,1,11,11,11,3533656728.61000010000
12,13,12,13,0.09027777267,12,12,0,12.00000000000,0.00000000000,156.00000000000,1,12,12,12,975316176.61099994000
13,14,13,11,0.07638888457,13,13,0,13.00000000000,0.00000000000,143.00000000000,1,13,13,13,823758647.98599994000
15,15,15,42,0.29166665018,15,15,0,15.00000000000,0.00000000000,630.00000000000,1,15,15,15,3162435662.80999990000
