system:index,count,hybas6ID,max,mean,min,sum,.geo
0,2536,1060000010,0.3125818598648754,0.004577224476293844,0.0,8632266.192452563,
1,3921,1060000100,0.003364086935457057,5.329246558461499E-5,0.0,155922.94232849643,
2,1194,1060000110,0.003364086935457057,1.5564005345397182E-4,0.0,138896.74264560675,
3,5605,1060000150,2.1907821215921665E-4,3.075996368726253E-5,0.0,129384.65588740357,
4,21769,1060000160,0.014755606675382863,2.1418946786487322E-4,0.0,3554916.2042447366,
5,2382,1060000790,1.1143522080381842E-4,2.9216299620265165E-6,0.0,5346.09452461523,
6,11168,1060000800,0.011898448218483695,5.115466293264372E-5,0.0,442002.0007444628,
7,2509,1060001080,6.056673716330582E-5,2.7005112195658146E-6,0.0,5281.802414691274,
8,8353,1060001090,5.789916555527262E-4,2.027523489488225E-5,0.0,132840.355807971,
9,14779,1060001370,2.708889036673619E-4,9.320731124697855E-6,0.0,108561.26966043617,
10,6961,1060001380,2.708889036673619E-4,9.351223684554824E-5,0.0,514763.45849214663,
11,17205,1060001510,3.159460152109393E-4,3.7415092451734345E-5,0.0,512167.7851576962,
12,20250,1060001520,6.180862307801052E-4,5.410877198162189E-5,0.0,874660.6977608851,
13,5660,1060002290,0.0029412118872907014,2.8200529380828537E-4,0.0,1288253.3358488004,
14,13788,1060002300,0.12937417762383185,0.0014033220406997476,0.0,1.5694969180917222E7,
15,5223,1060002760,0.026638234214882015,8.854501430872878E-4,0.0,3767208.511339916,
16,212,1060002770,0.0027992303201257447,0.0010611803745600185,0.0,182595.66891966294,
17,2946,1060002800,0.007876747424211976,0.0014566341111299805,1.7963350716416554E-4,3492716.1667194543,
18,19956,1060002810,0.007876747424211976,3.8871299829531153E-4,0.0,6361843.986193091,
19,2485,1060003550,2.910774695772317E-4,9.364940068987745E-5,0.0,191315.35989088326,
20,1794,1060003560,3.451639148546297E-4,5.9072975940151115E-5,0.0,87164.57915850337,
21,2707,1060003650,0.002404798328561785,2.348696337121024E-4,0.0,523726.97680115385,
22,2700,1060003660,0.007890957734288644,2.204366111817476E-4,0.0,490697.48760344426,
23,3449,1060003770,0.01510256431477266,4.661961299041874E-4,5.919591961805816E-6,1328056.8775755158,
24,5594,1060003780,6.457092713650391E-4,7.450045159753075E-5,0.0,359484.3558776735,
25,39164,1060003990,0.007227993419820097,1.0878892329975325E-4,0.0,3554292.951074261,
26,4819,1060005140,1.8590637176216403E-4,3.573860768377277E-5,0.0,144789.16459844634,
27,7180,1060005150,6.87092372158275E-5,2.091337967075193E-5,0.0,126219.5525328845,
28,4624,1060005300,2.539116868114148E-4,3.4140525109586376E-5,7.074653241837541E-6,132910.38724604476,
29,1326,1060005310,6.737316460776131E-5,2.5402562799448245E-5,4.786204137933656E-6,28335.314594784562,
30,4584,1060005340,0.006762894492210531,5.240761390377994E-5,7.14371014316471E-6,202385.50292197484,
31,2017,1060005350,3.5544333580599054E-5,1.9112196404801805E-5,5.953720103674729E-6,32442.914481135645,
32,4443,1060005420,0.006762894492210531,2.1174948787557117E-4,6.71520011329193E-6,792754.7967641193,
33,6741,1060005430,0.0022847844195191458,3.6365511340683786E-5,0.0,206320.23201278003,
34,6306,1060005720,3.166551895249375E-5,5.430818568779156E-6,0.0,28824.383279625323,
35,3588,1060005730,1.5939538044478675E-5,4.347181276721375E-6,0.0,13111.05548863611,
