system:index,count,hybas6ID,max,mean,min,sum,.geo
0,2536,1060000010,0.48118568027871933,0.0059056505964877794,0.0,1.1137567810477221E7,
1,3921,1060000100,0.003364086935457057,5.329246558461499E-5,0.0,155922.94232849643,
2,1194,1060000110,0.003364086935457057,1.5564005345397182E-4,0.0,138896.74264560675,
3,5605,1060000150,2.1907821215921665E-4,3.075996368726253E-5,0.0,129384.65588740357,
4,21769,1060000160,0.026254544757266855,2.428070855426309E-4,0.0,4029884.622737294,
5,2382,1060000790,1.1143522080381842E-4,2.9216299620265165E-6,0.0,5346.09452461523,
6,11168,1060000800,0.029746125958037977,1.0520035050771164E-4,0.0,908983.907579512,
7,2509,1060001080,6.056673716330582E-5,2.7005112195658146E-6,0.0,5281.802414691274,
8,8353,1060001090,5.789916555527262E-4,2.027523489488225E-5,0.0,132840.355807971,
9,14779,1060001370,2.708889036673619E-4,9.320731124697855E-6,0.0,108561.26966043617,
10,6961,1060001380,2.708889036673619E-4,9.351223684554824E-5,0.0,514763.45849214663,
11,17205,1060001510,3.159460152109393E-4,3.7415092451734345E-5,0.0,512167.7851576962,
12,20250,1060001520,6.180862307801052E-4,5.410877198162189E-5,0.0,874660.6977608851,
13,5660,1060002290,0.0029412118872907014,2.8200529380828537E-4,0.0,1288253.3358488004,
14,13788,1060002300,0.32343547943277323,0.002968437099725803,0.0,3.3199456321840808E7,
15,5223,1060002760,0.06659558553720506,0.0012392238665456558,0.0,5272363.140886795,
16,212,1060002770,0.006998076349149404,0.002355802402306511,0.0,405359.2827421605,
17,2946,1060002800,0.019691869291603367,0.002421975637194168,1.7963350716416554E-4,5807411.345644281,
18,19956,1060002810,0.019691869291603367,4.4455081737482667E-4,0.0,7275709.730510897,
19,2485,1060003550,3.9362508122145967E-4,9.71979455937848E-5,0.0,198564.64435377225,
20,1794,1060003560,3.9362508122145967E-4,5.987288130429328E-5,0.0,88344.87206439524,
21,2707,1060003650,0.002404798328561785,2.542470734714427E-4,0.0,566936.0020927995,
22,2700,1060003660,0.016518730557936324,3.717413065848823E-4,0.0,827505.5772347467,
23,3449,1060003770,0.016518730557936324,5.190074123416842E-4,5.919591961805816E-6,1478500.826711505,
24,5594,1060003780,6.457092713650391E-4,7.537015951616393E-5,0.0,363680.9262907033,
25,39164,1060003990,0.018069983549550243,1.9441195756065717E-4,0.0,6351722.486106814,
26,4819,1060005140,1.8590637176216403E-4,3.5902451709429785E-5,0.0,145452.95205791405,
27,7180,1060005150,1.46641182619178E-4,2.2785638311460796E-5,0.0,137519.28751482026,
28,4624,1060005300,6.347792170285371E-4,5.4272158796236446E-5,7.074653241837541E-6,211283.61731791808,
29,1326,1060005310,1.3098090771702673E-4,3.163343466158265E-5,4.786204137933656E-6,35285.546971228265,
30,4584,1060005340,0.009826490527144103,5.366435240651759E-5,7.14371014316471E-6,207238.72242525057,
31,2017,1060005350,3.5544333580599054E-5,1.9112196404801805E-5,5.953720103674729E-6,32442.914481135645,
32,4443,1060005420,0.009826490527144103,2.7247417155397787E-4,6.71520011329193E-6,1020097.8933213528,
33,6741,1060005430,0.005711961489960048,7.348249356539087E-5,0.0,416903.94448895945,
34,6306,1060005720,3.166551895249375E-5,5.445694054346141E-6,0.0,28903.335778594494,
35,3588,1060005730,1.5939538044478675E-5,4.347181276721375E-6,0.0,13111.05548863611,
36,5675,1060005860,3.2054923338984544E-5,1.0044911508749736E-5,0.0,47987.30123780476,
37,567,1060005870,1.1449964773820846E-5,3.487865069517569E-6,0.0,1662.0848684625958,
38,4941,1060005880,3.005349957340299E-5,9.160389520991422E-6,8.734903425347958E-7,38082.50022768249,
39,17030,1060005890,0.0012916753818182376,9.7883475968978E-6,0.0,139954.12027600058,
40,5677,1060006520,4.790657267288171E-5,1.0653185819205856E-5,0.0,50718.45194748288,
41,13172,1060006530,4.923520037097498E-5,1.0077915225106397E-5,0.0,111467.478709419,
42,33905,1060006850,1.0653158239180987E-4,1.2992207675696835E-5,0.0,370453.2447193333,
43,8315,1060006860,2.8294479638453487E-5,1.7207026360770534E-5,0.0,120568.25249976227,
44,30830,1060007000,0.0011384532823336272,2.348051423804144E-5,0.0,609878.233167107,
45,806,1060007010,2.0498750289893473E-5,1.595655923080833E-5,2.797073928033329E-6,11223.233005700322,
46,7692,1060007060,5.148336534938216E-5,1.7359709719145247E-5,3.4424709986255424E-6,112737.30979178559,
47,9177,1060007070,5.211122102261565E-5,1.6089857662416078E-5,0.0,124836.8480659793,
48,6769,1060007260,5.211122102261565E-5,1.0723073227537471E-5,1.8071042147777072E-6,61401.835543287096,
49,27,1060007270,5.1008011296185704E-5,2.4592677348943066E-5,1.962721665893735E-6,562.3254163350153,
50,3218,1060007290,5.1008011296185704E-5,1.2047285440942685E-5,4.059220173533148E-6,32827.744654758666,
51,1169,1060007300,2.5992520155132316E-5,1.0895198344847169E-5,0.0,10793.621685466518,
52,2951,1060007370,2.9434790107778513E-5,1.6860569641926932E-5,1.5011656303974018E-6,42159.38363094225,
53,37,1060007380,1.9688616482470577E-5,1.737200993140439E-5,1.5011656303974018E-6,545.2233372767306,
54,2413,1060007390,3.5986063334479545E-5,2.0618672558392352E-5,3.2428696313154346E-6,42173.72537062064,
55,779,1060007400,3.649425889250999E-5,2.2288016499682955E-5,0.0,14731.883765466882,
56,5204,1060007450,4.732398279846171E-5,1.981500829768298E-5,3.930151984134726E-6,87425.9986950592,
57,20422,1060007460,0.027709768211776512,1.4534977795361697E-4,0.0,2535916.1216050456,
58,1656,1060008100,0.006416782611780265,8.653360956280215E-5,5.35451695587457E-7,122491.3187505801,
59,327,1060008110,0.006416782611780265,7.110227104461882E-4,0.0,198732.08332718036,
60,12545,1060008130,6.776100493544252E-4,2.239488394825342E-5,0.0,240144.16066563234,
61,154,1060008140,1.0726941386817546E-5,4.416395647971342E-6,0.0,622.8138721774363,
62,13065,1060008150,9.603135961226757E-4,7.673567591941276E-5,0.0,856935.2211715402,
63,9005,1060008160,0.002575025586367994,6.186813775012794E-5,0.0,476157.36599663517,
64,6687,1060008330,0.0016053811829013541,1.5703295297017544E-4,0.0,897369.2950410449,
65,528,1060008340,0.002575025586367994,6.701689770549614E-4,0.0,302285.27678058844,
66,11426,1060008360,0.0016053811829013541,1.9416701294009333E-4,0.0,1895953.6637221775,
67,3709,1060008370,0.0025800768930717153,3.329026245370802E-4,0.0,1054722.8689311794,
68,2410,1060008470,0.0031756288004369995,2.457427070844612E-4,7.69675818904204E-6,505855.5763830948,
69,1731,1060008480,0.004149366788455624,7.247988771952094E-4,0.0,1071239.5021336274,
70,35,1060008570,0.02963617244551118,0.009246562058360802,0.004149366788455624,276232.18386498716,
71,962,1060008580,0.02963617244551118,0.003114331838015475,5.9707925939760405E-6,2556642.1123258923,
72,8998,1060008640,0.015755510137046045,8.86082988091563E-4,0.0,6803361.437870197,
73,1609,1060008650,0.06669989370912344,0.013140780193098838,5.879526733495453E-5,1.8033929607599515E7,
74,4584,1060008720,0.013066653212222567,9.330738812333095E-4,0.0,3648151.2830733075,
75,130,1060008730,0.06669989370912344,0.005311398016566025,0.0011248138787415666,588721.5887497882,
76,5124,1060008740,0.003395489084978903,8.407349790631601E-4,0.0,3674171.1106833816,
77,3766,1060008760,0.06669989370912344,0.002802413005080032,0.0,8996017.268424798,
78,7822,1060008880,0.0028045504749946537,3.8606312913005926E-4,0.0,2574037.4005649053,
79,4481,1060008890,0.0015539660203848999,1.0120881114680205E-4,0.0,386231.7940296179,
80,3562,1060009010,3.795371785699343E-4,6.646475219408843E-5,1.0675836737070153E-5,201510.08244744217,
81,9106,1060009020,0.0025425129750469588,2.0116340439156873E-4,0.0,1558250.8580696713,
82,8261,1060009130,0.0015147785455783287,2.1610604499502177E-4,0.0,1517647.496592697,
83,289,1060009140,0.0011672415796205682,6.788545163380224E-4,0.0,166706.6090616605,
84,20668,1060009170,0.00235053236260132,3.4410506515227424E-4,5.968689863600319E-6,6035412.113054134,
85,8986,1060009180,0.2622182083813343,0.0050599434539933714,0.0,3.9184194724950925E7,
86,6659,1060009450,0.0012161440032952223,3.7594725112858007E-4,3.529096650588969E-6,2120353.3276639604,
87,4101,1060009460,0.003367044972850384,4.635541968067838E-4,0.0,1624804.975011086,
88,19773,1060009660,0.001583766617386436,2.5435988076966516E-4,1.696128333946775E-5,4245568.213989907,
89,131,1060009670,0.0014809652272744125,5.482342936231481E-4,0.0,78285.6684067622,
90,4880,1060009680,0.0014809652272744125,2.58085432075495E-4,4.496983106910795E-5,1064359.520998216,
91,1891,1060009690,6.346602530007481E-4,2.6359273797644644E-4,4.49271245172957E-6,426241.95250979403,
92,20274,1060009800,0.001583766617386436,2.7591500664128393E-4,4.7579998310247104E-5,4711457.8485892415,
93,1796,1060009810,0.00199103685578623,5.586440453009375E-4,0.0,845408.6883683144,
94,7144,1060009880,0.0027491693165762414,8.535077530106295E-4,1.2151802386841E-4,5130081.890045535,
95,6695,1060009890,0.0024206054296782636,8.294001941055201E-4,0.0,4670022.4511367185,
96,21194,1060010030,0.004389660663253875,4.214607385731276E-4,7.302222149360785E-6,7497033.101676958,
97,4237,1060010040,4.2759131476267074E-4,8.362931911111413E-5,0.0,298176.93400076305,
98,3062,1060010180,4.2759131476267074E-4,9.022793647864607E-5,1.4740280006769484E-5,231758.98320687615,
99,3098,1060010190,0.0019259027625288885,2.2368254777090476E-4,0.0,580965.600613961,
100,29472,1060010290,0.001306214386753766,6.231094821065917E-5,2.9070090207097577E-6,1533321.3580177918,
101,3488,1060010300,5.779856285024008E-4,1.2701792502418113E-4,1.5226833809735554E-5,395804.67277910776,
102,12305,1060010400,0.0013493797027509366,1.0743509621388215E-4,5.967205458634333E-6,1102586.7080974532,
103,5022,1060010410,0.0030875025646338486,3.044157435893711E-4,0.0,1274207.9414218029,
104,6600,1060010560,0.0013493797027509366,1.4405247244639907E-4,1.676022452445082E-5,791685.5143792382,
105,6,1060010570,3.229531460096416E-4,2.832437808782871E-4,2.633904499030674E-4,1413.6041925364664,
106,19386,1060010590,0.0026268826819769884,1.892543967043908E-4,2.5030299024106094E-5,3047787.788522107,
107,4254,1060010600,6.348755783113426E-4,2.6871743633926417E-4,1.5678391566369004E-6,949246.9681965236,
108,11369,1060010730,0.004220387024749879,1.995575731220473E-4,4.241020103883708E-5,1879860.29517933,
109,4828,1060010740,0.011268945425871021,5.503374651111775E-4,0.0,2199313.4889265634,
110,9748,1060010870,0.024367507198525047,3.4593547316891975E-4,2.2201834839075138E-5,2788414.7511295844,
111,2892,1060010880,5.761089462242781E-4,1.8114309958077506E-4,0.0,436215.61880747875,
112,4522,1060010980,5.885546795247624E-4,1.5293958484686857E-4,1.1396228820379713E-5,570553.5771872043,
113,881,1060010990,5.885546795247624E-4,1.5443390248545666E-4,0.0,112043.71753642328,
114,3489,1060011020,0.024367507198525047,4.452410408122846E-4,8.983534790364716E-5,1280115.5443567527,
115,3366,1060011030,0.0012568458154606998,4.7065040419761497E-4,0.0,1302516.7168765538,
116,12385,1060011120,0.024367507198525047,3.333509529198118E-4,1.803076775092766E-5,3402846.753979915,
117,3842,1060011130,7.695384217995697E-4,2.9087255947910987E-4,0.0,917059.9119506313,
118,17976,1060011180,8.424650728388809E-4,1.4973410095614224E-4,0.0,2217245.9511618973,
119,35035,1060011190,0.0010979905519407575,1.5092504319177494E-4,0.0,4338321.318052616,
120,27987,1060011420,0.0042455141478596695,2.1795239310690907E-4,1.2166782167585866E-5,5012474.317659898,
121,4764,1060011430,0.0011700231587180238,4.14173197630757E-4,1.9132293925814636E-6,1610829.8240049041,
122,23322,1060011500,0.013022890494769096,1.9833307543124228E-4,1.1667248287722295E-5,3778031.4687934644,
123,502,1060011510,0.013022890494769096,7.137012176968066E-4,6.385883082365441E-6,291525.7173158733,
124,5402,1060011530,0.0010655400378941392,2.034215977081478E-4,0.0,896155.6976483586,
125,13683,1060011660,0.0010440101629480964,8.789195699194847E-5,2.220710474357474E-6,978727.8820696111,
126,21695,1060011670,0.021697023729813445,1.7163626028287524E-4,0.0,3015718.3225913397,
127,399,1060011960,0.00569499057572622,8.514434458247995E-4,7.297607740666977E-5,273953.1016639063,
128,1242,1060011970,4.702925673181186E-4,1.1932180218962722E-4,6.529662425765268E-5,119416.02262225562,
129,35384,1060012020,0.04921053907673443,5.588689951615469E-4,5.8673306948698794E-6,1.5916259167270109E7,
130,20914,1060012030,3.5313291601410174E-4,6.843150909535152E-5,0.0,1146341.6739852987,
131,22208,1060012210,0.003514051759671309,9.243522842614325E-5,0.0,1636738.8575216718,
132,30938,1060012220,0.005692436612103243,1.8557412682549779E-4,0.0,4540167.085369541,
133,25327,1060012540,0.0012909105938297256,1.2966146159295404E-4,4.5814612919950905E-6,2575087.5441071372,
134,4029,1060012550,0.0016584619362765244,4.0007065334292667E-4,4.225408292125063E-6,1259873.110692063,
135,3418,1060012590,0.009990262500812488,7.552777243081191E-4,5.830177486679676E-5,2005473.5948672683,
136,1001,1060012600,4.562629421239191E-4,1.5957711591273806E-4,0.0,123734.22106651505,
137,4222,1060012680,7.977093534309599E-4,2.2086615596239261E-4,5.706813415967212E-6,722286.5954863469,
138,13431,1060012690,0.030908901241070586,9.576052893188036E-4,0.0,9897218.21484779,
139,1099,1060012810,1.0795253043219787E-4,3.08053031627546E-5,8.37235038139179E-6,25942.113289736088,
140,39354,1060012820,0.19157110968290833,0.005883023299274355,0.0,1.7528721225963363E8,
141,38719,1060013070,0.09007277404762036,0.005641517103236267,2.8035868020146167E-6,1.6458021002359012E8,
142,5811,1060013080,0.4457617620226222,0.012084639881412666,0.0,5.251348069932861E7,
143,5982,1060013200,0.4457617620226222,0.025994398073097606,5.190852091191411E-4,1.1603412441488756E8,
144,12861,1060013210,0.9254299940256592,0.023130549630585806,0.0,2.209969170619824E8,
145,9070,1060013420,0.0712272971413701,0.006004545597178868,3.7614054643735794E-5,4.037115994414614E7,
146,8126,1060013430,0.0712272971413701,0.010953147146569135,1.8854025199729088E-4,6.541600689469749E7,
147,26970,1060013640,0.042683183956936245,0.004908800160102047,2.7793932428496227E-5,9.757809994706774E7,
148,7597,1060013650,0.11983397705307496,0.013551077959209653,0.0012414645149983468,7.513714310076907E7,
