system:index,count,hybas6ID,max,mean,min,sum,.geo
0,2536,1060000010,0.1960654447901656,0.00147329332728628,0.0,2778509.170036793,
1,3921,1060000100,0.0,0.0,0.0,0.0,
2,1194,1060000110,0.0,0.0,0.0,0.0,
3,5605,1060000150,0.0,0.0,0.0,0.0,
4,21769,1060000160,0.0,0.0,0.0,0.0,
5,2382,1060000790,0.0,0.0,0.0,0.0,
6,11168,1060000800,0.0,0.0,0.0,0.0,
7,2509,1060001080,0.0,0.0,0.0,0.0,
8,8353,1060001090,0.0,0.0,0.0,0.0,
9,14779,1060001370,0.0,0.0,0.0,0.0,
10,6961,1060001380,0.0,0.0,0.0,0.0,
11,17205,1060001510,0.0,0.0,0.0,0.0,
12,20250,1060001520,0.0,0.0,0.0,0.0,
13,5660,1060002290,0.0013120727884546215,1.9202724699998362E-5,0.0,87721.66585275726,
14,13788,1060002300,0.8958065214012194,0.00690338388177404,0.0,7.720850533670644E7,
15,5223,1060002760,0.8958065214012194,0.03754161317738693,0.0,1.597233743711089E8,
16,212,1060002770,0.4506506643951534,0.2606845562252042,0.0,4.485558917418E7,
17,2946,1060002800,0.8958065214012194,0.08217380567381179,0.0,1.9703628891069844E8,
18,19956,1060002810,0.23221484204487305,3.2508727556907163E-4,0.0,5320518.06380754,
19,2485,1060003550,0.034498307667460995,9.404442857591196E-4,0.0,1921223.5813782234,
20,1794,1060003560,0.08980735379796825,0.0024012172366735434,0.0,3543093.7170804464,
21,2707,1060003650,0.08980735379796825,0.007607880302114475,0.0,1.6964526607877754E7,
22,2700,1060003660,0.06188273159096938,0.0032866433512325215,0.0,7316151.461649308,
23,3449,1060003770,0.07360563089543065,0.006938889800442641,0.0,1.9766874349880088E7,
24,5594,1060003780,0.026915090469056283,3.502673903316018E-4,0.0,1690132.6703163618,
25,39164,1060003990,0.012298155136687505,7.359988164465976E-5,0.0,2404615.585804841,
26,4819,1060005140,0.0,0.0,0.0,0.0,
27,7180,1060005150,0.0,0.0,0.0,0.0,
28,4624,1060005300,0.1425845132873012,0.016419011695772544,0.0,6.391984879194806E7,
29,1326,1060005310,0.0,0.0,0.0,0.0,
30,4584,1060005340,0.18708776747159203,0.03342402696216056,0.0,1.2907549118405129E8,
31,2017,1060005350,0.0,0.0,0.0,0.0,
32,4443,1060005420,0.18135440153314872,0.015489187248183057,0.0,5.798893594581085E7,
33,6741,1060005430,0.01822820792755413,2.1303417992394385E-4,0.0,1208652.368910536,
34,6306,1060005720,0.010768608268520061,2.1469372602557346E-5,0.0,113949.93532408043,
35,3588,1060005730,0.0,0.0,0.0,0.0,
36,5675,1060005860,0.0,0.0,0.0,0.0,
37,567,1060005870,0.0,0.0,0.0,0.0,
38,4941,1060005880,0.0,0.0,0.0,0.0,
39,17030,1060005890,0.0,0.0,0.0,0.0,
40,5677,1060006520,0.0,0.0,0.0,0.0,
41,13172,1060006530,0.0,0.0,0.0,0.0,
42,33905,1060006850,0.0,0.0,0.0,0.0,
43,8315,1060006860,0.0,0.0,0.0,0.0,
44,30830,1060007000,0.0,0.0,0.0,0.0,
45,806,1060007010,0.0,0.0,0.0,0.0,
46,7692,1060007060,0.0,0.0,0.0,0.0,
47,9177,1060007070,0.0,0.0,0.0,0.0,
48,6769,1060007260,0.0,0.0,0.0,0.0,
49,27,1060007270,0.0,0.0,0.0,0.0,
50,3218,1060007290,0.0,0.0,0.0,0.0,
51,1169,1060007300,0.0,0.0,0.0,0.0,
52,2951,1060007370,0.0,0.0,0.0,0.0,
53,37,1060007380,0.0,0.0,0.0,0.0,
54,2413,1060007390,0.0,0.0,0.0,0.0,
55,779,1060007400,0.0,0.0,0.0,0.0,
56,5204,1060007450,0.0,0.0,0.0,0.0,
57,20422,1060007460,0.4014472512699773,0.001266657405541606,0.0,2.2099359080468733E7,
58,1656,1060008100,0.4138658338850557,0.011540884739955832,0.0,1.6336521710904326E7,
59,327,1060008110,0.0,0.0,0.0,0.0,
60,12545,1060008130,0.017459004693950047,2.5245131075780696E-4,0.0,2707078.4680534326,
61,154,1060008140,0.0,0.0,0.0,0.0,
62,13065,1060008150,0.0,0.0,0.0,0.0,
63,9005,1060008160,0.0,0.0,0.0,0.0,
64,6687,1060008330,0.04096224722828306,0.00103578367375323,0.0,5919015.3884929605,
65,528,1060008340,0.0,0.0,0.0,0.0,
66,11426,1060008360,0.04096224722828306,3.0819135304205705E-4,0.0,3009350.126367053,
67,3709,1060008370,0.0,0.0,0.0,0.0,
68,2410,1060008470,0.014595763600876345,4.902801806805043E-4,0.0,1009230.2080081813,
69,1731,1060008480,0.0,0.0,0.0,0.0,
