system:index,count,hybas6ID,max,mean,min,sum,.geo
0,2536,1060000010,2.458559942442696E-5,1.5343470167209478E-6,0.0,2893.651370722156,
1,3921,1060000100,2.9708273780906933E-5,7.453380599944983E-6,0.0,21807.07949404874,
2,1194,1060000110,1.8997576909201474E-6,5.757932746195645E-7,0.0,513.8510846474135,
3,5605,1060000150,1.8460298711924678E-5,2.383774120972504E-6,0.0,10026.793187764435,
4,21769,1060000160,1.2578727166471062E-5,3.0308067917735606E-7,0.0,5030.249285089987,
5,2382,1060000790,2.9891196176765813E-6,1.2640819884584144E-7,0.0,231.3058766851778,
6,11168,1060000800,3.502836883702521E-6,3.794896530290811E-7,0.0,3278.9813534992077,
7,2509,1060001080,9.069303034834302E-7,1.0815995064234914E-7,0.0,211.54494168978064,
8,8353,1060001090,3.2169941291745316E-7,4.712920805092066E-8,0.0,308.7836367317485,
9,14779,1060001370,5.025591566690698E-7,3.54912154342175E-8,0.0,413.3765214105583,
10,6961,1060001380,1.046117781591189E-10,9.641997549492871E-11,0.0,0.5307698941634331,
11,17205,1060001510,3.298983023388704E-6,1.709615229469283E-7,0.0,2340.258404222014,
12,20250,1060001520,5.469683523370044E-6,1.5478322265724847E-7,0.0,2502.0490499590405,
13,5660,1060002290,3.137707774597056E-6,2.820387171570306E-7,0.0,1288.4060200056642,
14,13788,1060002300,3.4310893654878466E-4,4.188615496825444E-6,0.0,46846.118871337014,
15,5223,1060002760,5.72568232561028E-4,1.9401729150878737E-5,0.0,82545.99060434834,
16,212,1060002770,4.139290566454114E-4,6.70997548525691E-5,2.7803034655151146E-10,11545.751236428745,
17,2946,1060002800,5.72568232561028E-4,6.5154066522762E-5,3.435021656019473E-14,156226.37128484712,
18,19956,1060002810,2.281786635017287E-4,1.984375621890277E-6,0.0,32477.144247386233,
19,2485,1060003550,1.1765657542815217E-5,3.570540806618584E-6,0.0,7294.219657479934,
20,1794,1060003560,1.1765657542815217E-5,4.62101798154347E-7,0.0,681.8500020266338,
21,2707,1060003650,1.483935113864384E-5,5.527773421296354E-6,1.0846553870398845E-9,12326.174382874826,
22,2700,1060003660,1.483935113864384E-5,3.208486780601651E-6,0.0,7142.172953076387,
23,3449,1060003770,2.0660107375399325E-5,7.594434734282134E-6,1.3995253515051193E-8,21634.33077454893,
24,5594,1060003780,1.3834834038463625E-4,4.367545341172099E-6,0.0,21074.559819041737,
