system:index,count,hybas6ID,max,mean,min,sum,.geo
0,2536,1060000010,0.6811612318067021,0.033106500509094285,1.2415077033855368E-5,6.2436117471447706E7,
1,3921,1060000100,0.07866979920396984,0.002800568451751022,0.0,8193895.110671034,
2,1194,1060000110,0.07866979920396984,0.008471055344221311,2.7999401178250538E-9,7559763.492570126,
3,5605,1060000150,0.007425537333653875,2.4848682402951104E-4,0.0,1045202.2163122811,
4,21769,1060000160,0.12139499249733184,0.006727597469057281,0.0,1.1165836255532247E8,
5,2382,1060000790,2.2829845837125622E-4,4.6257029938370614E-6,0.0,8464.263363008373,
6,11168,1060000800,0.08966623214767756,0.001034862953518814,0.0,8941736.094594581,
7,2509,1060001080,0.004616746496170461,1.2033241013912986E-5,0.0,23535.248060945418,
8,8353,1060001090,0.022229255852414913,3.9558123139768876E-4,0.0,2591790.0237539746,
9,14779,1060001370,0.022229255852414913,1.1055952326061378E-4,0.0,1287718.9629921694,
10,6961,1060001380,0.022229255852414913,1.7002944427227558E-4,1.1658565992191466E-11,935973.1702670848,
11,17205,1060001510,3.1594611503328693E-4,3.7586053974681375E-5,9.841942231964695E-11,514508.0435619197,
12,20250,1060001520,0.010232235775526656,1.5584060655019004E-4,0.0,2519141.5120447725,
13,5660,1060002290,0.004401387952263687,3.0703730079526816E-4,0.0,1402604.2619200456,
14,13788,1060002300,0.8987484872339766,0.01110212557000009,0.0,1.2416787708752744E8,
15,5223,1060002760,0.8987484872339766,0.03882455022629033,2.7803034655151146E-10,1.6518171825176007E8,
16,212,1060002770,0.4511713061915522,0.2631517801147865,2.7803034655151146E-10,4.5280120580237746E7,
17,2946,1060002800,0.8987484872339766,0.08466251136323653,2.1046275770365646E-4,2.0300370552496228E8,
18,19956,1060002810,0.25213488999997813,7.799356519372182E-4,0.0,1.2764762070356078E7,
19,2485,1060003550,0.03462230316318624,0.0010427932199934475,4.6134499165162415E-11,2130311.125380043,
20,1794,1060003560,0.09015254607473104,0.002461552219775987,0.0,3632120.4391468624,
21,2707,1060003650,0.09015254607473104,0.007952455453123713,2.4166018264468705E-8,1.773288179823019E7,
22,2700,1060003660,0.06416578804220975,0.004442419899088119,0.0,9888939.372075519,
23,3449,1060003770,0.07429965033761901,0.007766789554175189,5.97196550155465E-6,2.212531941486498E7,
24,5594,1060003780,0.027166484216763792,4.320469890005469E-4,0.0,2084740.8333682853,
25,39164,1060003990,0.027469205610274102,3.7110138162205935E-4,0.0,1.212442392870154E7,
26,4819,1060005140,2.1670322783494522E-4,4.352743185501113E-5,2.9052957699432773E-8,176344.320718024,
27,7180,1060005150,1.5781302462446688E-4,3.451039227754E-5,2.270227646571221E-7,208282.273816186,
28,4624,1060005300,0.14264660255387326,0.01648076118882425,7.07466823429954E-6,6.4160241961279966E7,
29,1326,1060005310,1.4412254486361056E-4,3.890002315976084E-5,4.786204137933656E-6,43391.07052616636,
30,4584,1060005340,0.18718854213007574,0.0334898306180222,1.4032123812617704E-5,1.293296089542309E8,
31,2017,1060005350,1.6842804302669615E-4,3.778809523434258E-5,8.74415190986197E-6,64145.21471664936,
32,4443,1060005420,0.18144579321847526,0.01577276222541951,8.862878116989285E-6,5.9050593405773975E7,
33,6741,1060005430,0.018282288674827375,2.9112740583048783E-4,0.0,1651715.3671651245,
34,6306,1060005720,0.01080442341481943,3.3710402721493077E-5,4.82312822367568E-11,178919.9098163344,
35,3588,1060005730,1.9066180111631324E-4,3.1040560524692634E-5,0.0,93618.02177813738,
36,5675,1060005860,4.515844706664985E-5,2.3143484450553642E-5,0.0,110562.78186759265,
37,567,1060005870,1.8790883975978437E-5,6.042449821440037E-6,0.0,2879.430315247008,
38,4941,1060005880,4.461789908982581E-5,2.0295240086794488E-5,8.736818790245082E-7,84373.4301314484,
39,17030,1060005890,0.0012916757749932535,1.549302826357592E-5,0.0,221519.8346375827,
40,5677,1060006520,2.229495185388043E-4,3.1951686032425874E-5,2.8537670497680225E-6,152117.8809962272,
41,13172,1060006530,1.2696453411386438E-4,1.8266714534108382E-5,0.0,202040.26010749306,
42,33905,1060006850,1.1782445445145477E-4,2.027087610377984E-5,3.6467302434336392E-9,577993.5183760886,
43,8315,1060006860,1.1690626040039918E-4,3.036713892950049E-5,0.0,212780.1049049722,
44,30830,1060007000,0.0011417636888025537,3.3392176940277034E-5,0.0,867321.8000032299,
45,806,1060007010,2.5407368667268482E-5,1.716742517201528E-5,2.926068869744142E-6,12074.909761337807,
46,7692,1060007060,5.9652794753932753E-5,2.594482485916387E-5,3.600839739185834E-6,168490.706639834,
47,9177,1060007070,5.484287215615067E-5,2.467792419010343E-5,0.0,191469.33039065136,
48,6769,1060007260,5.523677577979427E-5,2.152818289129929E-5,2.3161909789031167E-6,123273.42333564669,
49,27,1060007270,5.3610535307705874E-5,2.6132369045838522E-5,2.3161909789031167E-6,597.5313340234168,
50,3218,1060007290,5.390535085062929E-5,2.295352523436728E-5,7.946006674724595E-6,62546.24487932836,
51,1169,1060007300,4.898677594536315E-5,2.3951512397744712E-5,4.4941459198693635E-7,23728.210853387995,
52,2951,1060007370,4.898677594536315E-5,2.8597905029653258E-5,1.5011656303974018E-6,71508.26305347848,
53,37,1060007380,3.192141004498864E-5,2.8387139811008343E-5,1.5011656303974018E-6,890.9349674915763,
54,2413,1060007390,4.948202640803264E-5,3.1758072672885094E-5,8.613224276087174E-6,64958.41240086594,
55,779,1060007400,4.525935606553302E-5,3.117806548561861E-5,0.0,20608.008647731476,
56,5204,1060007450,5.717904469085467E-5,2.982007466235387E-5,1.0122308800165965E-5,131569.45328265982,
57,20422,1060007460,0.4015965917985221,0.0014324272407130359,0.0,2.499154373603242E7,
58,1656,1060008100,0.4171533774093284,0.01164387930856668,7.722914946198185E-7,1.6482314086803472E7,
59,327,1060008110,0.006416970355345368,7.191719505122093E-4,0.0,201009.8100890125,
60,12545,1060008130,0.0178661509877034,3.0800003299993623E-4,3.1558107142662945E-6,3302736.8920804453,
61,154,1060008140,1.1807148307678498E-4,3.704860089554882E-5,0.0,5224.709111628697,
62,13065,1060008150,9.64368065658224E-4,1.0762236946199346E-4,1.4114102755401456E-12,1201858.1692663138,
63,9005,1060008160,0.002575994755930058,7.80935398432158E-5,0.0,601033.3523093964,
64,6687,1060008330,0.04257886637335207,0.001199694247705351,5.717326506076018E-6,6855687.045079103,
65,528,1060008340,0.002575994755930058,6.8835613418206E-4,0.0,310488.7448822851,
66,11426,1060008360,0.04257886637335207,5.090471022950772E-4,1.8124309257749594E-6,4970616.295679858,
67,3709,1060008370,0.0033937756198102326,4.7185291227289284E-4,0.0,1494953.841346374,
68,2410,1060008470,0.015070155852658775,7.621051069267468E-4,3.0135027822561084E-5,1568775.4184152815,
69,1731,1060008480,0.007566586275359483,0.0013370277826034655,8.022826493897848E-8,1976102.6420426012,
70,35,1060008570,0.04565458081158554,0.015183937315837209,0.007566586275359483,453605.5820476841,
71,962,1060008580,0.04565458081158554,0.0051249175787433715,5.9707925939760405E-6,4207188.18209296,
72,8998,1060008640,0.03163952625301907,0.0023286940312049267,0.0,1.7879755491774518E7,
73,1609,1060008650,0.08800226738100772,0.018202776989493324,1.903004189683739E-4,2.498083021461325E7,
74,4584,1060008720,0.021480184885034004,0.0014231686845123037,8.061982072102662E-6,5564333.936312487,
75,130,1060008730,0.08800226738100772,0.007612672899122766,0.0018708712393749596,843797.5971346224,
76,5124,1060008740,0.01718249457742742,0.0019270744972186204,0.0,8421680.57965796,
77,3766,1060008760,0.08800226738100772,0.003901416245225805,0.0,1.2523924150274225E7,
78,7822,1060008880,0.1543682779054194,0.002756932643618363,0.0,1.8381573375066467E7,
