system:index,count,hybas6ID,max,mean,min,sum,.geo
0,2536,1060000010,745403.375,743658.1867606466,741810.5,1.885917161625E9,
1,3921,1060000100,748524.5625,746186.4626530221,743522.4375,2.9257971200625E9,
2,1194,1060000110,749060.375,747422.8362646566,745463.8125,8.924228665E8,
3,5605,1060000150,753184.4375,750449.2704504906,747987.375,4.206268160875E9,
4,21873,1060000160,767980.125,758792.279231244,749119.875,1.6597063523625E10,
5,2382,1060000790,769650.875,768191.7990134341,766621.5,1.82983286525E9,
6,11170,1060000800,779043.75,773545.4478290062,768034.3125,8.64050265225E9,
7,2509,1060001080,781708.75,779534.7924471901,777617.25,1.95585279425E9,
8,8363,1060001090,787907.125,783433.32101967,778535.75,6.5518528636875E9,
9,14779,1060001370,793244.5625,788097.3818128763,783295.5,1.16472912058125E10,
10,6961,1060001380,793565.3125,790801.766385936,787668.125,5.5047710958125E9,
11,17205,1060001510,799460.75,795629.2825850043,790227.625,1.3688801806875E10,
12,20250,1060001520,805189.4375,798264.6675432099,790227.625,1.616485951775E10,
13,5660,1060002290,810416.8125,807100.4390238515,804858.4375,4.568188484875E9,
14,13812,1060002300,813680.6875,809741.7860058283,805024.0625,1.11841535483125E10,
15,5223,1060002760,816749.6875,814583.3339555811,811234.5625,4.25456875325E9,
16,212,1060002770,812083.1875,811643.6618514151,811273.3125,1.720684563125E8,
17,2946,1060002800,816130.625,813916.918342668,811659.875,2.3977992414375E9,
18,20023,1060002810,821931.6875,817381.499634795,809828.1875,1.63664297671875E10,
19,2485,1060003550,823069.4375,822088.2549547284,820979.9375,2.0428893135625E9,
20,1794,1060003560,823268.1875,822486.4443631549,821389.5,1.4755406811875E9,
21,2707,1060003650,824771.3125,823739.3608237902,822936.625,2.22986244975E9,
22,2700,1060003660,825381.625,824453.8384490741,823003.0625,2.2260253638125E9,
23,3449,1060003770,827453.5625,825952.0148593795,824932.5,2.84870849925E9,
24,5847,1060003780,827268.25,825254.6807123311,819980.0625,4.825264118125E9,
25,39164,1060003990,840152.75,834221.7330823588,826740.0,3.26714599544375E10,
26,4819,1060005140,841864.75,840700.8894998962,839280.375,4.0513375865E9,
27,7180,1060005150,841543.75,840577.904770195,839373.375,6.03534935625E9,
