system:index,count,hybas6ID,max,mean,min,sum,.geo
0,2479,1060000010,0.001202888204716146,7.122819477440337E-4,-8.2069804193452E-4,1343304.7491661545,
1,3914,1060000100,0.001241836929693818,1.9392576583726108E-4,0.0,567387.4471925732,
2,1141,1060000110,0.001241836929693818,1.8965691734517905E-4,0.0,169254.16982873826,
3,5605,1060000150,1.3678502774894241E-12,3.670981234205373E-15,-1.3689117114162874E-12,1.544113148460767E-5,
4,21086,1060000160,7.240581180667505E-5,5.491818019183825E-7,0.0,9114.805252458236,
5,2382,1060000790,8.345247624674812E-5,4.827317888012914E-6,0.0,8833.18492249525,
6,10902,1060000800,8.345247624674812E-5,5.34322541471583E-6,0.0,46168.153367421735,
7,2506,1060001080,0.0,-4.3023461470725745E-9,-6.15822344229855E-8,-8.414755733582616,
8,8039,1060001090,1.924166554090334E-6,2.2530404326429446E-9,-5.027295173931634E-6,14.7615894106154,
9,14779,1060001370,4.30660875281319E-5,2.3719277403160267E-7,-3.618000846472569E-5,2762.6533110605574,
10,6859,1060001380,5.729562253691256E-4,4.0689138404330405E-5,-1.5736062778159976E-4,223984.39300167235,
11,17198,1060001510,0.00394444027915597,0.0012293783553289064,-1.5736062778159976E-4,1.682871665175935E7,
12,19515,1060001520,0.02240166813135147,0.005157172513758248,-1.509128196630627E-4,8.336496919370371E7,
13,5660,1060002290,0.0427737683057785,0.016550442854876127,0.0,7.560554246922684E7,
14,13666,1060002300,0.04959305003285408,0.017119286841170273,-1.010801911354065,1.91464732669254E8,
15,5213,1060002760,0.0390242338180542,-0.027447213223680562,-1.5735628604888916,-1.1677605574526152E8,
16,204,1060002770,0.018740534782409668,-0.6319371527394239,-1.5735628604888916,-1.087364503583892E8,
17,2946,1060002800,0.0239168219268322,0.004906054383707966,-1.5735628604888916,1.1763733479706084E7,
18,19488,1060002810,0.06381937116384506,0.019392531011192305,-6.853417726233602E-4,3.173864968026844E8,
19,2475,1060003550,0.0887523889541626,0.0482594267952765,-0.0017247360665351152,9.858866727872212E7,
20,1771,1060003560,0.0887523889541626,0.03436989827854166,-7.047728286124766E-4,5.071418311826444E7,
21,2707,1060003650,0.08742494881153107,0.02944522352264938,0.0,6.565879825765128E7,
22,2562,1060003660,0.07678531855344772,0.02695621078766912,1.1058834206778556E-4,6.000520892562759E7,
23,3435,1060003770,0.10849864035844803,0.03953123600821788,0.0,1.1261296800246792E8,
24,4503,1060003780,0.12087734043598175,0.029567637393884173,-8.953291398938745E-5,1.426716597744403E8,
25,38098,1060003990,0.15226532518863678,0.012356902465483877,-0.004074356984347105,4.037180440619465E8,
