system:index,PfafIDDomWN_monthY2014M02,countDomWN_monthY2014M02,meanDomWN_monthY2014M02,.geo
0,111011,2536,3.63143242981245E-4,
1,111012,3921,4.232831786159466E-6,
2,111013,1194,1.2348588623835101E-5,
3,111014,5605,2.443469765183879E-6,
4,111015,21769,1.6977089891684008E-5,
5,111016,2382,2.320413723887217E-7,
6,111017,11168,4.061120330163129E-6,
7,111018,2509,2.1480839709955653E-7,
8,111019,8353,1.6075914063966977E-6,
9,111020,14779,7.398002335768667E-7,
10,111030,6961,7.417395902542568E-6,
11,111041,17205,2.967231199599768E-6,
12,111042,6643,3.229005220354589E-6,
13,111043,349,4.058728352068074E-6,
14,111044,6597,4.094923682065979E-6,
15,111045,7591,3.100167761286348E-6,
16,111046,4623,9.947331849662133E-7,
17,111047,903,4.004633626803847E-6,
18,111048,4457,4.0061634859681945E-6,
19,111049,4490,2.9616487269957276E-6,
20,111050,20250,4.2843352823728085E-6,
21,111060,5660,2.2361662472383315E-5,
22,111070,13788,1.1125490967770597E-4,
23,111081,5223,7.012377779724601E-5,
24,111082,18754,1.773541898766928E-5,
25,111083,6133,1.4725907423828066E-5,
26,111084,15194,2.048050658712955E-5,
27,111085,10124,4.720459219787472E-6,
28,111086,2528,1.7215021594908927E-6,
29,111087,13852,4.9563304690017455E-6,
30,111088,3118,1.2846956629696914E-5,
31,111089,2844,1.554363532631773E-5,
32,111090,510,7.648501281874273E-6,
33,111091,212,8.404641728087504E-5,
34,111092,2946,1.1560332072682655E-4,
35,111093,19956,3.0880183402862026E-5,
36,111094,2485,7.451797297466246E-6,
37,111095,1794,4.705778563357086E-6,
38,111096,2707,1.8806706640967572E-5,
39,111097,2700,1.7751527061727938E-5,
40,111098,3449,3.766898403676925E-5,
41,111099,5594,5.911465924569335E-6,
42,112011,3093,1.0810344803877412E-6,
43,112012,21200,1.03402496205235E-6,
44,112013,15552,1.1599832542607582E-6,
45,112014,34480,1.697004065801539E-6,
46,112015,4666,8.436054526679882E-7,
47,112016,11966,4.877502016249586E-6,
48,112017,13480,3.0831826303704192E-6,
49,112018,14831,5.209741578637772E-6,
50,112019,46077,7.096697573198482E-6,
51,112020,1906,3.113311311582614E-6,
52,112030,2337,5.780229687108856E-7,
53,112041,4145,2.5734449484510842E-6,
54,112042,9610,1.5900644029034797E-6,
55,112043,1103,1.6426151094141926E-6,
56,112044,5576,1.490861884014182E-6,
57,112045,2564,1.76136663486796E-6,
58,112046,18320,3.5779193247896116E-6,
59,112047,22718,3.5299239168097917E-6,
60,112048,6256,6.0179290329035325E-6,
61,112049,17069,1.0226406874436339E-5,
62,112050,8062,1.8062037057506029E-6,
63,112060,9065,2.0620013247051812E-6,
64,112070,2276,4.065859474109794E-6,
65,112111,39164,8.728888925503026E-6,
66,112112,4819,2.8792439958798016E-6,
67,112113,7180,1.6768445907960144E-6,
68,112114,4624,2.751475000011323E-6,
69,112115,1326,2.0330862420463894E-6,
70,112116,4584,4.222321698811303E-6,
71,112117,2017,1.5289937807119087E-6,
72,112118,4443,1.704145310967956E-5,
73,112119,6741,2.9107704468227963E-6,
74,112120,6306,4.356147561087964E-7,
75,112130,3588,3.481515111747137E-7,
76,112140,5675,8.067271863250039E-7,
77,112150,567,2.7931239381291237E-7,
78,112160,4941,7.357145456276829E-7,
79,112170,17030,5.610905216667327E-7,
80,112180,5677,6.250615486982264E-7,
81,112190,13172,6.625887521044094E-7,
82,112200,33905,8.486993950449331E-7,
83,112300,8315,1.1595770139064259E-6,
84,112400,30830,1.3996434366131287E-6,
85,112500,806,1.2682932902348988E-6,
86,112600,7692,1.130056003526576E-6,
87,112700,9177,1.0189442961086202E-6,
88,112801,6769,6.912444666176717E-7,
89,112802,7135,4.2377798988452274E-7,
90,112803,17267,2.6644392705904746E-7,
91,112804,9185,1.4262146905492987E-6,
92,112805,5556,6.718403037123251E-7,
93,112806,6540,1.312235880150846E-6,
94,112807,9643,6.71799900675918E-7,
95,112808,3496,1.3117170596593444E-6,
96,112809,10746,3.721624175357037E-6,
97,112901,27,9.711883664814942E-7,
98,112902,3218,7.8794017528617E-7,
99,112903,1169,7.163239699234522E-7,
100,112904,2951,9.983222414129624E-7,
101,112905,37,1.3949567306483588E-6,
102,112906,2413,1.268597907526363E-6,
103,112907,779,1.412482963560106E-6,
104,112908,5204,1.075417954705189E-6,
105,112909,20422,8.636532863540344E-6,
106,113000,4675,0.0,
107,114001,54761,6.128069302775211E-6,
108,114002,2390,1.411571058820525E-6,
109,114100,1656,5.16321831004114E-6,
110,114210,16802,9.526932302639902E-7,
111,114221,2409,7.421027782896413E-7,
112,114222,5839,8.547506456663686E-7,
113,114223,174,9.36607075334838E-7,
114,114224,77580,1.0554063858125511E-5,
115,114225,2250,7.337793235056306E-7,
116,114226,17050,7.818504363292932E-6,
117,114227,24212,1.037274367033869E-5,
118,114228,5771,9.401055001427883E-6,
119,114229,9213,9.340694798221283E-6,
120,114230,2510,5.263375417795639E-7,
121,114240,9987,7.6213757327726745E-6,
122,114250,4469,1.2442459962494591E-5,
123,114260,6798,1.4636236546231443E-5,
124,114270,14977,1.4529784390155468E-5,
125,114281,1050,4.077030025554437E-6,
126,114282,6319,3.565205097355456E-6,
127,114283,60,4.9313464024231794E-6,
128,114284,14492,1.0068755719181504E-5,
129,114285,1297,3.525763195696592E-6,
130,114286,6726,9.291310054631568E-6,
131,114287,4228,1.4406395246813049E-5,
132,114288,2619,2.421403762744056E-5,
133,114289,5390,4.568766863363864E-5,
134,114290,26586,1.0568574411308522E-4,
135,114300,722,3.9984041853158657E-5,
136,114410,3376,1.753588645293515E-6,
137,114411,11647,1.8238287892268902E-6,
138,114412,3525,3.44226201402032E-6,
139,114413,15127,2.403094963749013E-6,
140,114414,3267,2.525285560319962E-6,
141,114415,1,1.9025350063104822E-6,
142,114416,4264,2.1388045528419115E-6,
143,114417,542,1.827323403649258E-6,
144,114418,12522,1.746021940879361E-6,
145,114419,3385,1.6437852413817524E-6,
146,114420,17640,1.968307063726108E-6,
147,114430,12313,3.5255592583709187E-6,
148,114441,1660,1.3623392555910927E-5,
149,114442,3796,9.617076851888524E-6,
150,114443,23070,1.7088723098940042E-5,
151,114444,3586,8.689143028168022E-6,
152,114445,6066,9.756354568342034E-6,
153,114446,8489,1.1368988613638834E-5,
154,114447,2883,2.1349290086521463E-5,
155,114448,12265,2.8916580683091982E-5,
156,114449,8665,4.266380341161539E-5,
157,114450,473,4.152647890909225E-5,
158,114460,29132,1.3020446192417418E-5,
159,114470,26976,1.4490568716114448E-5,
160,114480,17674,1.2473075715062526E-5,
161,114490,22455,2.2707947676179536E-5,
162,114500,27914,2.1696694099097918E-6,
163,114601,5823,2.3506812865939627E-6,
164,114602,10662,4.609680517038449E-6,
165,114603,506,1.5421942242047296E-6,
166,114604,6933,3.0151150699542513E-6,
167,114605,4090,3.5822644160999004E-6,
168,114606,5583,5.587586915006908E-6,
169,114607,21267,2.4611100131867003E-6,
170,114608,3869,1.0045753031270166E-6,
171,114609,2978,1.172469981915553E-6,
172,114701,4745,1.2928220447416402E-5,
173,114702,5013,4.926938384815841E-6,
174,114703,5019,6.086020801792444E-6,
175,114704,8359,1.3662432972132719E-6,
176,114705,9685,2.2859254234195414E-6,
177,114706,1442,1.8367792761197037E-6,
178,114707,446,1.6563260806960138E-6,
179,114708,1479,1.5945453447987382E-6,
180,114709,13,3.998666300723566E-6,
181,114801,5712,5.882776548216789E-6,
182,114802,3134,6.841215760433993E-6,
183,114803,856,4.00403224927388E-6,
184,114804,3306,5.3256962101742805E-6,
185,114805,5341,6.51382530703593E-6,
186,114806,4465,7.3846282422714945E-6,
187,114807,8853,6.907318907435509E-6,
188,114808,9325,1.9681429511245628E-5,
189,114809,12520,2.3592796759344517E-5,
190,114910,24602,3.6052981208178717E-6,
191,114920,13186,7.646541695833942E-6,
192,114931,367,5.859126375621955E-6,
193,114932,6668,4.111749569113963E-6,
194,114933,3381,6.871363073660517E-6,
195,114934,4835,8.490092023096728E-6,
196,114935,10129,7.034729357533069E-6,
