system:index,PfafIDDomWW_monthY2014M01,countDomWW_monthY2014M01,meanDomWW_monthY2014M01,.geo
0,111011,2536,4.640133527335787E-4,
1,111012,3921,4.190428645049728E-6,
2,111013,1194,1.2228843361741634E-5,
3,111014,5605,2.4167716361070166E-6,
4,111015,21769,1.9082900715157896E-5,
5,111016,2382,2.2992580883034882E-7,
6,111017,11168,8.275531413004594E-6,
7,111018,2509,2.127271703132831E-7,
8,111019,8353,1.594388613763689E-6,
9,111020,14779,7.340810558603997E-7,
10,111030,6961,7.371112761786495E-6,
11,111041,17205,2.9539328421060525E-6,
12,111042,6643,3.2071655276565106E-6,
13,111043,349,4.035728627724037E-6,
14,111044,6597,4.083417147305192E-6,
15,111045,7591,3.0828538354849963E-6,
16,111046,4623,9.889839464017754E-7,
17,111047,903,3.983985767727122E-6,
18,111048,4457,3.985507868151578E-6,
19,111049,4490,2.948674239070216E-6,
20,111050,20250,4.279497391264528E-6,
21,111060,5660,2.2268660446506953E-5,
22,111070,13788,2.354046959542317E-4,
23,111081,5223,9.794968739219806E-5,
24,111082,18754,1.759087629594684E-5,
25,111083,6133,1.4642493066843314E-5,
26,111084,15194,2.370381456173766E-5,
27,111085,10124,4.658902916274948E-6,
28,111086,2528,1.6946708229042262E-6,
29,111087,13852,5.4930786839721395E-6,
30,111088,3118,1.5319971109583424E-5,
31,111089,2844,1.5568621474656382E-5,
32,111090,510,7.5576545255394945E-6,
33,111091,212,1.863853350284461E-4,
34,111092,2946,1.918063742465591E-4,
35,111093,19956,3.521090388592351E-5,
36,111094,2485,7.663726840874769E-6,
37,111095,1794,4.715150344449986E-6,
38,111096,2707,2.0095478662212273E-5,
39,111097,2700,2.94546762063878E-5,
40,111098,3449,4.118704553069674E-5,
41,111099,5594,5.951687500447339E-6,
42,112011,3093,1.2556690607447348E-6,
43,112012,21200,1.3464244447067402E-6,
44,112013,15552,1.7097353085407773E-6,
45,112014,34480,1.6767856089577292E-6,
46,112015,4666,9.150771682532577E-7,
47,112016,11966,4.744528010090683E-6,
48,112017,13480,3.011112693740702E-6,
49,112018,14831,5.091054387356075E-6,
50,112019,46077,7.415083593821182E-6,
51,112020,1906,3.1160469682988112E-6,
52,112030,2337,6.034665410382402E-7,
53,112041,4145,3.1887586569287287E-6,
54,112042,9610,1.8805434299483302E-6,
55,112043,1103,2.6170316642442743E-6,
56,112044,5576,1.9274218388791874E-6,
57,112045,2564,1.797437188852474E-6,
58,112046,18320,3.669590009377809E-6,
59,112047,22718,3.5660305551345294E-6,
60,112048,6256,5.807870029972885E-6,
61,112049,17069,1.0499684850376817E-5,
62,112050,8062,2.0034952220138564E-6,
63,112060,9065,2.7531580854627117E-6,
64,112070,2276,4.314266299646111E-6,
65,112111,39164,1.5408935878850178E-5,
66,112112,4819,2.8394321716895714E-6,
67,112113,7180,1.8026223649936818E-6,
68,112114,4624,4.285007905120195E-6,
69,112115,1326,2.497232724929069E-6,
70,112116,4584,4.22907891937197E-6,
71,112117,2017,1.5113643635323226E-6,
72,112118,4443,2.151006334200447E-5,
73,112119,6741,5.808769405210957E-6,
74,112120,6306,4.313318097697622E-7,
75,112130,3588,3.4504296658212724E-7,
76,112140,5675,7.95629996639077E-7,
77,112150,567,2.765767077309771E-7,
78,112160,4941,7.260276268032556E-7,
79,112170,17030,7.775619241243897E-7,
80,112180,5677,8.436109977105067E-7,
81,112190,13172,7.968672386188375E-7,
82,112200,33905,1.0268833729600296E-6,
83,112300,8315,1.35430514842873E-6,
84,112400,30830,1.8578470258624301E-6,
85,112500,806,1.2563351008793424E-6,
86,112600,7692,1.3694256706169819E-6,
87,112700,9177,1.2682441791047213E-6,
88,112801,6769,8.454071869228529E-7,
89,112802,7135,4.5198700317667836E-7,
90,112803,17267,3.2351436629220643E-7,
91,112804,9185,2.0922144849532992E-6,
92,112805,5556,7.103014303397678E-7,
93,112806,6540,1.5819433116288556E-6,
94,112807,9643,7.984296532807735E-7,
95,112808,3496,1.4021127898354186E-6,
96,112809,10746,5.591106015683749E-6,
97,112901,27,1.939398889105388E-6,
98,112902,3218,9.503973592947385E-7,
99,112903,1169,8.591765057242293E-7,
100,112904,2951,1.3299878034732986E-6,
101,112905,37,1.3693335944660846E-6,
102,112906,2413,1.626409980446113E-6,
103,112907,779,1.759328685576941E-6,
104,112908,5204,1.5633663282925594E-6,
105,112909,20422,1.2086238668859135E-5,
106,113000,4675,0.0,
107,114001,54761,6.000436073638129E-6,
108,114002,2390,1.3773949714656216E-6,
109,114100,1656,7.340880743112129E-6,
110,114210,16802,9.766898814325324E-7,
111,114221,2409,7.307181883856564E-7,
112,114222,5839,8.394622899599458E-7,
113,114223,174,9.214765462122445E-7,
114,114224,77580,1.1013682025363665E-5,
115,114225,2250,7.353513877792581E-7,
116,114226,17050,8.482407226748473E-6,
117,114227,24212,1.0848945260862965E-5,
118,114228,5771,9.221121348574796E-6,
119,114229,9213,9.204448898342257E-6,
120,114230,2510,5.176066076081937E-7,
121,114240,9987,7.457755018158396E-6,
122,114250,4469,2.038094161138642E-5,
123,114260,6798,1.4251499810973936E-5,
124,114270,14977,1.4129038865907911E-5,
125,114281,1050,3.969679739024573E-6,
126,114282,6319,3.4648803373937375E-6,
127,114283,60,4.7920132928606214E-6,
128,114284,14492,9.854451625967044E-6,
129,114285,1297,3.440665397846364E-6,
130,114286,6726,8.952822745660082E-6,
131,114287,4228,1.4022901965108043E-5,
132,114288,2619,2.3125321936398102E-5,
133,114289,5390,4.287007488667037E-5,
134,114290,26586,1.0684844374197833E-4,
135,114300,722,3.974472837581335E-5,
136,114410,3376,1.7304779712307062E-6,
137,114411,11647,2.3914859451300395E-6,
138,114412,3525,3.821339258424238E-6,
139,114413,15127,3.3572721412848636E-6,
140,114414,3267,2.5774514153254745E-6,
141,114415,1,1.862529921222355E-6,
142,114416,4264,2.9561317735748575E-6,
143,114417,542,1.7879693698557123E-6,
144,114418,12522,1.989793181324412E-6,
145,114419,3385,1.7547997680715873E-6,
146,114420,17640,2.0730108407531874E-6,
147,114430,12313,3.715643202919168E-6,
148,114441,1660,1.503156423331734E-5,
149,114442,3796,1.2141797237223228E-5,
150,114443,23070,1.759543919672856E-5,
151,114444,3586,8.462966012413998E-6,
152,114445,6066,9.529967450717476E-6,
153,114446,8489,1.115460318440894E-5,
154,114447,2883,2.0872354386241513E-5,
155,114448,12265,2.833055400564836E-5,
156,114449,8665,4.458485050235375E-5,
157,114450,473,7.859901881626957E-5,
158,114460,29132,1.5832609045138467E-5,
159,114470,26976,1.4061039569833206E-5,
160,114480,17674,1.2082573136400998E-5,
161,114490,22455,2.4384471811498313E-5,
162,114500,27914,2.3410718793542835E-6,
163,114601,5823,2.3313969450038977E-6,
164,114602,10662,5.033082109740364E-6,
165,114603,506,1.5316375516266295E-6,
166,114604,6933,3.1397699909405E-6,
167,114605,4090,4.353961151254828E-6,
168,114606,5583,1.1007843863585666E-5,
169,114607,21267,2.5958184784696803E-6,
170,114608,3869,1.603671284002975E-6,
171,114609,2978,1.3833777953915253E-6,
172,114701,4745,1.3473453209079326E-5,
173,114702,5013,5.558265968040044E-6,
174,114703,5019,1.1743453956109129E-5,
175,114704,8359,1.476762852678651E-6,
176,114705,9685,3.639148931632898E-6,
177,114706,1442,1.7993160292883238E-6,
178,114707,446,1.6188341921430018E-6,
179,114708,1479,1.8007035989509968E-6,
180,114709,13,3.878806252780045E-6,
181,114801,5712,5.695513960831991E-6,
182,114802,3134,6.5962811279093954E-6,
183,114803,856,3.844587393422808E-6,
184,114804,3306,5.104043365775302E-6,
185,114805,5341,6.232447803611295E-6,
186,114806,4465,7.092957883983301E-6,
187,114807,8853,6.616575123927256E-6,
188,114808,9325,1.9540602988767237E-5,
189,114809,12520,2.5001150059372558E-5,
190,114910,24602,3.490157093469861E-6,
191,114920,13186,7.31891274352529E-6,
192,114931,367,5.625800719287619E-6,
193,114932,6668,3.944755251215739E-6,
194,114933,3381,6.609210527653683E-6,
195,114934,4835,8.157265364050893E-6,
196,114935,10129,6.770216550250091E-6,
197,114936,1413,3.0442418039786082E-6,
198,114937,2005,3.5395399932216853E-6,
199,114938,7122,7.792272000277869E-6,
200,114939,3723,7.311992996085425E-6,
201,114940,17917,1.8085745045786364E-5,
202,114950,8839,1.2924989160004111E-5,
203,114960,17499,6.502947146576141E-5,
204,114970,3830,2.1819507631340858E-5,
205,114980,12419,6.160057390917706E-5,
206,114990,32085,4.8970541420164E-5,
207,115101,71040,4.377953842647273E-5,
208,115102,2813,7.332160190659149E-5,
209,115103,1057,9.58476390570101E-5,
210,115201,4944,2.0128566173281473E-5,
211,115202,7332,4.6835225476918035E-5,
212,115203,9279,5.311015361291372E-5,
213,115204,4711,1.9586006471930676E-5,
214,115205,18925,4.535276637417337E-5,
215,115206,1020,9.768752017580185E-6,
216,115207,6669,1.5207056242377724E-5,
217,115208,4606,3.1923905565895775E-5,
218,115209,6567,1.0958466650903617E-4,
219,115300,31550,1.7626549114552916E-4,
220,115410,59,2.0230309133141053E-7,
221,115421,2746,6.362416987978558E-6,
222,115422,5910,3.7702048635624425E-6,
223,115423,190,1.926288517618398E-5,
224,115424,27002,5.2086356023432167E-5,
225,115425,317,3.406748809534064E-5,
226,115426,4129,2.2256463661124596E-5,
227,115427,2339,3.383726598151553E-5,
228,115428,1980,1.661419701979192E-5,
229,115429,11579,1.0227604404453334E-4,
230,115430,18309,1.1484699405724654E-5,
231,115440,14238,3.786117090952183E-5,
232,115451,34,0.0,
233,115452,3041,1.2882222136127541E-5,
234,115453,6141,1.9245054583135005E-5,
235,115454,5229,2.065689097212184E-5,
236,115455,8528,1.6542950280495364E-5,
237,115456,4944,4.0893902791621526E-5,
238,115457,740,3.409625399382918E-5,
239,115458,4129,5.081551815081767E-5,
240,115459,17083,9.948386888605299E-5,
241,115460,8270,7.323227895966268E-5,
242,115470,9268,1.4998701378353115E-4,
243,115480,12405,1.0951423611779156E-4,
244,115490,6089,1.7224780009394075E-4,
245,115501,6,2.566001255905013E-5,
246,115502,8893,3.929043386989663E-5,
247,115503,750,4.3516545860959306E-5,
248,115504,2436,4.111894962169106E-5,
249,115505,2096,3.7673571183723715E-5,
250,115506,7486,1.485095830844728E-5,
251,115507,574,2.887960125108352E-5,
252,115508,7481,2.4916036736119338E-5,
253,115509,7552,1.1652334072044045E-5,
254,115601,269,1.0013323249537925E-6,
255,115602,21806,3.3742722388615204E-5,
256,115603,1991,2.342529349905581E-5,
257,115604,2276,1.3353553999742994E-4,
258,115605,19149,1.941557565642139E-4,
259,115606,1710,3.446366579197567E-4,
260,115607,4877,1.6628801014590525E-4,
261,115608,12255,1.1690343856880482E-4,
262,115711,18,0.0,
263,115712,7528,4.4208781032170244E-6,
264,115713,7,0.0,
265,115714,25076,2.110639084076284E-5,
266,115715,13882,2.034925544004083E-5,
267,115716,6926,4.610989965400668E-5,
268,115717,32235,4.5211552415164994E-5,
269,115718,4428,6.488226663350723E-5,
270,115719,27564,1.9714941305582832E-4,
271,115720,175,9.578959312053257E-5,
272,115730,15209,2.4415831679166005E-5,
273,115740,4470,3.78342754855114E-6,
274,115750,4443,2.074366276250391E-6,
275,115801,15355,4.526963182561011E-5,
276,115802,8564,1.069274579352011E-5,
277,115803,22718,1.710721187942487E-5,
278,115804,1554,8.330530170913001E-7,
279,115805,2794,3.767648619465536E-6,
280,115806,5497,1.5678357293280116E-6,
281,115807,2697,3.2215668498988104E-7,
282,115808,8272,2.4410684047831603E-6,
283,115809,7022,3.024227541059792E-6,
284,115900,20078,1.5972068143666053E-5,
285,116001,3505,6.545096096487846E-5,
286,116002,38883,3.329790063392879E-5,
287,116003,3319,1.2876582541807696E-5,
288,116004,21261,6.115160755399303E-5,
289,116005,3515,1.914277945244961E-5,
290,116006,4365,3.6125856805125686E-5,
291,116007,6990,6.291436509320329E-6,
