system:index,PfafIDIrrWN_monthY2014M09,countIrrWN_monthY2014M09,meanIrrWN_monthY2014M09,.geo
0,111011,2536,6.95859384686835E-5,
1,111012,3921,0.0,
2,111013,1194,0.0,
3,111014,5605,0.0,
4,111015,21769,0.0,
5,111016,2382,0.0,
6,111017,11168,0.0,
7,111018,2509,0.0,
8,111019,8353,0.0,
9,111020,14779,0.0,
10,111030,6961,0.0,
11,111041,17205,0.0,
12,111042,6643,0.0,
13,111043,349,0.0,
14,111044,6597,0.0,
15,111045,7591,0.0,
16,111046,4623,0.0,
17,111047,903,0.0,
18,111048,4457,0.0,
19,111049,4490,0.0,
20,111050,20250,0.0,
21,111060,5660,0.0,
22,111070,13788,2.1362003824017907E-4,
23,111081,5223,0.0011520131716270985,
24,111082,18754,0.0,
25,111083,6133,0.0,
26,111084,15194,1.952346975552386E-4,
27,111085,10124,2.2577782464815364E-8,
28,111086,2528,0.0,
29,111087,13852,6.695772811337557E-5,
30,111088,3118,0.0,
31,111089,2844,4.3837765472485535E-5,
32,111090,510,3.978902570305014E-5,
33,111091,212,0.008072277609358856,
34,111092,2946,0.0025267840655475646,
35,111093,19956,1.4817689078613245E-5,
36,111094,2485,5.568850466704682E-5,
37,111095,1794,1.2482908020715078E-4,
38,111096,2707,3.9375330741930415E-4,
39,111097,2700,1.51513268827177E-4,
40,111098,3449,3.438546420462811E-4,
41,111099,5594,1.7611972021167198E-5,
42,112011,3093,0.0,
43,112012,21200,0.0,
44,112013,15552,0.0,
45,112014,34480,0.0,
46,112015,4666,0.0,
47,112016,11966,0.0,
48,112017,13480,0.0,
49,112018,14831,0.0,
50,112019,46077,2.30142758750848E-5,
51,112020,1906,0.0,
52,112030,2337,0.0,
53,112041,4145,0.0,
54,112042,9610,0.0,
55,112043,1103,0.0,
56,112044,5576,0.0,
57,112045,2564,0.0,
58,112046,18320,0.0,
59,112047,22718,0.0,
60,112048,6256,0.0,
61,112049,17069,0.0,
62,112050,8062,0.0,
63,112060,9065,0.0,
64,112070,2276,0.0,
65,112111,39164,2.7098227564262247E-6,
66,112112,4819,0.0,
67,112113,7180,0.0,
68,112114,4624,2.2169410410030456E-4,
69,112115,1326,0.0,
70,112116,4584,7.161549498424055E-4,
71,112117,2017,0.0,
72,112118,4443,2.7541031200661745E-4,
73,112119,6741,0.0,
74,112120,6306,0.0,
75,112130,3588,0.0,
76,112140,5675,0.0,
77,112150,567,0.0,
78,112160,4941,0.0,
79,112170,17030,0.0,
80,112180,5677,0.0,
81,112190,13172,0.0,
82,112200,33905,0.0,
83,112300,8315,0.0,
84,112400,30830,0.0,
85,112500,806,0.0,
86,112600,7692,0.0,
87,112700,9177,0.0,
88,112801,6769,0.0,
89,112802,7135,0.0,
90,112803,17267,0.0,
91,112804,9185,0.0,
92,112805,5556,0.0,
93,112806,6540,0.0,
94,112807,9643,0.0,
95,112808,3496,0.0,
96,112809,10746,0.0,
97,112901,27,0.0,
98,112902,3218,0.0,
99,112903,1169,0.0,
100,112904,2951,0.0,
101,112905,37,0.0,
102,112906,2413,0.0,
103,112907,779,0.0,
104,112908,5204,0.0,
105,112909,20422,3.962134580758583E-5,
106,113000,4675,0.0,
107,114001,54761,0.0,
108,114002,2390,0.0,
109,114100,1656,3.647058906975353E-4,
110,114210,16802,2.0941637033346936E-5,
111,114221,2409,8.853223962962879E-7,
112,114222,5839,0.0,
113,114223,174,0.0,
114,114224,77580,3.5987766024611567E-6,
115,114225,2250,0.0,
116,114226,17050,3.495962833488142E-5,
117,114227,24212,1.0634381229568796E-5,
118,114228,5771,0.0,
119,114229,9213,0.0,
120,114230,2510,0.0,
121,114240,9987,0.0,
122,114250,4469,0.0,
123,114260,6798,0.0,
124,114270,14977,5.512245700525E-6,
125,114281,1050,5.0602503331652705E-5,
126,114282,6319,0.0,
127,114283,60,0.0,
128,114284,14492,0.0,
129,114285,1297,0.0,
130,114286,6726,0.0,
131,114287,4228,0.0,
132,114288,2619,0.0,
133,114289,5390,0.0,
134,114290,26586,1.3048864784232316E-4,
135,114300,722,0.008014267071024081,
136,114410,3376,3.0257321484863744E-7,
137,114411,11647,0.0011853415917324644,
138,114412,3525,0.0,
139,114413,15127,4.64089283160282E-5,
140,114414,3267,5.560376527581512E-6,
141,114415,1,4.541961018099309E-4,
142,114416,4264,0.0,
143,114417,542,3.667645473316906E-4,
144,114418,12522,1.4060474969320747E-7,
145,114419,3385,0.0,
146,114420,17640,0.0,
147,114430,12313,0.0,
148,114441,1660,5.4154603683746164E-5,
149,114442,3796,4.173868644746569E-5,
150,114443,23070,5.108267699035457E-5,
151,114444,3586,0.0,
152,114445,6066,0.0,
153,114446,8489,0.0,
154,114447,2883,0.0,
