system:index,PfafIDIrrWN_yearY2014M12,countIrrWN_yearY2014M12,meanIrrWN_yearY2014M12,.geo
0,111011,2536,5.569048595402958E-4,
1,111012,3921,0.0,
2,111013,1194,0.0,
3,111014,5605,0.0,
4,111015,21769,0.0,
5,111016,2382,0.0,
6,111017,11168,0.0,
7,111018,2509,0.0,
8,111019,8353,0.0,
9,111020,14779,0.0,
10,111030,6961,0.0,
11,111041,17205,0.0,
12,111042,6643,0.0,
13,111043,349,0.0,
14,111044,6597,0.0,
15,111045,7591,0.0,
16,111046,4623,0.0,
17,111047,903,0.0,
18,111048,4457,0.0,
19,111049,4490,0.0,
20,111050,20250,0.0,
21,111060,5660,5.645600662322206E-6,
22,111070,13788,0.002029594868111161,
23,111081,5223,0.011037234105502695,
24,111082,18754,3.493831095688075E-8,
25,111083,6133,0.0,
26,111084,15194,0.0017886337069552931,
27,111085,10124,1.735464252653652E-7,
28,111086,2528,0.0,
29,111087,13852,4.795819986791457E-4,
30,111088,3118,0.0,
31,111089,2844,0.0011381748571942204,
32,111090,510,3.3235658637406846E-4,
33,111091,212,0.07664125940714736,
34,111092,2946,0.024159098595472082,
35,111093,19956,1.1272195557911652E-4,
36,111094,2485,3.9498657964932556E-4,
37,111095,1794,0.001008511188533586,
38,111096,2707,0.0031953095852005706,
39,111097,2700,0.0013803901918369788,
40,111098,3449,0.002914333656332539,
41,111099,5594,1.4711229533378642E-4,
42,112011,3093,0.0,
43,112012,21200,0.0,
44,112013,15552,0.0,
45,112014,34480,0.0,
46,112015,4666,0.0,
47,112016,11966,0.0,
48,112017,13480,0.0,
49,112018,14831,0.0,
50,112019,46077,0.0013381311971790316,
51,112020,1906,0.0,
52,112030,2337,0.0,
53,112041,4145,0.0,
54,112042,9610,0.0,
55,112043,1103,0.0,
56,112044,5576,0.0,
57,112045,2564,0.0,
58,112046,18320,0.0,
59,112047,22718,0.0,
60,112048,6256,0.0,
61,112049,17069,0.0,
62,112050,8062,0.0,
63,112060,9065,0.0,
64,112070,2276,0.0,
65,112111,39164,3.091194942821295E-5,
66,112112,4819,0.0,
67,112113,7180,0.0,
68,112114,4624,0.00689598458957324,
69,112115,1326,0.0,
70,112116,4584,0.014038090900739156,
71,112117,2017,0.0,
72,112118,4443,0.006505458376024068,
73,112119,6741,8.947434960496248E-5,
74,112120,6306,9.017136328688972E-6,
75,112130,3588,0.0,
76,112140,5675,0.0,
77,112150,567,0.0,
78,112160,4941,0.0,
79,112170,17030,0.0,
80,112180,5677,0.0,
81,112190,13172,0.0,
82,112200,33905,0.0,
83,112300,8315,0.0,
84,112400,30830,0.0,
85,112500,806,0.0,
86,112600,7692,0.0,
87,112700,9177,0.0,
88,112801,6769,0.0,
89,112802,7135,0.0,
90,112803,17267,0.0,
91,112804,9185,0.0,
92,112805,5556,0.0,
93,112806,6540,0.0,
94,112807,9643,0.0,
95,112808,3496,8.061443503875275E-6,
96,112809,10746,7.693521681586253E-4,
97,112901,27,0.0,
98,112902,3218,0.0,
99,112903,1169,0.0,
100,112904,2951,0.0,
101,112905,37,0.0,
102,112906,2413,0.0,
103,112907,779,0.0,
104,112908,5204,0.0,
105,112909,20422,5.319960995769054E-4,
106,113000,4675,0.0,
107,114001,54761,0.0,
108,114002,2390,0.0,
109,114100,1656,0.004847171306696596,
110,114210,16802,2.745606045666477E-4,
111,114221,2409,8.77170915082478E-6,
112,114222,5839,0.0,
113,114223,174,0.0,
114,114224,77580,4.969182664352389E-5,
115,114225,2250,0.0,
116,114226,17050,2.978843885724165E-4,
117,114227,24212,8.222316694802584E-5,
118,114228,5771,0.0,
119,114229,9213,0.0,
120,114230,2510,0.0,
121,114240,9987,0.0,
122,114250,4469,0.0,
123,114260,6798,0.0,
124,114270,14977,5.8319176609468256E-5,
125,114281,1050,5.798109818574239E-4,
126,114282,6319,0.0,
127,114283,60,0.0,
128,114284,14492,0.0,
129,114285,1297,0.0,
130,114286,6726,0.0,
131,114287,4228,0.0,
132,114288,2619,0.0,
133,114289,5390,0.0,
134,114290,26586,0.0016127098135773803,
135,114300,722,0.10247774048573488,
136,114410,3376,4.188232589704767E-6,
137,114411,11647,0.015416439951624193,
138,114412,3525,0.0,
139,114413,15127,3.9591132952397694E-4,
140,114414,3267,4.668657235595432E-5,
141,114415,1,0.003813565334246312,
142,114416,4264,0.0,
143,114417,542,0.003092802102111028,
144,114418,12522,8.687389226011693E-6,
145,114419,3385,5.545864592644612E-4,
146,114420,17640,6.811792926271049E-6,
147,114430,12313,7.423344029497963E-4,
148,114441,1660,0.0012191146474980576,
149,114442,3796,3.710907257615589E-4,
150,114443,23070,4.314012446366868E-4,
151,114444,3586,0.0,
152,114445,6066,0.0,
153,114446,8489,0.0,
154,114447,2883,0.0,
155,114448,12265,0.0,
156,114449,8665,0.0,
157,114450,473,2.903673983768299E-4,
158,114460,29132,3.673808383107683E-4,
159,114470,26976,9.452410739756022E-5,
160,114480,17674,8.25960880032455E-6,
161,114490,22455,1.2337266469730486E-6,
162,114500,27914,0.006851129886196478,
163,114601,5823,0.0,
164,114602,10662,0.010455847986359422,
165,114603,506,1.6805289363241107E-4,
166,114604,6933,0.0,
167,114605,4090,3.938965311472659E-5,
168,114606,5583,2.2956629877427217E-4,
169,114607,21267,7.846713854982754E-5,
170,114608,3869,0.0,
171,114609,2978,0.0,
172,114701,4745,0.06372139765593879,
173,114702,5013,0.0055391415309410585,
174,114703,5019,0.027299854983965238,
175,114704,8359,9.636215684470135E-5,
176,114705,9685,9.987328594397518E-4,
177,114706,1442,0.0,
178,114707,446,0.0,
179,114708,1479,0.0,
180,114709,13,0.0,
181,114801,5712,4.842674711623464E-5,
182,114802,3134,0.0,
183,114803,856,0.0,
184,114804,3306,1.1722237020126993E-6,
185,114805,5341,0.0,
186,114806,4465,0.0,
187,114807,8853,2.141119967415418E-5,
188,114808,9325,6.27761944650901E-5,
189,114809,12520,6.553696973340998E-5,
190,114910,24602,0.0010721864273769105,
191,114920,13186,7.461135710144567E-5,
192,114931,367,0.0027881795044926204,
193,114932,6668,8.859748058287105E-4,
194,114933,3381,0.0,
195,114934,4835,0.0,
196,114935,10129,4.653595045797018E-4,
197,114936,1413,0.0,
198,114937,2005,0.0,
199,114938,7122,0.0,
200,114939,3723,0.0,
201,114940,17917,5.452928234687037E-5,
202,114950,8839,0.0,
203,114960,17499,0.002969875600649573,
204,114970,3830,0.0,
205,114980,12419,8.84996930159447E-6,
206,114990,32085,0.0013414375677537611,
207,115101,71040,2.940656274946108E-4,
208,115102,2813,5.791918149325319E-4,
209,115103,1057,0.0,
210,115201,4944,1.6207576969231127E-6,
211,115202,7332,6.061003902051652E-4,
212,115203,9279,0.004344805362867124,
213,115204,4711,0.0,
214,115205,18925,7.238267239954078E-5,
215,115206,1020,0.0,
216,115207,6669,7.09236711029144E-4,
217,115208,4606,1.7864950174361339E-6,
