system:index,PfafIDLivWN_monthY2014M04,countLivWN_monthY2014M04,meanLivWN_monthY2014M04,.geo
0,111011,2536,1.2731984010271564E-7,
1,111012,3921,6.192359456460774E-7,
2,111013,1194,4.7838079781250076E-8,
3,111014,5605,1.9861692374484607E-7,
4,111015,21769,2.5203039486503098E-8,
5,111016,2382,1.0516730014676934E-8,
6,111017,11168,3.164150701979738E-8,
7,111018,2509,9.047317441807642E-9,
8,111019,8353,3.936015814427967E-9,
9,111020,14779,2.9713636955654044E-9,
10,111030,6961,8.021478332958133E-12,
11,111041,17205,1.414612034453567E-8,
12,111042,6643,8.523774856823348E-9,
13,111043,349,4.442587430624428E-9,
14,111044,6597,1.2931832096431228E-8,
15,111045,7591,1.7326493105660023E-9,
16,111046,4623,6.67963275344169E-10,
17,111047,903,1.9338781505357473E-9,
18,111048,4457,6.663077180470461E-9,
19,111049,4490,1.7393059230918917E-8,
20,111050,20250,1.2723136053297271E-8,
21,111060,5660,2.315877118157228E-8,
22,111070,13788,3.40349095305986E-7,
23,111081,5223,1.576755782732974E-6,
24,111082,18754,2.386163096342825E-7,
25,111083,6133,5.561156584209569E-8,
26,111084,15194,4.948737515177118E-7,
27,111085,10124,5.9439871575485874E-8,
28,111086,2528,3.7508680708919994E-7,
29,111087,13852,5.759145094476965E-7,
30,111088,3118,1.0012187423669902E-6,
31,111089,2844,1.1653030373405917E-6,
32,111090,510,3.636356972688748E-6,
33,111091,212,5.435487104583013E-6,
34,111092,2946,5.2970777365728494E-6,
35,111093,19956,1.640754362420122E-7,
36,111094,2485,3.021722685020122E-7,
37,111095,1794,3.9550018259899446E-8,
38,111096,2707,4.6980766559359116E-7,
39,111097,2700,2.722568680470612E-7,
40,111098,3449,6.46161648595693E-7,
41,111099,5594,3.640043497629179E-7,
42,112011,3093,1.0032809040695725E-6,
43,112012,21200,1.316094305559848E-6,
44,112013,15552,7.941445912885022E-7,
45,112014,34480,7.198853963582926E-7,
46,112015,4666,8.692059239965393E-7,
47,112016,11966,3.4129158490441385E-8,
48,112017,13480,1.9085964602225454E-7,
49,112018,14831,3.7183025466287105E-8,
50,112019,46077,7.660081450417481E-7,
51,112020,1906,6.893743384572354E-7,
52,112030,2337,8.136571969609944E-7,
53,112041,4145,1.2879022682955113E-6,
54,112042,9610,1.5555753917788101E-6,
55,112043,1103,1.3865099277736186E-6,
56,112044,5576,1.1746852360181241E-6,
57,112045,2564,1.1204855913105672E-6,
58,112046,18320,4.891357946007788E-7,
59,112047,22718,4.6891942309601634E-7,
60,112048,6256,1.4340646123529716E-14,
61,112049,17069,8.27927326370516E-7,
62,112050,8062,1.2316254574536515E-6,
63,112060,9065,1.1175354940326752E-6,
64,112070,2276,1.630857834353638E-6,
65,112111,39164,1.6313628560083519E-7,
66,112112,4819,6.384315709745993E-7,
67,112113,7180,9.736127159450103E-7,
68,112114,4624,6.271273700490811E-7,
69,112115,1326,6.022634008026089E-7,
70,112116,4584,1.0166420557424599E-6,
71,112117,2017,1.537569121939938E-6,
72,112118,4443,9.372799760037925E-7,
73,112119,6741,3.818434706058198E-7,
74,112120,6306,5.655510398369992E-7,
75,112130,3588,2.198206967527039E-6,
76,112140,5675,1.097575485886753E-6,
77,112150,567,2.1088243408495945E-7,
78,112160,4941,9.328078924699785E-7,
79,112170,17030,4.776425434286106E-7,
80,112180,5677,1.7985887203810447E-6,
81,112190,13172,6.945069313769073E-7,
82,112200,33905,6.177068899877277E-7,
83,112300,8315,1.13025939568199E-6,
84,112400,30830,8.493928926996245E-7,
85,112500,806,1.0488517980749542E-7,
86,112600,7692,7.484889427255503E-7,
87,112700,9177,7.530350921076076E-7,
88,112801,6769,9.519425066863413E-7,
89,112802,7135,7.262412852353642E-7,
90,112803,17267,7.670845523079472E-7,
91,112804,9185,8.205802790503854E-7,
92,112805,5556,7.72927217981584E-7,
93,112806,6540,8.226986086520706E-7,
94,112807,9643,9.293766945451607E-7,
95,112808,3496,9.8749853892464E-7,
96,112809,10746,1.1486832615107952E-6,
97,112901,27,1.369825986381569E-7,
98,112902,3218,9.687252439275772E-7,
99,112903,1169,1.162107117050964E-6,
100,112904,2951,1.0498488353315284E-6,
101,112905,37,1.0041354185603993E-6,
102,112906,2413,1.0053842406836218E-6,
103,112907,779,8.115941901812004E-7,
104,112908,5204,9.049187615037248E-7,
105,112909,20422,1.8959164188179007E-6,
106,113000,4675,0.0,
107,114001,54761,1.6357282459816247E-6,
108,114002,2390,5.374288697867326E-7,
109,114100,1656,1.4915072342186468E-6,
110,114210,16802,1.1543827198284755E-6,
111,114221,2409,1.1845159254266917E-6,
112,114222,5839,2.443763192255492E-6,
113,114223,174,1.0584420000165843E-6,
114,114224,77580,8.358525712561233E-7,
115,114225,2250,2.178612293941703E-6,
116,114226,17050,1.6934529269347331E-6,
117,114227,24212,1.799488156272191E-6,
118,114228,5771,2.119341503618826E-6,
