system:index,PfafIDLivWN_yearY2014M12,countLivWN_yearY2014M12,meanLivWN_yearY2014M12,.geo
0,111011,2536,1.5343470167209478E-6,
1,111012,3921,7.453380599944983E-6,
2,111013,1194,5.757932746195645E-7,
3,111014,5605,2.383774120972504E-6,
4,111015,21769,3.0308067917735606E-7,
5,111016,2382,1.2640819884584144E-7,
6,111017,11168,3.794896530290811E-7,
7,111018,2509,1.0815995064234914E-7,
8,111019,8353,4.712920805092066E-8,
9,111020,14779,3.54912154342175E-8,
10,111030,6961,9.641997549492871E-11,
11,111041,17205,1.709615229469283E-7,
12,111042,6643,1.0241541142566205E-7,
13,111043,349,5.384349342467587E-8,
14,111044,6597,1.5730962480300802E-7,
15,111045,7591,2.0968957015900625E-8,
16,111046,4623,8.046170472795176E-9,
17,111047,903,2.3399736825017806E-8,
18,111048,4457,8.062588665751886E-8,
19,111049,4490,2.116585958462476E-7,
20,111050,20250,1.5478322265724847E-7,
21,111060,5660,2.820387171570306E-7,
22,111070,13788,4.188615496825444E-6,
23,111081,5223,1.9401729150878737E-5,
24,111082,18754,2.7952850957919737E-6,
25,111083,6133,6.742208072904431E-7,
26,111084,15194,5.81795074856767E-6,
27,111085,10124,6.894026356598793E-7,
28,111086,2528,4.276210834291979E-6,
29,111087,13852,6.5778430433220296E-6,
30,111088,3118,1.1432071706112166E-5,
31,111089,2844,1.3383128842189588E-5,
32,111090,510,4.3051065855557476E-5,
33,111091,212,6.70997548525691E-5,
34,111092,2946,6.5154066522762E-5,
35,111093,19956,1.984375621890277E-6,
36,111094,2485,3.570540806618584E-6,
37,111095,1794,4.62101798154347E-7,
38,111096,2707,5.527773421296354E-6,
39,111097,2700,3.208486780601651E-6,
40,111098,3449,7.594434734282134E-6,
41,111099,5594,4.367545341172099E-6,
42,112011,3093,1.0907026538308767E-5,
43,112012,21200,1.4403262888046028E-5,
44,112013,15552,8.614747799744962E-6,
45,112014,34480,7.727305949803924E-6,
46,112015,4666,9.398229527446307E-6,
47,112016,11966,3.7293655546007833E-7,
48,112017,13480,2.09764652874711E-6,
49,112018,14831,4.2907457438697996E-7,
50,112019,46077,8.899477201556706E-6,
51,112020,1906,8.071110871309105E-6,
52,112030,2337,9.124256214982525E-6,
53,112041,4145,1.3824645830865527E-5,
54,112042,9610,1.6614238707681856E-5,
55,112043,1103,1.4750415192660096E-5,
56,112044,5576,1.2502018446264222E-5,
57,112045,2564,1.190582456037931E-5,
58,112046,18320,5.222408999322631E-6,
59,112047,22718,5.0239677372222376E-6,
60,112048,6256,1.623772723268331E-13,
61,112049,17069,9.503191725325601E-6,
62,112050,8062,1.3115331765177902E-5,
63,112060,9065,1.1951588964144486E-5,
64,112070,2276,1.7579474496290104E-5,
65,112111,39164,1.96122089567122E-6,
66,112112,4819,7.624980145581565E-6,
67,112113,7180,1.1724753966079416E-5,
68,112114,4624,7.477334255473887E-6,
69,112115,1326,7.266588498178154E-6,
70,112116,4584,1.2139303454949853E-5,
71,112117,2017,1.867589882954082E-5,
72,112118,4443,1.1100805682518828E-5,
73,112119,6741,4.610732341156603E-6,
74,112120,6306,6.795336064589537E-6,
75,112130,3588,2.669337924797162E-5,
76,112140,5675,1.3098572941803705E-5,
77,112150,567,2.5545847519224705E-6,
78,112160,4941,1.1134850565802898E-5,
79,112170,17030,5.70468066667798E-6,
80,112180,5677,2.1298500213220097E-5,
81,112190,13172,8.188799309002121E-6,
82,112200,33905,7.2786684280832656E-6,
83,112300,8315,1.3160112568730087E-5,
84,112400,30830,9.911662702235797E-6,
85,112500,806,1.2108659412069345E-6,
86,112600,7692,8.585115140018445E-6,
87,112700,9177,8.588066527687567E-6,
88,112801,6769,1.0805109663761528E-5,
89,112802,7135,8.244766690230996E-6,
90,112803,17267,8.827205622172211E-6,
91,112804,9185,9.656610729631163E-6,
92,112805,5556,9.027181998503752E-6,
93,112806,6540,9.598382118678708E-6,
94,112807,9643,1.0948854423592019E-5,
95,112808,3496,1.1695867769791856E-5,
96,112809,10746,1.3606254136146251E-5,
97,112901,27,1.539691696895464E-6,
98,112902,3218,1.0906239793424705E-5,
99,112903,1169,1.305631405289761E-5,
100,112904,2951,1.1737335387726358E-5,
101,112905,37,1.1015129879603964E-5,
102,112906,2413,1.1139400114492793E-5,
103,112907,779,8.890048985935476E-6,
104,112908,5204,1.0005066364671157E-5,
105,112909,20422,2.0420057217812903E-5,
106,113000,4675,0.0,
107,114001,54761,1.8825157568205252E-5,
108,114002,2390,6.111504998438313E-6,
109,114100,1656,1.6460959048009853E-5,
110,114210,16802,1.2912122310621381E-5,
111,114221,2409,1.3321396561938576E-5,
112,114222,5839,2.7628140757355113E-5,
113,114223,174,1.1865096093999078E-5,
114,114224,77580,9.582350721059287E-6,
115,114225,2250,2.4656113152980986E-5,
116,114226,17050,1.9315846377896168E-5,
117,114227,24212,2.074151065650507E-5,
118,114228,5771,2.4543921929475706E-5,
119,114229,9213,3.472829975065661E-5,
120,114230,2510,1.3649189118915153E-5,
121,114240,9987,2.707770351554976E-5,
122,114250,4469,2.887793967479324E-5,
123,114260,6798,5.1617883464925014E-5,
124,114270,14977,1.2746405841305274E-5,
125,114281,1050,1.2068542836700928E-6,
126,114282,6319,4.01784395956048E-5,
127,114283,60,9.89419101863203E-7,
128,114284,14492,2.6016442623721016E-6,
129,114285,1297,1.0771566964100214E-6,
130,114286,6726,3.5266521130269116E-5,
131,114287,4228,2.255362139023147E-5,
132,114288,2619,2.1409741007224207E-5,
133,114289,5390,4.462089814977198E-5,
134,114290,26586,4.586203751411892E-5,
135,114300,722,1.0771919802977413E-5,
136,114410,3376,1.3011764424100428E-5,
137,114411,11647,1.8552884749064916E-5,
138,114412,3525,1.6439448699741997E-5,
139,114413,15127,1.645871389342078E-5,
140,114414,3267,1.2636821797777819E-5,
141,114415,1,1.593661240511648E-5,
142,114416,4264,1.2588591451560532E-5,
143,114417,542,1.4433649814796458E-5,
144,114418,12522,1.1747342208075333E-5,
145,114419,3385,1.277268755012095E-5,
146,114420,17640,6.3511776428243785E-6,
147,114430,12313,3.249060864832214E-6,
148,114441,1660,2.9534632567046455E-5,
149,114442,3796,1.14695579581859E-5,
150,114443,23070,2.2654436309349595E-5,
151,114444,3586,4.349198586094598E-5,
152,114445,6066,3.794272640094709E-5,
153,114446,8489,3.524500131269586E-5,
154,114447,2883,5.3092300767708617E-5,
155,114448,12265,7.657534907214964E-5,
156,114449,8665,1.3557208265681727E-4,
157,114450,473,5.882356860896134E-5,
158,114460,29132,5.062552740567239E-5,
159,114470,26976,3.0231345861850467E-5,
160,114480,17674,8.105416896058759E-5,
161,114490,22455,2.3780199002480467E-4,
162,114500,27914,1.5527485685827614E-5,
163,114601,5823,1.233351520400293E-5,
164,114602,10662,1.8111403073014598E-5,
165,114603,506,1.4586444065416697E-5,
166,114604,6933,9.9057679194102E-6,
167,114605,4090,1.2904039867576155E-5,
168,114606,5583,1.3361933594471936E-5,
169,114607,21267,1.2625767468823905E-5,
170,114608,3869,1.3647035241424408E-5,
171,114609,2978,1.424707295555773E-5,
172,114701,4745,2.11379724146306E-5,
173,114702,5013,2.446600772608762E-5,
174,114703,5019,1.849863781142413E-5,
175,114704,8359,1.0751422853456119E-5,
176,114705,9685,1.2003925412003506E-5,
177,114706,1442,4.160782982532444E-6,
178,114707,446,5.337961518381E-6,
179,114708,1479,6.0853848478504134E-6,
180,114709,13,5.731683076099264E-14,
181,114801,5712,2.8592211955410164E-10,
182,114802,3134,2.657271171984042E-13,
183,114803,856,2.711079412633955E-13,
184,114804,3306,4.085283384032756E-13,
185,114805,5341,2.4334499168741657E-13,
186,114806,4465,2.1199230684073906E-13,
187,114807,8853,2.2283368900816635E-13,
188,114808,9325,6.807732458696336E-5,
189,114809,12520,3.0700948289518234E-5,
190,114910,24602,6.276454718115705E-7,
191,114920,13186,3.150764431579315E-13,
192,114931,367,1.990870794545565E-13,
193,114932,6668,3.0432642673803277E-13,
194,114933,3381,3.191717773785317E-13,
195,114934,4835,2.975676333098372E-13,
196,114935,10129,1.7492021139436469E-6,
197,114936,1413,3.3746479630389884E-4,
198,114937,2005,2.6408586085199776E-4,
199,114938,7122,9.467479104634852E-5,
200,114939,3723,1.2533839835043429E-6,
201,114940,17917,3.7092978928682145E-5,
202,114950,8839,9.187876943118526E-5,
203,114960,17499,2.083018385112726E-4,
204,114970,3830,8.414530668149104E-5,
205,114980,12419,2.6218771948978404E-4,
206,114990,32085,3.472706768144873E-4,
207,115101,71040,9.503529737531964E-5,
208,115102,2813,4.962282850684175E-5,
209,115103,1057,9.862715650062064E-5,
210,115201,4944,3.868105450164629E-5,
211,115202,7332,2.8643587774086215E-5,
212,115203,9279,2.5691244384964463E-5,
213,115204,4711,4.23424759926104E-5,
214,115205,18925,4.713497405933328E-5,
215,115206,1020,1.5622789870692843E-5,
216,115207,6669,3.2868792235028716E-5,
217,115208,4606,3.293924340466512E-5,
218,115209,6567,5.82756093115314E-5,
219,115300,31550,8.211601533913573E-5,
220,115410,59,5.462578581923903E-7,
221,115421,2746,1.3336594840119743E-6,
222,115422,5910,4.6038880399669885E-6,
