system:index,PfafIDrunoff_annua,countrunoff_annua,meanrunoff_annua,.geo
0,111011,2479,3.717720366117654E-4,
1,111012,3914,1.0303052380213976E-4,
2,111013,1141,9.8008433856558E-5,
3,111014,5605,3.831626932471901E-5,
4,111015,21086,6.218459507852662E-6,
5,111016,2382,1.4587638184205965E-6,
6,111017,10902,8.051088949208617E-5,
7,111018,2506,3.28479988596535E-4,
8,111019,8039,1.1009839192382703E-4,
9,111020,14779,3.0200994512218933E-4,
10,111030,6859,4.686436594625319E-4,
11,111041,17198,0.002543952932655974,
12,111042,6643,6.114790383960225E-4,
13,111043,349,0.0016312454226513143,
14,111044,6597,0.0022065144485241698,
15,111045,7591,2.786680948616758E-4,
16,111046,4623,1.6274404446041307E-4,
17,111047,903,1.6019027517299598E-4,
18,111048,4457,6.84231825496931E-4,
19,111049,4490,0.0015393879817182543,
20,111050,19515,0.0023704313653823807,
21,111060,5660,0.006373765721740199,
22,111070,13666,0.009164860180111705,
23,111081,5213,-0.0183736146242957,
24,111082,18754,0.01524830109988304,
25,111083,6133,0.022794503254102642,
26,111084,15194,0.04947474546950529,
27,111085,10124,0.04300372571294265,
28,111086,2528,0.057066960067558216,
29,111087,13852,0.061493153022398314,
30,111088,3118,0.041156103160315524,
31,111089,2844,0.04142455660341548,
32,111090,510,0.13461840196550903,
33,111091,204,-0.5363965125177786,
34,111092,2946,0.009661472799929635,
35,111093,19488,0.03832896256714831,
36,111094,2475,0.09846514509069987,
37,111095,1771,0.10770866236603636,
38,111096,2707,0.07442934204405943,
39,111097,2562,0.07241247833431139,
40,111098,3435,0.0768456634594455,
41,111099,4503,0.06732667333788697,
42,112011,3093,0.03703787631051926,
43,112012,21200,0.018660450502730255,
44,112013,15552,0.027910382650460565,
45,112014,34480,0.019681447890538308,
46,112015,4666,0.029306003543955617,
47,112016,11966,0.012412513717689908,
48,112017,13480,0.015957436496072504,
49,112018,14831,0.010398761610063657,
50,112019,46077,0.029437397591737118,
51,112020,1906,0.011230300852639642,
52,112030,2337,0.011414850906794676,
53,112041,4145,3.922431046084607E-4,
54,112042,9610,0.0056337343088878845,
55,112043,1103,6.779968492978547E-4,
56,112044,5576,0.005640391773120455,
57,112045,2564,4.120395591965588E-4,
58,112046,18320,0.01557835335472726,
59,112047,22718,0.01401021057834932,
60,112048,6256,0.015612402417288763,
61,112049,17069,0.029178190449399996,
62,112050,8062,0.007855544466164656,
63,112060,9044,0.03334992404256894,
64,112070,2276,7.710128134573522E-4,
65,112111,38098,0.03047913524198727,
66,112112,4819,0.14383333957547179,
67,112113,7103,0.05373716186534671,
68,112114,4624,0.12689501742802153,
69,112115,1314,0.06583750650339872,
70,112116,4584,0.12169806723655253,
71,112117,1995,0.0542702484709155,
72,112118,4443,0.10192904553474484,
73,112119,6706,0.03785435724032104,
74,112120,6306,0.054532052761897265,
75,112130,3465,0.01801944240016827,
76,112140,5654,0.047841669461271184,
77,112150,489,0.015524561107047688,
78,112160,4941,0.057151593974455475,
79,112170,16279,0.010878900410569874,
80,112180,5677,0.004155315014930875,
81,112190,12627,0.003983109992683509,
82,112200,33892,0.0059663978460450205,
83,112300,8109,0.011568197002197314,
84,112400,30829,0.0177004624229823,
85,112500,769,0.012299041935049887,
86,112600,7681,0.02073323094325515,
87,112700,9037,0.019246852895892393,
88,112801,6763,0.02266815167779709,
89,112802,7135,0.01866105584033144,
90,112803,17267,0.02554631226631049,
91,112804,9185,0.022590819578078302,
92,112805,5556,0.03794841365376922,
93,112806,6540,0.032683185856932216,
94,112807,9643,0.04793949235587667,
95,112808,3496,0.037978013288574676,
96,112809,10746,0.06421117336151498,
97,112901,25,0.01782416112630447,
98,112902,3218,0.023192458080098465,
99,112903,1119,0.020497050002391798,
100,112904,2948,0.021488317774200336,
101,112905,32,0.025355346500873566,
102,112906,2394,0.026161678109431097,
103,112907,744,0.03023398093910272,
104,112908,5204,0.030557826705040713,
105,112909,19271,0.042477725202967956,
106,113000,4073,0.003753961070184062,
107,114001,54761,0.1608199740685727,
108,114002,2390,0.0893495348301452,
109,114100,1621,9.40124125883754E-4,
110,114210,16802,0.024542441518855356,
111,114221,2409,0.02107473825559384,
112,114222,5839,0.01605189404514326,
113,114223,174,0.00857344559388637,
114,114224,77580,0.049419045105058235,
115,114225,2250,0.022197574750820667,
116,114226,17050,0.00938702658424636,
117,114227,24212,0.06743590101223543,
118,114228,5771,0.08529871761343669,
119,114229,9213,0.12496876162888328,
120,114230,2510,0.005426711195197926,
121,114240,9987,0.00394048224294594,
122,114250,4469,0.005533179647638394,
123,114260,6798,0.008908561540078816,
124,114270,14977,0.015836415797069993,
125,114281,1050,0.010567065727231057,
126,114282,6319,0.037852011150856624,
127,114283,60,0.03204507515661116,
128,114284,14492,0.07745734827466311,
129,114285,1297,0.01701934697614421,
130,114286,6726,0.03581873775390096,
131,114287,4228,0.03515868211996784,
132,114288,2619,0.07807675329356434,
133,114289,5390,0.05317603154395982,
134,114290,26586,0.17825520048181276,
