system:index,PfafIDrunoff_month_M12,countrunoff_month_M12,meanrunoff_month_M12,.geo
0,111011,2479,4.2995324699461956E-5,
1,111012,3914,1.2126122800196253E-5,
2,111013,1141,1.1105279249994811E-5,
3,111014,5605,5.7380342622738025E-6,
4,111015,21086,4.5311500098150275E-7,
5,111016,2382,1.2266527061296927E-8,
6,111017,10902,1.6918531013601698E-8,
7,111018,2506,1.705345413162188E-10,
8,111019,8039,1.2923589378008652E-5,
9,111020,14779,5.848190310073202E-5,
10,111030,6859,4.7589001905869466E-5,
11,111041,17198,2.6967794414641704E-4,
12,111042,6643,1.0376487956470105E-4,
13,111043,349,9.269592099647242E-5,
14,111044,6597,3.664984079632764E-4,
15,111045,7591,5.058737527352435E-5,
16,111046,4623,2.3124546550093714E-5,
17,111047,903,8.864388563712071E-6,
18,111048,4457,8.650487825464786E-5,
19,111049,4490,2.0534426530840675E-4,
20,111050,19515,3.4066061741462426E-4,
21,111060,5660,6.539488392074426E-4,
22,111070,13666,0.0012193847052916725,
23,111081,5213,4.944420902046226E-5,
24,111082,18754,0.0010132814800217437,
25,111083,6133,0.0017178144135760677,
26,111084,15194,0.001149049727208696,
27,111085,10124,9.296387447623275E-4,
28,111086,2528,4.165828485564727E-5,
29,111087,13852,1.5027466488510118E-4,
30,111088,3118,2.9019919741896875E-4,
31,111089,2844,3.291802105618748E-4,
32,111090,510,0.005139119624464497,
33,111091,204,-0.028240228609088425,
34,111092,2946,0.0031036463010096333,
35,111093,19488,0.003398791940817346,
36,111094,2475,0.004534025341692197,
37,111095,1771,0.009941607327097342,
38,111096,2707,0.007218859260919347,
39,111097,2562,0.008005087615369067,
40,111098,3435,0.004832987331052458,
41,111099,4503,0.006017580650442944,
42,112011,3093,0.0022919556268267438,
43,112012,21200,0.0012765038255507497,
44,112013,15552,0.001976786217056321,
45,112014,34480,0.0015021628165776105,
46,112015,4666,0.0022489793163678346,
47,112016,11966,0.001289813263436538,
48,112017,13480,0.001220669220295713,
49,112018,14831,7.98686470392491E-4,
50,112019,46077,0.001165824087457467,
51,112020,1906,8.398469111861803E-4,
52,112030,2337,6.221846293139771E-4,
53,112041,4145,3.132830514389616E-5,
54,112042,9610,7.016693003391313E-4,
55,112043,1103,6.736061686017808E-5,
56,112044,5576,7.083342923154366E-4,
57,112045,2564,3.777952004022122E-5,
58,112046,18320,0.0014077147873698,
59,112047,22718,0.0013201037233184722,
60,112048,6256,0.0016287266686072148,
61,112049,17069,0.001856163953849912,
62,112050,8062,5.935040980817977E-4,
63,112060,9044,0.002363029932096519,
64,112070,2276,7.913922687111332E-5,
65,112111,38098,0.0017764815560024584,
66,112112,4819,0.003718327568560682,
67,112113,7103,8.577206011346609E-4,
68,112114,4624,0.001500918832334817,
69,112115,1314,8.531044415622348E-4,
70,112116,4584,0.001982441583673614,
71,112117,1995,5.163019019888327E-4,
72,112118,4443,0.001003080671424215,
73,112119,6706,0.001106901828040454,
74,112120,6306,0.0013464965197594221,
75,112130,3465,3.756075044156013E-4,
76,112140,5654,0.0010186048718358498,
77,112150,489,7.334896448238073E-4,
78,112160,4941,8.851332825349278E-4,
79,112170,16279,2.117144735768031E-4,
80,112180,5677,1.7498837408479406E-4,
81,112190,12627,2.287729156403227E-4,
82,112200,33892,2.810115868006673E-4,
83,112300,8109,6.329159765142613E-4,
84,112400,30829,7.842151151343589E-4,
85,112500,769,3.8282782729260457E-4,
86,112600,7681,0.001052467443851897,
87,112700,9037,0.0010046517822511248,
88,112801,6763,0.0010076433317725596,
89,112802,7135,0.0011183973155672819,
90,112803,17267,0.0013823871061662296,
91,112804,9185,0.0010286776519816496,
92,112805,5556,0.001188237675044105,
93,112806,6540,0.0011341816686399994,
94,112807,9643,0.0012851921073891485,
95,112808,3496,0.0014651388425432463,
96,112809,10746,0.0015921856292804232,
97,112901,25,7.4551123371306E-4,
98,112902,3218,0.0014680588026035543,
99,112903,1119,0.0014416455890974736,
100,112904,2948,0.001516177525294581,
101,112905,32,0.0022799659054726362,
102,112906,2394,0.0019111946083142076,
103,112907,744,0.0025766024009653927,
104,112908,5204,0.0020434852265308386,
105,112909,19271,0.0034821292118278396,
106,113000,4073,1.950410675090763E-4,
107,114001,54761,0.011371896450564002,
108,114002,2390,0.006465720045197366,
109,114100,1621,-4.213680434398921E-4,
110,114210,16802,0.001511954695439392,
111,114221,2409,0.0020187635310687834,
112,114222,5839,0.001491939120943905,
113,114223,174,7.529211778749297E-4,
114,114224,77580,0.003915100757172245,
115,114225,2250,0.002682657482488479,
116,114226,17050,0.0013195041260072873,
117,114227,24212,0.006064177743209065,
118,114228,5771,0.006640571007246207,
119,114229,9213,0.00920090527348688,
120,114230,2510,2.83087314412323E-4,
121,114240,9987,5.876917960101316E-4,
122,114250,4469,8.699275453956654E-4,
123,114260,6798,0.0012027515959799804,
124,114270,14977,0.001981750121092487,
125,114281,1050,0.00167284425355579,
126,114282,6319,0.00393695032468817,
127,114283,60,0.004887441174742004,
128,114284,14492,0.006299002285069172,
129,114285,1297,0.0017912132718291241,
130,114286,6726,0.003389755147643717,
131,114287,4228,0.0027729866612551685,
132,114288,2619,0.00463140702742343,
133,114289,5390,0.003658100929499085,
134,114290,26586,0.018450965519526127,
135,114300,722,-0.019570440962716356,
136,114410,3376,0.004264333479804087,
137,114411,11647,0.002854668094196954,
138,114412,3525,0.007145717382869338,
139,114413,15127,0.002015456761447792,
140,114414,3267,0.0018501317926797197,
141,114415,1,7.079013739712536E-4,
142,114416,4264,0.002603044324117756,
143,114417,542,0.00263986843064054,
144,114418,12522,0.003233427180861435,
145,114419,3385,0.0037439872239030773,
146,114420,17640,0.003070987087482533,
147,114430,12313,0.002698984183551153,
148,114441,1660,0.001432330260651328,
149,114442,3796,2.55456090728832E-4,
150,114443,23070,0.006376472133699133,
151,114444,3586,0.01188091575972219,
152,114445,6066,0.006902270816752315,
153,114446,8489,0.006158828307150627,
154,114447,2883,0.010404946556088307,
155,114448,12265,0.006511116409918348,
156,114449,8665,0.010973226279838355,
157,114450,473,0.003528127580959961,
158,114460,29132,0.006577301033731212,
159,114470,26976,0.007160064459304308,
160,114480,17674,0.011303472116685373,
161,114490,22455,0.012499999084529822,
162,114500,27871,0.0014665824416593746,
163,114601,5823,0.0016441845807266243,
164,114602,10662,0.002108791484736146,
165,114603,506,0.0022710519347985355,
166,114604,6933,4.8167664884291044E-4,
167,114605,4090,3.9853705538572056E-4,
168,114606,5583,0.0012026112862919443,
169,114607,21267,0.002422220996263706,
170,114608,3869,0.0037608661108415957,
171,114609,2978,0.0031831186032413228,
172,114701,4745,-0.011584750312839398,
173,114702,5013,6.502379505448735E-5,
174,114703,5019,-0.004590458436732919,
175,114704,8359,0.002332647816999376,
176,114705,9685,0.003420449026660384,
177,114706,1442,0.004705276142571264,
178,114707,446,0.004295036767763586,
179,114708,1479,0.0029181245852696117,
180,114709,13,0.003765219970966491,
181,114801,5712,0.0031377098643510116,
182,114802,3134,0.0020022389026408557,
183,114803,856,0.003443133087181786,
184,114804,3306,0.004325225531838947,
185,114805,5341,0.0031932541790800186,
186,114806,4465,0.0015376844521127603,
187,114807,8853,0.002508623991630387,
188,114808,9325,0.0015044102674470665,
189,114809,12520,0.0020374131796745713,
190,114910,24602,0.0022836472142832745,
191,114920,13186,0.003211962741751584,
192,114931,367,0.002570914120393592,
193,114932,6668,9.906905347426736E-4,
194,114933,3381,9.311857019313974E-4,
195,114934,4835,0.0033133803529880783,
196,114935,10129,0.005256254117732591,
197,114936,1413,0.014874783974884037,
198,114937,2005,0.01474764090506315,
199,114938,7122,0.013668725049360075,
200,114939,3723,0.006393336002723672,
201,114940,17917,0.0027764893531648507,
202,114950,8839,0.00713007159643592,
203,114960,17499,0.0013188532522820566,
204,114970,3830,0.006110828268727789,
205,114980,12419,0.0035874303689586587,
206,114990,32085,0.009240960040822642,
207,115101,70982,0.025639597196366652,
208,115102,2813,0.019957224759949613,
209,115103,1057,0.028864879496069078,
210,115201,4944,0.0281826078686557,
211,115202,7332,0.030198885631996096,
212,115203,9279,0.027416395605585675,
213,115204,4711,0.01492293595371762,
214,115205,18925,0.017514601199768342,
215,115206,1020,0.03783753145941677,
216,115207,6669,0.026805109219994086,
217,115208,4606,0.013534079187735748,
218,115209,6567,0.015363572357632438,
219,115300,31550,0.015217447412098087,
220,115410,59,0.005167969893989158,
221,115421,2746,0.007853212567644319,
222,115422,5910,0.010732301683294069,
223,115423,190,0.00339707624744636,
224,115424,27002,0.007914700398381254,
225,115425,317,0.00394377926171759,
226,115426,4129,0.007097359783088085,
227,115427,2339,0.004575955921844974,
228,115428,1980,0.00884669120778236,
229,115429,11579,0.017037572993650295,
230,115430,18309,0.005989568898074576,
231,115440,14238,0.008149473114650585,
232,115451,34,0.0030268398863019384,
233,115452,3041,0.01174027695506513,
234,115453,6141,0.014187944703201808,
235,115454,5229,0.02087546897205544,
236,115455,8528,0.022334835734692846,
237,115456,4944,0.04183481784512813,
238,115457,740,0.03048517986295066,
239,115458,4129,0.04036248168600213,
240,115459,17083,0.026640055383327838,
241,115460,8270,0.05184996588958569,
242,115470,9268,0.03093536451799456,
243,115480,12405,0.038036160500146195,
244,115490,6089,0.03587152116784693,
245,115501,6,0.003968548906960979,
246,115502,8893,0.0015373129406048836,
247,115503,750,0.004232881812023705,
248,115504,2436,0.002752088033509542,
249,115505,2096,0.0036807162235024875,
250,115506,7486,0.0029289870576753763,
251,115507,574,0.004747993943140987,
252,115508,7481,0.0058832214648226605,
253,115509,7552,0.003234521373041126,
254,115601,269,0.005939277982715282,
255,115602,21806,0.013757080166177809,
256,115603,1991,0.016642338008823403,
257,115604,2276,0.02548826060457096,
258,115605,19149,0.015592726265275064,
259,115606,1710,0.013309454668831872,
260,115607,4877,0.010274444313465622,
261,115608,12255,0.010527793157372237,
262,115711,18,0.003367254078195725,
263,115712,7528,0.0035194862053944953,
264,115713,7,0.007823492400348186,
265,115714,25076,0.005279995996744978,
266,115715,13882,9.525714163136827E-4,
267,115716,6926,0.003948742274777878,
268,115717,32235,0.004407417376326911,
