system:index,PfafIDDomWN_monthY2014M06,countDomWN_monthY2014M06,meanDomWN_monthY2014M06,.geo
0,111011,2536,3.960014879667094E-4,
1,111012,3921,4.611103436487258E-6,
2,111013,1194,1.3472960557876296E-5,
3,111014,5605,2.6639702240202193E-6,
4,111015,21769,1.8553861476403478E-5,
5,111016,2382,2.5324825322661184E-7,
6,111017,11168,4.435627827269999E-6,
7,111018,2509,2.338440230882782E-7,
8,111019,8353,1.7589020689731164E-6,
9,111020,14779,8.080339475538106E-7,
10,111030,6961,8.109866455520567E-6,
11,111041,17205,3.2437485511632847E-6,
12,111042,6643,3.5298444034260803E-6,
13,111043,349,4.438907025033448E-6,
14,111044,6597,4.467904672207906E-6,
15,111045,7591,3.3937335122706552E-6,
16,111046,4623,1.08942646429048E-6,
17,111047,903,4.3834458122534145E-6,
18,111048,4457,4.383138502086813E-6,
19,111049,4490,3.231556638053006E-6,
20,111050,20250,4.688895130948178E-6,
21,111060,5660,2.4474589014972074E-5,
22,111070,13788,1.2120962314634843E-4,
23,111081,5223,7.671273714056019E-5,
24,111082,18754,1.9453988711713824E-5,
25,111083,6133,1.6168814455086542E-5,
26,111084,15194,2.21238821481999E-5,
27,111085,10124,5.151404327336229E-6,
28,111086,2528,1.858988322808772E-6,
29,111087,13852,5.349930470728914E-6,
30,111088,3118,1.38595703768615E-5,
31,111089,2844,1.6765269296922042E-5,
32,111090,510,8.398805929567669E-6,
33,111091,212,9.180612099666556E-5,
34,111092,2946,1.2596723555655074E-4,
35,111093,19956,3.366299554927744E-5,
36,111094,2485,8.154996451200112E-6,
37,111095,1794,5.153349463609126E-6,
38,111096,2707,2.0444335551816292E-5,
39,111097,2700,1.9199448782449083E-5,
40,111098,3449,4.0589210130332175E-5,
41,111099,5594,6.487895605724925E-6,
42,112011,3093,1.1295143074002649E-6,
43,112012,21200,1.0900331272068244E-6,
44,112013,15552,1.2211363949088476E-6,
45,112014,34480,1.7707529541569184E-6,
46,112015,4666,8.750411171787684E-7,
47,112016,11966,5.241711745434178E-6,
48,112017,13480,3.299619722004366E-6,
49,112018,14831,5.613566897582709E-6,
50,112019,46077,7.616354922261787E-6,
51,112020,1906,3.3711955561622047E-6,
52,112030,2337,6.121674825941194E-7,
53,112041,4145,2.545245851382547E-6,
54,112042,9610,1.588641246797089E-6,
55,112043,1103,1.6532735556007077E-6,
56,112044,5576,1.5125120036088335E-6,
57,112045,2564,1.7781511537388238E-6,
58,112046,18320,3.6706133747675115E-6,
59,112047,22718,3.6940508745202165E-6,
60,112048,6256,6.402093263086743E-6,
61,112049,17069,1.0908506726477718E-5,
62,112050,8062,1.852583147744621E-6,
63,112060,9065,2.0497647736022424E-6,
64,112070,2276,3.985803277728695E-6,
65,112111,39164,9.449260649309006E-6,
66,112112,4819,3.114899392464277E-6,
67,112113,7180,1.8247396221497192E-6,
68,112114,4624,2.972312631284229E-6,
69,112115,1326,2.223006771070938E-6,
70,112116,4584,4.558659585300023E-6,
71,112117,2017,1.6731854943760428E-6,
72,112118,4443,1.84226472245447E-5,
73,112119,6741,3.1902953355348974E-6,
74,112120,6306,4.7491654863021993E-7,
75,112130,3588,3.815417208913893E-7,
76,112140,5675,8.771614517307012E-7,
77,112150,567,3.0659129417683044E-7,
78,112160,4941,8.006351741731492E-7,
79,112170,17030,6.123682265663718E-7,
80,112180,5677,6.866116579080756E-7,
81,112190,13172,7.275418881543615E-7,
82,112200,33905,9.259041627233768E-7,
83,112300,8315,1.269510994757578E-6,
84,112400,30830,1.5084259473600343E-6,
85,112500,806,1.3802139694716837E-6,
86,112600,7692,1.2101067146847875E-6,
87,112700,9177,1.094652037931158E-6,
88,112801,6769,7.374697948593624E-7,
89,112802,7135,4.516668370530425E-7,
90,112803,17267,2.860967971461343E-7,
91,112804,9185,1.5401775573020514E-6,
92,112805,5556,7.272327216495288E-7,
93,112806,6540,1.4181414858566782E-6,
94,112807,9643,7.286879437145219E-7,
95,112808,3496,1.4247239968900253E-6,
96,112809,10746,4.041116930737927E-6,
97,112901,27,1.0380620556817622E-6,
98,112902,3218,8.377028033509755E-7,
99,112903,1169,7.64780017571723E-7,
100,112904,2951,1.0580550228826325E-6,
101,112905,37,1.4791070641041676E-6,
102,112906,2413,1.3437085164781748E-6,
103,112907,779,1.4929353738178537E-6,
104,112908,5204,1.1355117348331E-6,
105,112909,20422,8.40553858220327E-6,
106,113000,4675,0.0,
107,114001,54761,5.736279021217953E-6,
108,114002,2390,1.3231485833525606E-6,
109,114100,1656,4.888143496607118E-6,
110,114210,16802,8.953973790334466E-7,
111,114221,2409,6.975371841198889E-7,
112,114222,5839,8.022177435675807E-7,
113,114223,174,8.760849586010785E-7,
114,114224,77580,9.801788961231239E-6,
115,114225,2250,6.886712637520408E-7,
116,114226,17050,7.292106054882761E-6,
117,114227,24212,9.62622748819217E-6,
118,114228,5771,8.664435033063108E-6,
119,114229,9213,8.625956272444713E-6,
120,114230,2510,4.928225341153636E-7,
121,114240,9987,7.113348000977004E-6,
122,114250,4469,1.1650817329606817E-5,
123,114260,6798,1.367735365039675E-5,
124,114270,14977,1.3571835920045427E-5,
125,114281,1050,3.796109543803709E-6,
126,114282,6319,3.3575399261740045E-6,
127,114283,60,4.590754844647234E-6,
128,114284,14492,9.470074471266587E-6,
129,114285,1297,3.311442886697666E-6,
130,114286,6726,8.752761035551603E-6,
131,114287,4228,1.3603147047061243E-5,
132,114288,2619,2.284011443260935E-5,
133,114289,5390,4.3637334160945086E-5,
134,114290,26586,1.0020876536936282E-4,
135,114300,722,3.785413148733049E-5,
136,114410,3376,1.6586176634466374E-6,
137,114411,11647,1.724221240003323E-6,
138,114412,3525,3.2546986642839836E-6,
139,114413,15127,2.269079367536033E-6,
140,114414,3267,2.393566625427118E-6,
141,114415,1,1.7958549491693301E-6,
142,114416,4264,2.0145549557960737E-6,
143,114417,542,1.724906913911208E-6,
144,114418,12522,1.6729430890616962E-6,
145,114419,3385,1.5596235685559492E-6,
146,114420,17640,1.8977844547005685E-6,
147,114430,12313,3.3811163089150522E-6,
148,114441,1660,1.2950508944333832E-5,
149,114442,3796,9.010243384139753E-6,
150,114443,23070,1.6040998812163266E-5,
151,114444,3586,8.125596445336211E-6,
152,114445,6066,9.061111615818637E-6,
153,114446,8489,1.051736775091352E-5,
154,114447,2883,1.9819910935256823E-5,
155,114448,12265,2.7458827367210412E-5,
156,114449,8665,4.0561443783223514E-5,
157,114450,473,3.956731591621582E-5,
158,114460,29132,1.3272369011353854E-5,
159,114470,26976,1.4087442836995778E-5,
160,114480,17674,1.2333731985556597E-5,
161,114490,22455,2.184470154029818E-5,
162,114500,27914,2.073021290015619E-6,
163,114601,5823,2.245688823816326E-6,
164,114602,10662,4.4523672631577695E-6,
165,114603,506,1.490272089449606E-6,
166,114604,6933,2.8758071043207684E-6,
167,114605,4090,3.4241945816663133E-6,
168,114606,5583,5.328512852446746E-6,
169,114607,21267,2.361781540699213E-6,
170,114608,3869,9.793229639820795E-7,
171,114609,2978,1.1365180909259716E-6,
172,114701,4745,1.2565620880935013E-5,
173,114702,5013,4.782434267600262E-6,
174,114703,5019,5.89232248520028E-6,
175,114704,8359,1.3317629614977997E-6,
176,114705,9685,2.259328302170274E-6,
177,114706,1442,1.8431560805897299E-6,
178,114707,446,1.6374831360096772E-6,
179,114708,1479,1.5672373095177878E-6,
180,114709,13,3.959802739678177E-6,
181,114801,5712,5.893429032992407E-6,
182,114802,3134,6.97362085885773E-6,
183,114803,856,3.945490702401728E-6,
184,114804,3306,5.2696253105408085E-6,
185,114805,5341,6.613207319684509E-6,
186,114806,4465,7.691941524732422E-6,
187,114807,8853,7.235614336847157E-6,
188,114808,9325,2.0964452748887034E-5,
189,114809,12520,2.5104926690920965E-5,
190,114910,24602,3.5465576807133164E-6,
191,114920,13186,7.81816295486318E-6,
192,114931,367,5.714302054061521E-6,
193,114932,6668,4.010455325619941E-6,
194,114933,3381,6.8351445354962295E-6,
195,114934,4835,8.776589406317285E-6,
196,114935,10129,7.103592250272471E-6,
197,114936,1413,3.2228086296762844E-6,
198,114937,2005,3.787248817741878E-6,
199,114938,7122,8.400506055909706E-6,
200,114939,3723,7.935484318777736E-6,
201,114940,17917,1.8544093461560754E-5,
202,114950,8839,1.3988283937314292E-5,
203,114960,17499,5.489920747048307E-5,
204,114970,3830,2.378502529591375E-5,
205,114980,12419,5.925687751415728E-5,
206,114990,32085,4.8903781645539875E-5,
207,115101,71040,3.267719990143099E-5,
208,115102,2813,6.81105780442755E-5,
209,115103,1057,8.911985745972409E-5,
210,115201,4944,1.8212542830902137E-5,
211,115202,7332,4.3129942898908996E-5,
212,115203,9279,4.607783789219336E-5,
213,115204,4711,1.8276797423871705E-5,
214,115205,18925,4.280543735596261E-5,
215,115206,1020,9.134061894881653E-6,
216,115207,6669,1.4107812188892691E-5,
217,115208,4606,2.9741626615855092E-5,
218,115209,6567,1.0317543430110405E-4,
219,115300,31550,1.392871701552954E-4,
220,115410,59,1.9873926158733885E-7,
221,115421,2746,6.286685875683802E-6,
222,115422,5910,3.6565109011051487E-6,
223,115423,190,1.8919856594672465E-5,
224,115424,27002,4.982127604552626E-5,
225,115425,317,3.336224130633408E-5,
226,115426,4129,2.1747250625359347E-5,
227,115427,2339,3.2931286911864045E-5,
228,115428,1980,1.5879482876602654E-5,
229,115429,11579,9.451325784241904E-5,
230,115430,18309,1.1337256356070471E-5,
231,115440,14238,3.688394963821792E-5,
232,115451,34,0.0,
233,115452,3041,1.2334138899806732E-5,
234,115453,6141,1.8630996072954786E-5,
235,115454,5229,1.9940338301082544E-5,
236,115455,8528,1.600741221087612E-5,
237,115456,4944,4.015879467921811E-5,
238,115457,740,3.3050972515082344E-5,
239,115458,4129,4.6020216790876825E-5,
240,115459,17083,9.39545366023766E-5,
241,115460,8270,7.014863316052095E-5,
242,115470,9268,1.5363233211833225E-4,
243,115480,12405,1.0507060710145904E-4,
244,115490,6089,1.3344019212039798E-4,
245,115501,6,2.4832891969741956E-5,
246,115502,8893,3.791771628725958E-5,
247,115503,750,4.204576643219429E-5,
248,115504,2436,3.986825144447003E-5,
249,115505,2096,3.660639387313923E-5,
250,115506,7486,1.4365703041474457E-5,
251,115507,574,2.803574581008239E-5,
252,115508,7481,2.4318887366491573E-5,
