system:index,PfafIDDomWW_monthY2014M08,countDomWW_monthY2014M08,meanDomWW_monthY2014M08,.geo
0,111011,2536,5.14573177501327E-4,
1,111012,3921,4.6374833973216505E-6,
2,111013,1194,1.3556830894852844E-5,
3,111014,5605,2.6771632865055245E-6,
4,111015,21769,2.1169182341967836E-5,
5,111016,2382,2.5445254197454895E-7,
6,111017,11168,9.168293293489356E-6,
7,111018,2509,2.348133704069352E-7,
8,111019,8353,1.7678371145658936E-6,
9,111020,14779,8.112781095071299E-7,
10,111030,6961,8.162540425826808E-6,
11,111041,17205,3.2669753629002495E-6,
12,111042,6643,3.5482085130675285E-6,
13,111043,349,4.469263062604897E-6,
14,111044,6597,4.510383400497234E-6,
15,111045,7591,3.4118858337966362E-6,
16,111046,4623,1.0942424134270444E-6,
17,111047,903,4.411070967404731E-6,
18,111048,4457,4.4059071033516725E-6,
19,111049,4490,3.257340054386624E-6,
20,111050,20250,4.730459746071136E-6,
21,111060,5660,2.4545385749023754E-5,
22,111070,13788,2.6065810696397553E-4,
23,111081,5223,1.0844305024296808E-4,
24,111082,18754,1.9261006882619302E-5,
25,111083,6133,1.6107422659984902E-5,
26,111084,15194,2.525669413359761E-5,
27,111085,10124,5.013318881977182E-6,
28,111086,2528,1.7826017573692081E-6,
29,111087,13852,5.7595148987780905E-6,
30,111088,3118,1.6099454449601742E-5,
31,111089,2844,1.647478011125079E-5,
32,111090,510,8.286401192369245E-6,
33,111091,212,2.0659020820066476E-4,
34,111092,2946,2.118739689142873E-4,
35,111093,19956,3.882032441225931E-5,
36,111094,2485,8.329926132487877E-6,
37,111095,1794,5.134796697628641E-6,
38,111096,2707,2.173080628264027E-5,
39,111097,2700,3.141188020039233E-5,
40,111098,3449,4.377869670306683E-5,
41,111099,5594,6.570075567456651E-6,
42,112011,3093,1.3169131162528145E-6,
43,112012,21200,1.4316808605385914E-6,
44,112013,15552,1.8056218522560805E-6,
45,112014,34480,1.7509793886087361E-6,
46,112015,4666,9.481252372349159E-7,
47,112016,11966,5.1515396006227185E-6,
48,112017,13480,3.2411442211604E-6,
49,112018,14831,5.545595626705379E-6,
50,112019,46077,8.060916631631068E-6,
51,112020,1906,3.4128023818412844E-6,
52,112030,2337,6.459358865564278E-7,
53,112041,4145,3.1132169308809015E-6,
54,112042,9610,1.8533386831920342E-6,
55,112043,1103,2.5823022657016786E-6,
56,112044,5576,1.9275749643682986E-6,
57,112045,2564,1.7833496239775305E-6,
58,112046,18320,3.779970278956781E-6,
59,112047,22718,3.756943147624409E-6,
60,112048,6256,6.287202605989334E-6,
61,112049,17069,1.1361913403626018E-5,
62,112050,8062,2.0282254039056034E-6,
63,112060,9065,2.696024645513347E-6,
64,112070,2276,4.179239669964091E-6,
65,112111,39164,1.6886124098782137E-5,
66,112112,4819,3.1019258110345272E-6,
