system:index,PfafIDIrrWN_monthY2014M04,countIrrWN_monthY2014M04,meanIrrWN_monthY2014M04,.geo
0,111011,2536,5.9750458766203034E-5,
1,111012,3921,0.0,
2,111013,1194,0.0,
3,111014,5605,0.0,
4,111015,21769,0.0,
5,111016,2382,0.0,
6,111017,11168,0.0,
7,111018,2509,0.0,
8,111019,8353,0.0,
9,111020,14779,0.0,
10,111030,6961,0.0,
11,111041,17205,0.0,
12,111042,6643,0.0,
13,111043,349,0.0,
14,111044,6597,0.0,
15,111045,7591,0.0,
16,111046,4623,0.0,
17,111047,903,0.0,
18,111048,4457,0.0,
19,111049,4490,0.0,
20,111050,20250,0.0,
21,111060,5660,0.0,
22,111070,13788,1.4090713104260305E-4,
23,111081,5223,7.473058612518657E-4,
24,111082,18754,0.0,
25,111083,6133,0.0,
26,111084,15194,1.3282352085390638E-4,
27,111085,10124,7.977341146817101E-9,
28,111086,2528,0.0,
29,111087,13852,2.926607918626496E-5,
30,111088,3118,0.0,
31,111089,2844,1.056027101512018E-4,
32,111090,510,2.2183184017643623E-5,
33,111091,212,0.005333940060625523,
34,111092,2946,0.0016248964504409344,
35,111093,19956,6.661217256554571E-6,
36,111094,2485,2.497036358497438E-5,
37,111095,1794,8.714351742412303E-5,
38,111096,2707,2.6681596556730244E-4,
39,111097,2700,1.2365798594810124E-4,
40,111098,3449,2.5087330990044085E-4,
41,111099,5594,9.819029477497194E-6,
42,112011,3093,0.0,
43,112012,21200,0.0,
44,112013,15552,0.0,
45,112014,34480,0.0,
46,112015,4666,0.0,
47,112016,11966,0.0,
48,112017,13480,0.0,
49,112018,14831,0.0,
50,112019,46077,3.107398181361717E-5,
51,112020,1906,0.0,
52,112030,2337,0.0,
53,112041,4145,0.0,
54,112042,9610,0.0,
55,112043,1103,0.0,
56,112044,5576,0.0,
57,112045,2564,0.0,
58,112046,18320,0.0,
59,112047,22718,0.0,
60,112048,6256,0.0,
61,112049,17069,0.0,
62,112050,8062,0.0,
63,112060,9065,0.0,
64,112070,2276,0.0,
65,112111,39164,1.7275046153170149E-6,
66,112112,4819,0.0,
67,112113,7180,0.0,
68,112114,4624,1.5533825853235745E-4,
69,112115,1326,0.0,
70,112116,4584,3.12725523022072E-4,
71,112117,2017,0.0,
72,112118,4443,1.74571142271725E-4,
73,112119,6741,4.276003580892661E-6,
74,112120,6306,5.938087214060667E-7,
75,112130,3588,0.0,
76,112140,5675,0.0,
77,112150,567,0.0,
78,112160,4941,0.0,
79,112170,17030,0.0,
80,112180,5677,0.0,
81,112190,13172,0.0,
82,112200,33905,0.0,
83,112300,8315,0.0,
84,112400,30830,0.0,
85,112500,806,0.0,
86,112600,7692,0.0,
87,112700,9177,0.0,
88,112801,6769,0.0,
89,112802,7135,0.0,
90,112803,17267,0.0,
91,112804,9185,0.0,
92,112805,5556,0.0,
93,112806,6540,0.0,
94,112807,9643,0.0,
95,112808,3496,5.765599408067549E-7,
96,112809,10746,4.181622944086734E-5,
97,112901,27,0.0,
98,112902,3218,0.0,
99,112903,1169,0.0,
100,112904,2951,0.0,
101,112905,37,0.0,
102,112906,2413,0.0,
103,112907,779,0.0,
104,112908,5204,0.0,
105,112909,20422,2.6256229352066873E-5,
106,113000,4675,0.0,
107,114001,54761,0.0,
108,114002,2390,0.0,
109,114100,1656,2.1436068703409658E-4,
110,114210,16802,1.2414690600603091E-5,
111,114221,2409,3.3479475893203656E-7,
112,114222,5839,0.0,
113,114223,174,0.0,
114,114224,77580,2.1566467054906876E-6,
115,114225,2250,0.0,
116,114226,17050,2.9260136455431606E-6,
117,114227,24212,1.129384203987253E-6,
118,114228,5771,0.0,
119,114229,9213,0.0,
120,114230,2510,0.0,
121,114240,9987,0.0,
122,114250,4469,0.0,
123,114260,6798,0.0,
124,114270,14977,2.5765189906495712E-6,
125,114281,1050,2.333139545333076E-5,
126,114282,6319,0.0,
127,114283,60,0.0,
128,114284,14492,0.0,
129,114285,1297,0.0,
130,114286,6726,0.0,
131,114287,4228,0.0,
132,114288,2619,0.0,
133,114289,5390,0.0,
134,114290,26586,1.1079895973303273E-4,
135,114300,722,0.004200540346846874,
136,114410,3376,2.0820954856704664E-7,
137,114411,11647,7.614123707698672E-4,
138,114412,3525,0.0,
139,114413,15127,1.0212504061348257E-5,
140,114414,3267,8.390152268375098E-7,
141,114415,1,6.853446767471373E-5,
142,114416,4264,0.0,
143,114417,542,5.557612505156163E-5,
144,114418,12522,1.531102776517957E-7,
145,114419,3385,1.2182156234077118E-5,
146,114420,17640,1.2080578192387787E-7,
147,114430,12313,1.5761677565120557E-5,
148,114441,1660,4.6683909551543884E-5,
149,114442,3796,5.335916415812316E-6,
150,114443,23070,4.868249515975132E-6,
151,114444,3586,0.0,
152,114445,6066,0.0,
153,114446,8489,0.0,
154,114447,2883,0.0,
155,114448,12265,0.0,
156,114449,8665,0.0,
157,114450,473,5.824939470330774E-6,
158,114460,29132,2.3735791981037564E-5,
159,114470,26976,6.567232455618204E-6,
160,114480,17674,6.542131800079477E-7,
161,114490,22455,6.644038892025153E-8,
162,114500,27914,3.374270561816558E-4,
163,114601,5823,0.0,
164,114602,10662,4.332176068367986E-4,
165,114603,506,7.357753454097407E-6,
166,114604,6933,0.0,
167,114605,4090,1.4222525752843684E-6,
168,114606,5583,6.7218131911590625E-6,
169,114607,21267,3.3532141499503416E-6,
170,114608,3869,0.0,
171,114609,2978,0.0,
172,114701,4745,0.002738471767858527,
173,114702,5013,2.593781024640948E-4,
174,114703,5019,0.0012065707256186317,
175,114704,8359,4.064270951872176E-6,
176,114705,9685,5.184689543013366E-5,
177,114706,1442,0.0,
178,114707,446,0.0,
179,114708,1479,0.0,
180,114709,13,0.0,
181,114801,5712,2.45818903449463E-6,
182,114802,3134,0.0,
183,114803,856,0.0,
184,114804,3306,4.513787395291176E-8,
185,114805,5341,0.0,
186,114806,4465,0.0,
187,114807,8853,0.0,
188,114808,9325,2.3103939291929436E-7,
189,114809,12520,1.4017045978782496E-6,
190,114910,24602,4.48787356131868E-5,
191,114920,13186,2.8718668459644744E-6,
192,114931,367,8.720819762434707E-5,
193,114932,6668,1.0884772490861996E-5,
194,114933,3381,0.0,
195,114934,4835,0.0,
196,114935,10129,6.746156543147162E-6,
197,114936,1413,0.0,
198,114937,2005,0.0,
199,114938,7122,0.0,
200,114939,3723,0.0,
201,114940,17917,1.3666151876281716E-6,
202,114950,8839,0.0,
203,114960,17499,9.932207057358302E-5,
204,114970,3830,0.0,
205,114980,12419,3.240078788074831E-7,
206,114990,32085,9.652569946522069E-5,
207,115101,71040,6.4936473740394955E-6,
208,115102,2813,1.2773084688190769E-5,
209,115103,1057,0.0,
210,115201,4944,3.1926172945451875E-8,
211,115202,7332,1.3448448252207102E-5,
212,115203,9279,1.1288260982005941E-4,
213,115204,4711,0.0,
214,115205,18925,4.0414968081171544E-6,
215,115206,1020,0.0,
216,115207,6669,2.527862009843568E-5,
217,115208,4606,1.2978706171358635E-7,
218,115209,6567,1.5984891193450757E-5,
219,115300,31550,6.40894911205756E-5,
220,115410,59,0.0,
221,115421,2746,0.0,
222,115422,5910,0.0,
223,115423,190,0.0,
224,115424,27002,2.610174734220938E-4,
225,115425,317,0.0,
226,115426,4129,2.187615650062217E-6,
227,115427,2339,0.0,
228,115428,1980,0.0,
229,115429,11579,5.2373187004833515E-5,
230,115430,18309,0.0,
231,115440,14238,0.0,
232,115451,34,0.0,
233,115452,3041,0.0,
234,115453,6141,1.2601589542045851E-5,
235,115454,5229,1.4559976733221573E-5,
236,115455,8528,5.848243522591101E-6,
237,115456,4944,0.0,
238,115457,740,0.0,
239,115458,4129,6.108457216833178E-6,
240,115459,17083,5.301422253629363E-5,
241,115460,8270,2.752271679585766E-5,
