system:index,PfafIDLivWN_monthY2014M05,countLivWN_monthY2014M05,meanLivWN_monthY2014M05,.geo
0,111011,2536,1.333768560122551E-7,
1,111012,3921,6.484536389474844E-7,
2,111013,1194,5.008783153951867E-8,
3,111014,5605,2.0787939651260818E-7,
4,111015,21769,2.6386151442719052E-8,
5,111016,2382,1.0992487458782844E-8,
6,111017,11168,3.302727603582969E-8,
7,111018,2509,9.401135448678212E-9,
8,111019,8353,4.089916205155648E-9,
9,111020,14779,3.0895757888204587E-9,
10,111030,6961,8.332255296681067E-12,
11,111041,17205,1.4716099229274034E-8,
12,111042,6643,8.890400179336506E-9,
13,111043,349,4.641091594442547E-9,
14,111044,6597,1.3542966596191474E-8,
15,111045,7591,1.8144885296565448E-9,
16,111046,4623,6.991189336544663E-10,
17,111047,903,2.0288670274130187E-9,
18,111048,4457,6.990488181834288E-9,
19,111049,4490,1.8254385773696553E-8,
20,111050,20250,1.326174077053935E-8,
21,111060,5660,2.437493879953132E-8,
22,111070,13788,3.5779437661990775E-7,
23,111081,5223,1.6468084354634118E-6,
24,111082,18754,2.481526122133574E-7,
25,111083,6133,5.789760652410434E-8,
26,111084,15194,5.164177390934363E-7,
27,111085,10124,6.203883371607556E-8,
28,111086,2528,3.894374490323353E-7,
29,111087,13852,6.008329905827562E-7,
30,111088,3118,1.0444323034933608E-6,
31,111089,2844,1.2140271866185448E-6,
32,111090,510,3.816808299548886E-6,
33,111091,212,5.676407398959949E-6,
34,111092,2946,5.532415806166169E-6,
35,111093,19956,1.7154039140419478E-7,
36,111094,2485,3.160038671318237E-7,
37,111095,1794,4.1241674523795726E-8,
38,111096,2707,4.905833970831673E-7,
39,111097,2700,2.8482718447249233E-7,
40,111098,3449,6.734819841821749E-7,
41,111099,5594,3.8170267927982847E-7,
42,112011,3093,9.852940081033992E-7,
43,112012,21200,1.3046405474540416E-6,
44,112013,15552,7.76498387172354E-7,
45,112014,34480,6.970657408889491E-7,
46,112015,4666,8.467863491547616E-7,
47,112016,11966,3.360131164058288E-8,
48,112017,13480,1.8877232968546493E-7,
49,112018,14831,3.810122297560113E-8,
50,112019,46077,7.910415373055243E-7,
51,112020,1906,7.119313126648009E-7,
52,112030,2337,8.267922554175955E-7,
53,112041,4145,1.2185002224433451E-6,
54,112042,9610,1.475572178221016E-6,
55,112043,1103,1.3258444120935449E-6,
56,112044,5576,1.1227439728613928E-6,
57,112045,2564,1.0724711951130822E-6,
58,112046,18320,4.684125256373686E-7,
59,112047,22718,4.5436132113258054E-7,
60,112048,6256,1.451548019877687E-14,
61,112049,17069,8.500031011621882E-7,
62,112050,8062,1.1884836179144459E-6,
63,112060,9065,1.0603553230849772E-6,
64,112070,2276,1.5362324971553033E-6,
65,112111,39164,1.69791025288221E-7,
66,112112,4819,6.670847423897854E-7,
67,112113,7180,1.0176280822235966E-6,
68,112114,4624,6.552167624165507E-7,
69,112115,1326,6.311541910522003E-7,
70,112116,4584,1.0615063224575045E-6,
71,112117,2017,1.611812249298518E-6,
72,112118,4443,9.756021763487837E-7,
73,112119,6741,3.991614401476765E-7,
74,112120,6306,5.903163123756356E-7,
75,112130,3588,2.2995009761698347E-6,
76,112140,5675,1.143717412797958E-6,
77,112150,567,2.203278884410694E-7,
78,112160,4941,9.725406801637727E-7,
79,112170,17030,5.000565361358934E-7,
80,112180,5677,1.8876618579839287E-6,
81,112190,13172,7.287855012520179E-7,
82,112200,33905,6.493790058821096E-7,
83,112300,8315,1.190901822194653E-6,
84,112400,30830,8.838590780940558E-7,
85,112500,806,1.1005626465888932E-7,
86,112600,7692,7.761934455430233E-7,
87,112700,9177,7.802793051874918E-7,
88,112801,6769,9.81284842292821E-7,
89,112802,7135,7.444814514464433E-7,
90,112803,17267,7.913610575171858E-7,
91,112804,9185,8.51853134761679E-7,
92,112805,5556,7.997896215040942E-7,
93,112806,6540,8.496564835020095E-7,
94,112807,9643,9.639128940195571E-7,
95,112808,3496,1.0259322823086819E-6,
96,112809,10746,1.1941696471893365E-6,
97,112901,27,1.4026992851571278E-7,
98,112902,3218,9.920993751363094E-7,
99,112903,1169,1.1891981734464173E-6,
100,112904,2951,1.0686765469712568E-6,
101,112905,37,1.0041354185603993E-6,
102,112906,2413,1.0140395744239446E-6,
103,112907,779,8.099517868310829E-7,
104,112908,5204,9.108011033245252E-7,
105,112909,20422,1.8087881533943108E-6,
106,113000,4675,0.0,
107,114001,54761,1.5466121166819416E-6,
108,114002,2390,5.035661575439725E-7,
109,114100,1656,1.39929917832632E-6,
110,114210,16802,1.0874686650443959E-6,
111,114221,2409,1.1140914857805872E-6,
112,114222,5839,2.3098297908700555E-6,
113,114223,174,9.875768842671985E-7,
114,114224,77580,7.911496640278367E-7,
115,114225,2250,2.05919286599466E-6,
116,114226,17050,1.611885922562229E-6,
117,114227,24212,1.7150510563099639E-6,
118,114228,5771,2.0069081077426595E-6,
119,114229,9213,2.8247667624217635E-6,
120,114230,2510,1.1389943240960946E-6,
121,114240,9987,2.257630016185148E-6,
122,114250,4469,2.4199900003736155E-6,
123,114260,6798,4.33599558702649E-6,
124,114270,14977,1.0668849065475183E-6,
125,114281,1050,1.0029326051299142E-7,
126,114282,6319,3.358968366753692E-6,
127,114283,60,8.218304483609818E-8,
128,114284,14492,2.1668879849850917E-7,
129,114285,1297,8.967000690197159E-8,
130,114286,6726,2.9543811490718637E-6,
131,114287,4228,1.8782879612367416E-6,
132,114288,2619,1.8073218488636074E-6,
133,114289,5390,3.815672733799887E-6,
134,114290,26586,3.941336673305676E-6,
135,114300,722,9.202444339906365E-7,
136,114410,3376,1.092674675920375E-6,
137,114411,11647,1.5614885287801628E-6,
138,114412,3525,1.3812089169468816E-6,
139,114413,15127,1.3785510210634533E-6,
140,114414,3267,1.0590577283529528E-6,
141,114415,1,1.3334079401402469E-6,
142,114416,4264,1.0530386535730939E-6,
143,114417,542,1.2072616923448773E-6,
144,114418,12522,9.862153015515422E-7,
145,114419,3385,1.0683813637856773E-6,
146,114420,17640,5.366544336330473E-7,
147,114430,12313,2.728120331887674E-7,
148,114441,1660,2.482795782132235E-6,
149,114442,3796,9.5948530896648E-7,
150,114443,23070,1.8837429134168975E-6,
151,114444,3586,3.622733879665491E-6,
152,114445,6066,3.1322338550027414E-6,
153,114446,8489,2.8859036550127152E-6,
154,114447,2883,4.386607280478043E-6,
155,114448,12265,6.401273162047863E-6,
156,114449,8665,1.1543875096266151E-5,
157,114450,473,4.944009832567984E-6,
158,114460,29132,4.552130799713196E-6,
159,114470,26976,2.6506617596541574E-6,
160,114480,17674,7.127887105785242E-6,
161,114490,22455,2.069142089707249E-5,
162,114500,27914,1.327712248872763E-6,
163,114601,5823,1.0550739340179926E-6,
164,114602,10662,1.5653657436527198E-6,
165,114603,506,1.2597664609887148E-6,
166,114604,6933,8.434136543454725E-7,
167,114605,4090,1.1002202163297213E-6,
168,114606,5583,1.1310366617794437E-6,
169,114607,21267,1.0824357511214169E-6,
170,114608,3869,1.163069499917813E-6,
171,114609,2978,1.2129046662086808E-6,
172,114701,4745,1.8330385199913559E-6,
173,114702,5013,2.1199723300791826E-6,
174,114703,5019,1.6018313353539741E-6,
175,114704,8359,9.208163737311357E-7,
176,114705,9685,1.0423716487975747E-6,
177,114706,1442,3.6457002954140275E-7,
178,114707,446,4.601685655885519E-7,
179,114708,1479,5.210337201486011E-7,
180,114709,13,4.959350904985004E-15,
181,114801,5712,2.5135887036981808E-11,
182,114802,3134,2.3379470521677492E-14,
183,114803,856,2.3517717847421964E-14,
184,114804,3306,3.5331236474066855E-14,
185,114805,5341,2.136006558953024E-14,
186,114806,4465,1.8799867605847814E-14,
187,114807,8853,1.990750327410878E-14,
