system:index,PfafIDarea30sm2,countarea30sm2,meanarea30sm2,.geo
0,111011,2536,743658.1867606466,
1,111012,3921,746186.4626530221,
2,111013,1194,747422.8362646566,
3,111014,5605,750449.2704504906,
4,111015,21873,758792.279231244,
5,111016,2382,768191.7990134341,
6,111017,11170,773545.4478290062,
7,111018,2509,779534.7924471901,
8,111019,8363,783433.32101967,
9,111020,14779,788097.3818128763,
10,111030,6961,790801.766385936,
11,111041,17205,795629.2825850043,
12,111042,6643,798252.8260669125,
13,111043,349,799296.7773997135,
14,111044,6597,801349.4796498409,
15,111045,7591,801025.4721380583,
16,111046,4623,803475.9311188622,
17,111047,903,802931.6886766334,
18,111048,4457,805505.3989090195,
19,111049,4490,804348.4565144766,
20,111050,20250,798264.6675432099,
21,111060,5660,807100.4390238515,
22,111070,13812,809741.7860058283,
23,111081,5223,814583.3339555811,
24,111082,18754,816487.9684100725,
25,111083,6133,817363.2329916029,
26,111084,15194,820321.9739617612,
27,111085,10124,820983.1490826254,
28,111086,2528,823507.2561313291,
29,111087,13852,824032.9125261696,
30,111088,3118,825689.2322001283,
31,111089,2844,824672.3504966596,
32,111090,510,826663.7966911765,
33,111091,212,811643.6618514151,
34,111092,2946,813916.918342668,
35,111093,20023,817381.499634795,
36,111094,2485,822088.2549547284,
37,111095,1794,822486.4443631549,
38,111096,2707,823739.3608237902,
39,111097,2700,824453.8384490741,
40,111098,3449,825952.0148593795,
41,111099,5847,825254.6807123311,
42,112011,3093,849140.3988441642,
43,112012,21200,847900.9078714623,
44,112013,15552,849106.6643558707,
45,112014,34480,850250.1105912848,
46,112015,4666,849970.9529977497,
47,112016,11966,847427.0938544626,
48,112017,13480,848517.9960497032,
49,112018,14831,846475.3248010923,
50,112019,46077,845040.9811063546,
51,112020,1906,845034.7787250787,
52,112030,2337,846867.3736093282,
53,112041,4145,853031.0616103739,
54,112042,9610,852524.6960522893,
55,112043,1103,852682.029011786,
56,112044,5576,851985.1870516499,
57,112045,2564,852403.2552164587,
58,112046,18320,850782.0817856168,
59,112047,22718,850108.1546350911,
60,112048,6256,847734.9127537564,
61,112049,17069,845865.7919693596,
62,112050,8062,851501.8722556437,
63,112060,9065,852874.8176640926,
64,112070,2276,853306.171518014,
65,112111,39164,834221.7330823588,
66,112112,4819,840700.8894998962,
67,112113,7180,840577.904770195,
68,112114,4624,841920.1452070718,
69,112115,1326,841214.9474924585,
70,112116,4584,842442.7642070245,
71,112117,2017,841595.4208292018,
72,112118,4443,842636.3629163853,
73,112119,6741,841642.7597352025,
74,112120,6306,841667.8984598002,
75,112130,3588,840576.9378135451,
76,112140,5675,841810.5132158591,
77,112150,567,840447.2514329806,
78,112160,4941,841388.667311779,
79,112170,17032,839480.5859081435,
80,112180,5677,838624.5904637133,
81,112190,13186,838811.5574899515,
82,112200,33905,840981.9997437694,
83,112300,8315,842684.2729855683,
84,112400,30830,842484.6653847713,
85,112500,833,844371.8172268907,
86,112600,7692,844278.8944926547,
87,112700,9177,845453.7621158876,
88,112801,6769,845936.118555178,
89,112802,7135,845890.6431236861,
90,112803,17267,844836.561888284,
91,112804,9185,842642.1535519869,
92,112805,5556,844163.6163269439,
93,112806,6540,844875.3599866208,
94,112807,9643,843443.4372861143,
95,112808,3496,842883.3271238558,
96,112809,10746,843391.7510236367,
97,112901,27,846872.7083333334,
98,112902,3218,846770.6696123369,
99,112903,1169,847456.7437446535,
100,112904,2951,847330.4233522535,
101,112905,37,848247.6081081082,
102,112906,2413,847664.3958246995,
103,112907,779,848495.230343389,
104,112908,5204,847830.5386001153,
105,112909,20471,852278.3446888281,
106,113000,4688,835087.6327325086,
107,114001,54761,853231.8830520352,
108,114002,2390,852855.1136506277,
109,114100,1656,854791.4275739734,
110,114210,16802,854782.4220442506,
111,114221,2409,854694.5296803653,
112,114222,5839,854561.7513058743,
