system:index,PfafIDrunoff_month_M02,countrunoff_month_M02,meanrunoff_month_M02,.geo
0,111011,2479,5.2567185823959485E-5,
1,111012,3914,1.4695457722953235E-5,
2,111013,1141,1.39701399108071E-5,
3,111014,5605,-2.1108997993873308E-8,
4,111015,21086,2.970931643368586E-10,
5,111016,2382,3.848845121305372E-9,
6,111017,10902,5.590466430745473E-9,
7,111018,2506,-1.1009047926254867E-10,
8,111019,8039,3.159434421118705E-7,
9,111020,14779,1.0262702885106963E-6,
10,111030,6859,1.4011991399027097E-6,
11,111041,17198,1.246501368921015E-4,
12,111042,6643,3.293209162139575E-5,
13,111043,349,1.2625895723537034E-4,
14,111044,6597,2.6740878909060326E-4,
15,111045,7591,6.930118446554984E-6,
16,111046,4623,3.4614215920352277E-6,
17,111047,903,-4.1174448615559506E-7,
18,111048,4457,8.975176213700427E-6,
19,111049,4490,7.716548229914558E-5,
20,111050,19515,1.658960689134248E-4,
21,111060,5660,6.725059372226171E-5,
22,111070,13666,2.2920114956962107E-4,
23,111081,5213,-0.001326988083024209,
24,111082,18754,8.74409863539705E-4,
25,111083,6133,0.001169597139307892,
26,111084,15194,9.363467810440679E-4,
27,111085,10124,7.662862799961764E-4,
28,111086,2528,4.7510003696645506E-5,
29,111087,13852,1.5787918216276503E-4,
30,111088,3118,2.3362369535867927E-4,
31,111089,2844,2.781247201335285E-4,
32,111090,510,0.005226067752266364,
33,111091,204,-0.031075145749624375,
34,111092,2946,6.207240113557717E-4,
35,111093,19488,0.002198950956495644,
36,111094,2475,0.004484230256879587,
37,111095,1771,0.010446655474082503,
38,111096,2707,0.007805217600161398,
39,111097,2562,0.008671674469610568,
40,111098,3435,0.005013353736352465,
41,111099,4503,0.004668800701358847,
42,112011,3093,0.0011807073785266198,
43,112012,21200,4.2135803332195266E-4,
44,112013,15552,9.331060932007836E-4,
45,112014,34480,6.489394829949525E-4,
46,112015,4666,0.0012442149976422355,
47,112016,11966,4.2359942462036646E-4,
48,112017,13480,6.087104548663838E-4,
49,112018,14831,2.044835377558571E-4,
50,112019,46077,5.262442389846069E-4,
51,112020,1906,2.453260903778975E-4,
52,112030,2337,1.1500005985350174E-4,
53,112041,4145,1.4912776507219773E-5,
54,112042,9610,3.4287817224549507E-4,
55,112043,1103,5.434490446661833E-6,
56,112044,5576,2.851152032864833E-4,
57,112045,2564,-3.1150270883596847E-6,
58,112046,18320,4.8707891131398315E-4,
59,112047,22718,4.156682115158302E-4,
60,112048,6256,2.4914506999730996E-4,
61,112049,17069,7.57573074821175E-4,
62,112050,8062,3.969250603811026E-4,
63,112060,9044,0.0012009321131408463,
64,112070,2276,4.8785538753532056E-5,
65,112111,38098,0.0020631123043616086,
66,112112,4819,0.005333785297417628,
67,112113,7103,0.0016793468507970738,
68,112114,4624,0.0024849180317111654,
69,112115,1314,0.0010745850376192845,
70,112116,4584,0.0025358577916175127,
71,112117,1995,8.337002455742461E-4,
72,112118,4443,0.001502574842349981,
73,112119,6706,9.303956539978795E-4,
74,112120,6306,0.0011444794975255328,
75,112130,3465,5.056228655208686E-4,
76,112140,5654,6.198448129655484E-4,
77,112150,489,7.086444384546372E-4,
78,112160,4941,8.609332847852665E-4,
79,112170,16279,5.236784915499548E-4,
80,112180,5677,2.202537131163261E-4,
81,112190,12627,1.1643647991956868E-4,
82,112200,33892,1.9842114156541936E-4,
83,112300,8109,1.486077831305076E-4,
84,112400,30829,3.754237080411903E-4,
85,112500,769,6.302022439888741E-5,
86,112600,7681,2.509487959352402E-4,
87,112700,9037,2.5822963194346827E-4,
88,112801,6763,3.1169452115772256E-4,
89,112802,7135,3.0380286203096163E-4,
90,112803,17267,4.978739127951517E-4,
91,112804,9185,5.524783209429733E-4,
92,112805,5556,4.414507057198567E-4,
93,112806,6540,3.5254248514405E-4,
94,112807,9643,4.597963264200564E-4,
95,112808,3496,6.987530142557836E-4,
96,112809,10746,6.830646010336199E-4,
97,112901,25,9.12032185216454E-5,
98,112902,3218,3.3877117576949995E-4,
99,112903,1119,3.671857140372751E-4,
100,112904,2948,4.0036826318854963E-4,
