system:index,PfafIDDomWN_monthY2014M01,countDomWN_monthY2014M01,meanDomWN_monthY2014M01,.geo
0,111011,2536,3.5966219141268113E-4,
1,111012,3921,4.190428645049728E-6,
2,111013,1194,1.2228843361741634E-5,
3,111014,5605,2.4167716361070166E-6,
4,111015,21769,1.683363063623254E-5,
5,111016,2382,2.2992580883034882E-7,
6,111017,11168,4.024172341897563E-6,
7,111018,2509,2.127271703132831E-7,
8,111019,8353,1.594388613763689E-6,
9,111020,14779,7.340810558603997E-7,
10,111030,6961,7.371112761786495E-6,
11,111041,17205,2.9539328421060525E-6,
12,111042,6643,3.2071655276565106E-6,
13,111043,349,4.035728627724037E-6,
14,111044,6597,4.083417147305192E-6,
15,111045,7591,3.0828538354849963E-6,
16,111046,4623,9.889839464017754E-7,
17,111047,903,3.983985767727122E-6,
18,111048,4457,3.985507868151578E-6,
19,111049,4490,2.948674239070216E-6,
20,111050,20250,4.279497391264528E-6,
21,111060,5660,2.2268660446506953E-5,
22,111070,13788,1.1123471316928406E-4,
23,111081,5223,6.99566143421804E-5,
24,111082,18754,1.759087629594684E-5,
25,111083,6133,1.4642493066843314E-5,
26,111084,15194,2.014984601977493E-5,
27,111085,10124,4.658902916274948E-6,
28,111086,2528,1.6946708229042262E-6,
29,111087,13852,4.870244686760381E-6,
30,111088,3118,1.2584020072696603E-5,
31,111089,2844,1.5233610727809392E-5,
32,111090,510,7.5576545255394945E-6,
33,111091,212,8.394956788203681E-5,
34,111092,2946,1.1537954709824229E-4,
35,111093,19956,3.07924100921905E-5,
36,111094,2485,7.385241180750805E-6,
37,111095,1794,4.652374705588957E-6,
38,111096,2707,1.856557173756754E-5,
39,111097,2700,1.745411374886896E-5,
40,111098,3449,3.699075545283712E-5,
41,111099,5594,5.883059519553935E-6,
42,112011,3093,1.0551229777096439E-6,
43,112012,21200,1.0092947287185698E-6,
44,112013,15552,1.1318460294383911E-6,
45,112014,34480,1.6520646369796045E-6,
46,112015,4666,8.224147349223281E-7,
47,112016,11966,4.744528010090683E-6,
48,112017,13480,3.001681249347045E-6,
49,112018,14831,5.078674357568092E-6,
50,112019,46077,6.9210589696834694E-6,
51,112020,1906,3.0490515069259445E-6,
52,112030,2337,5.649974938937996E-7,
53,112041,4145,2.5336927786832628E-6,
54,112042,9610,1.5608919273478877E-6,
55,112043,1103,1.615419429845679E-6,
56,112044,5576,1.459462524857269E-6,
57,112045,2564,1.7282321623419292E-6,
58,112046,18320,3.466681818471265E-6,
59,112047,22718,3.4198680585271336E-6,
60,112048,6256,5.807870029972885E-6,
61,112049,17069,9.9257911974249E-6,
62,112050,8062,1.769051895965392E-6,
63,112060,9065,2.0306851965339403E-6,
64,112070,2276,4.004528616880179E-6,
65,112111,39164,8.62353353767814E-6,
66,112112,4819,2.82646307868997E-6,
67,112113,7180,1.6546619259515647E-6,
68,112114,4624,2.695712468681191E-6,
69,112115,1326,2.0054400654957077E-6,
70,112116,4584,4.129865298891522E-6,
71,112117,2017,1.5113643635323226E-6,
72,112118,4443,1.671578347853715E-5,
73,112119,6741,2.8756133848646465E-6,
74,112120,6306,4.3015486258267024E-7,
75,112130,3588,3.4504296658212724E-7,
76,112140,5675,7.954991247271849E-7,
77,112150,567,2.765767077309771E-7,
78,112160,4941,7.260276268032556E-7,
79,112170,17030,5.557810448603711E-7,
80,112180,5677,6.219005501982977E-7,
81,112190,13172,6.591112709875106E-7,
82,112200,33905,8.405070286787049E-7,
83,112300,8315,1.151872778474565E-6,
84,112400,30830,1.3783912166634228E-6,
85,112500,806,1.2563351008793424E-6,
86,112600,7692,1.111302209350341E-6,
87,112700,9177,1.0034774720883218E-6,
88,112801,6769,6.787135947088714E-7,
89,112802,7135,4.142200394333685E-7,
90,112803,17267,2.609127277121837E-7,
91,112804,9185,1.4044628612582228E-6,
92,112805,5556,6.59561454623642E-7,
93,112806,6540,1.2829872889247354E-6,
94,112807,9643,6.605150570047755E-7,
95,112808,3496,1.2908998545947163E-6,
96,112809,10746,3.6615190197488035E-6,
97,112901,27,9.560878662129948E-7,
98,112902,3218,7.733873183234206E-7,
99,112903,1169,7.04293612947994E-7,
100,112904,2951,9.785421833981314E-7,
101,112905,37,1.3693335944660846E-6,
102,112906,2413,1.244432766780413E-6,
103,112907,779,1.3856957947666583E-6,
104,112908,5204,1.0532621235421757E-6,
105,112909,20422,8.518022233753825E-6,
106,113000,4675,0.0,
107,114001,54761,6.000436073638129E-6,
108,114002,2390,1.3773949714656216E-6,
109,114100,1656,5.123179015618552E-6,
110,114210,16802,9.382813836402904E-7,
111,114221,2409,7.307181883856564E-7,
112,114222,5839,8.394622899599458E-7,
113,114223,174,9.214765462122445E-7,
114,114224,77580,1.0357145111162057E-5,
115,114225,2250,7.209739920861002E-7,
116,114226,17050,7.6051380672919565E-6,
117,114227,24212,1.0153395222718414E-5,
118,114228,5771,9.221121348574796E-6,
119,114229,9213,9.204448898342257E-6,
120,114230,2510,5.176066076081937E-7,
121,114240,9987,7.457755018158396E-6,
122,114250,4469,1.219275161697126E-5,
123,114260,6798,1.4251499810973936E-5,
124,114270,14977,1.4129038865907911E-5,
125,114281,1050,3.969679739024573E-6,
126,114282,6319,3.4648803373937375E-6,
127,114283,60,4.7920132928606214E-6,
128,114284,14492,9.854451625967044E-6,
129,114285,1297,3.440665397846364E-6,
130,114286,6726,8.952822745660082E-6,
131,114287,4228,1.4022901965108043E-5,
132,114288,2619,2.3125321936398102E-5,
133,114289,5390,4.287007488667037E-5,
134,114290,26586,1.0137757427273988E-4,
135,114300,722,3.974472837581335E-5,
136,114410,3376,1.6996794784090154E-6,
137,114411,11647,1.797279080077893E-6,
138,114412,3525,3.381183725267971E-6,
139,114413,15127,2.3537719159862137E-6,
140,114414,3267,2.4735045459566115E-6,
141,114415,1,1.862529921222355E-6,
142,114416,4264,2.0845091343955182E-6,
143,114417,542,1.7879693698557123E-6,
144,114418,12522,1.7064761149526106E-6,
145,114419,3385,1.6006826800203955E-6,
146,114420,17640,1.9003143078405287E-6,
147,114430,12313,3.389183453994818E-6,
148,114441,1660,1.3083298605542956E-5,
149,114442,3796,9.302567614252607E-6,
150,114443,23070,1.6497124929377608E-5,
151,114444,3586,8.462966012413998E-6,
152,114445,6066,9.529967450717476E-6,
153,114446,8489,1.115460318440894E-5,
154,114447,2883,2.0872354386241513E-5,
155,114448,12265,2.833055400564836E-5,
156,114449,8665,4.127451542286632E-5,
157,114450,473,3.986417388559613E-5,
158,114460,29132,1.2572809468014898E-5,
159,114470,26976,1.3938899849680456E-5,
160,114480,17674,1.2026291580759024E-5,
161,114490,22455,2.1863136008098037E-5,
162,114500,27914,2.148540221086256E-6,
163,114601,5823,2.3234552937432183E-6,
164,114602,10662,4.544651499324734E-6,
165,114603,506,1.5316375516266295E-6,
166,114604,6933,2.973132084893848E-6,
167,114605,4090,3.5290703895609152E-6,
168,114606,5583,5.486972172189383E-6,
169,114607,21267,2.414442716052785E-6,
170,114608,3869,9.772169666468592E-7,
171,114609,2978,1.1435214506991935E-6,
172,114701,4745,1.2810517834604279E-5,
173,114702,5013,4.852907426202684E-6,
174,114703,5019,5.983892611067974E-6,
175,114704,8359,1.3324595318594473E-6,
176,114705,9685,2.2389383800387943E-6,
177,114706,1442,1.7890671687600855E-6,
178,114707,446,1.6188341921430018E-6,
179,114708,1479,1.5534405515334904E-6,
180,114709,13,3.878806252780045E-6,
181,114801,5712,5.695513960831991E-6,
182,114802,3134,6.5962811279093954E-6,
183,114803,856,3.844587393422808E-6,
184,114804,3306,5.104043365775302E-6,
185,114805,5341,6.232447803611295E-6,
186,114806,4465,7.092957883983301E-6,
187,114807,8853,6.616575123927256E-6,
188,114808,9325,1.9157738286261756E-5,
189,114809,12520,2.293328317087368E-5,
190,114910,24602,3.4672567761519227E-6,
191,114920,13186,7.31891274352529E-6,
192,114931,367,5.625800719287619E-6,
193,114932,6668,3.944755251215739E-6,
194,114933,3381,6.609210527653683E-6,
195,114934,4835,8.157265364050893E-6,
196,114935,10129,6.770216550250091E-6,
197,114936,1413,3.0442418039786082E-6,
198,114937,2005,3.5395399932216853E-6,
199,114938,7122,7.792272000277869E-6,
200,114939,3723,7.311992996085425E-6,
201,114940,17917,1.6941769792011076E-5,
202,114950,8839,1.2924989160004111E-5,
203,114960,17499,5.02494958973397E-5,
204,114970,3830,2.1819507631340858E-5,
205,114980,12419,5.429904190033206E-5,
206,114990,32085,4.574210337009865E-5,
207,115101,71040,3.490733310779437E-5,
208,115102,2813,7.332160190659149E-5,
209,115103,1057,9.58476390570101E-5,
210,115201,4944,1.980256703445231E-5,
211,115202,7332,4.6835225476918035E-5,
212,115203,9279,4.986126858969847E-5,
213,115204,4711,1.9586006471930676E-5,
214,115205,18925,4.535276637417337E-5,
215,115206,1020,9.768752017580185E-6,
216,115207,6669,1.5207056242377724E-5,
217,115208,4606,3.1923905565895775E-5,
218,115209,6567,1.0906253455751209E-4,
219,115300,31550,1.433404570246696E-4,
220,115410,59,2.0230309133141053E-7,
221,115421,2746,6.362416987978558E-6,
222,115422,5910,3.7702048635624425E-6,
223,115423,190,1.926288517618398E-5,
224,115424,27002,5.200538907909056E-5,
225,115425,317,3.406748809534064E-5,
226,115426,4129,2.2256463661124596E-5,
227,115427,2339,3.383726598151553E-5,
228,115428,1980,1.661419701979192E-5,
229,115429,11579,9.661649785436046E-5,
230,115430,18309,1.1484699405724654E-5,
231,115440,14238,3.786117090952183E-5,
232,115451,34,0.0,
233,115452,3041,1.2882222136127541E-5,
234,115453,6141,1.9245054583135005E-5,
235,115454,5229,2.065689097212184E-5,
236,115455,8528,1.6542950280495364E-5,
237,115456,4944,4.0893902791621526E-5,
238,115457,740,3.409625399382918E-5,
239,115458,4129,4.6401252020852373E-5,
240,115459,17083,9.363654224642962E-5,
241,115460,8270,7.065606560192456E-5,
242,115470,9268,1.4998701378353115E-4,
243,115480,12405,1.0325465358924238E-4,
244,115490,6089,1.313949045685412E-4,
245,115501,6,2.566001255905013E-5,
246,115502,8893,3.929043386989663E-5,
247,115503,750,4.3516545860959306E-5,
248,115504,2436,4.111894962169106E-5,
249,115505,2096,3.7673571183723715E-5,
250,115506,7486,1.485095830844728E-5,
251,115507,574,2.887960125108352E-5,
252,115508,7481,2.4916036736119338E-5,
253,115509,7552,1.1652334072044045E-5,
254,115601,269,1.0013323249537925E-6,
255,115602,21806,3.3067292682060696E-5,
256,115603,1991,2.342529349905581E-5,
257,115604,2276,1.0314644416372103E-4,
258,115605,19149,1.7032942227181874E-4,
259,115606,1710,2.549995531444777E-4,
260,115607,4877,1.6531575973714572E-4,
261,115608,12255,1.0455190328394697E-4,
262,115711,18,0.0,
263,115712,7528,3.175367275198121E-6,
264,115713,7,0.0,
265,115714,25076,1.6245915544354574E-5,
266,115715,13882,2.005823540349488E-5,
267,115716,6926,4.610989965400668E-5,
268,115717,32235,4.0953653800920045E-5,
269,115718,4428,6.488226663350723E-5,
270,115719,27564,1.435745733933115E-4,
271,115720,175,9.578959312053257E-5,
272,115730,15209,2.228172056142469E-5,
273,115740,4470,3.78342754855114E-6,
274,115750,4443,2.074366276250391E-6,
275,115801,15355,4.013310815616065E-5,
276,115802,8564,1.069274579352011E-5,
277,115803,22718,1.379492924524037E-5,
278,115804,1554,8.330530170913001E-7,
279,115805,2794,3.767648619465536E-6,
280,115806,5497,1.5678357293280116E-6,
281,115807,2697,3.2215668498988104E-7,
282,115808,8272,2.4410684047831603E-6,
283,115809,7022,3.024227541059792E-6,
284,115900,20078,7.938903173242747E-6,
285,116001,3505,6.276288126268698E-5,
286,116002,38883,2.1419627068678564E-5,
287,116003,3319,8.799526639055864E-6,
288,116004,21261,4.937793864637225E-5,
289,116005,3515,1.914277945244961E-5,
290,116006,4365,3.261518390341697E-5,
291,116007,6990,6.291436509320329E-6,
292,116008,3767,9.390028762223405E-7,
293,116009,7974,6.44894805818052E-6,
294,117000,10611,1.732496012318681E-4,
295,117100,200,5.52488739924265E-7,
296,117101,327,2.9204094587213825E-5,
297,117102,12545,1.8898879612101067E-6,
298,117103,154,3.7265805503646306E-7,
299,117104,13065,6.450589006826276E-6,
300,117105,9005,5.241974494044509E-6,
301,117106,6687,1.2541460103257788E-5,
302,117107,528,5.6961088221506325E-5,
303,117108,11426,1.6148126672300584E-5,
304,117109,3709,2.8288056925969768E-5,
305,117201,2410,2.0424992566691957E-5,
306,117202,9093,1.795179587054172E-5,
307,117203,5632,1.4952999443203118E-5,
308,117204,15089,7.644432338695513E-5,
309,117205,7273,1.6383869531440546E-5,
310,117206,15598,4.891910909368467E-5,
311,117207,2233,2.9024145533592473E-5,
312,117208,6528,2.2757986229891836E-5,
313,117209,47115,2.2057627552544767E-4,
314,117300,3443,0.00231978407339399,
315,117310,1731,6.175382137847529E-5,
316,117320,9733,3.986776023827587E-5,
317,117321,35,6.505114860365802E-4,
318,117322,3445,6.344143928365977E-5,
319,117323,4536,4.342432000891036E-5,
320,117324,8445,1.0138670118561506E-4,
321,117325,4901,9.526616296619378E-5,
322,117326,10718,1.1645282531104813E-4,
323,117327,860,1.2917835968920851E-4,
324,117328,3379,4.8217822215619697E-4,
325,117329,8495,0.0011412633295061296,
326,117331,962,2.329510707333683E-4,
327,117332,8998,7.575066613913512E-5,
328,117333,1609,8.309706659177537E-4,
329,117334,4584,7.990036097699946E-5,
330,117335,130,3.869363239872668E-4,
331,117336,5124,7.198681342298241E-5,
332,117337,3766,2.0896509593332685E-4,
333,117338,7822,3.2948906793601006E-5,
334,117339,4481,5.144945507395284E-6,
335,117340,3629,1.2964762447574186E-5,
336,117341,3562,5.120423125648532E-6,
337,117342,1453,7.189282254141436E-6,
338,117343,225,7.019770690537612E-6,
339,117344,24075,9.456233710966511E-6,
340,117345,1996,6.098512627283167E-6,
341,117346,2560,5.0295487219111415E-5,
342,117347,7977,4.3068478516035E-5,
343,117348,6817,2.011984980543844E-4,
344,117349,7746,7.716063047109196E-5,
345,117350,9106,1.250109285505673E-5,
346,117360,1417,7.225439202384528E-6,
347,117361,8261,1.7413738728694828E-5,
348,117362,4616,5.683465976052041E-6,
349,117363,1954,3.7194464831631306E-6,
350,117364,3249,9.885469632211708E-6,
351,117365,5139,4.018729320794256E-6,
352,117366,3863,4.149716338589886E-6,
353,117367,10234,4.220741560836833E-5,
354,117368,3636,5.965022353784752E-5,
355,117369,8350,4.196351068235591E-5,
356,117370,289,5.87551956322449E-5,
357,117380,20668,2.3829921987448697E-5,
358,117390,8986,3.533109547531715E-4,
359,117400,31535,5.2541078834588824E-5,
360,117410,6659,3.2496197604708064E-5,
361,117420,9684,2.1544181565863604E-5,
362,117430,6244,2.1930693721820306E-5,
363,117441,7455,1.0563346988590849E-5,
364,117442,30064,1.2436298699381157E-5,
365,117443,1483,1.4914414235116497E-6,
366,117444,4685,1.076058355170866E-6,
367,117445,6049,2.5594611865548064E-6,
368,117446,6873,5.410833404747923E-6,
369,117447,7098,1.0268023812087622E-6,
370,117448,11424,2.837041393790688E-5,
371,117449,10133,2.0436343474593303E-5,
372,117450,23656,2.5920632882877052E-5,
373,117460,32576,1.8169230377643098E-5,
374,117470,3648,3.6659238184793655E-5,
375,117480,6353,5.612542108593564E-5,
376,117490,34383,2.117640048290455E-5,
377,117501,4101,2.513184649304832E-5,
378,117502,19773,2.0734045426261617E-5,
379,117503,131,2.7044003105778852E-5,
380,117504,4880,2.1471280880784717E-5,
381,117505,1891,2.0984264884005495E-5,
382,117506,20274,2.033841411439398E-5,
383,117507,1796,2.770285664611591E-5,
384,117508,7144,3.594518544268347E-5,
