system:index,PfafIDDomWW_monthY2014M05,countDomWW_monthY2014M05,meanDomWW_monthY2014M05,.geo
0,111011,2536,5.023209147997785E-4,
1,111012,3921,4.538662049182995E-6,
2,111013,1194,1.325304054599495E-5,
3,111014,5605,2.624446588569016E-6,
4,111015,21769,2.0667710726847337E-5,
5,111016,2382,2.4872418297083517E-7,
6,111017,11168,8.954946812805314E-6,
7,111018,2509,2.299291265326485E-7,
8,111019,8353,1.7259571647158895E-6,
9,111020,14779,7.929044065992401E-7,
10,111030,6961,7.935662761836761E-6,
11,111041,17205,3.171373750517181E-6,
12,111042,6643,3.4626881901918195E-6,
13,111043,349,4.34899839969129E-6,
14,111044,6597,4.374620783612E-6,
15,111045,7591,3.32767544174731E-6,
16,111046,4623,1.068874038300622E-6,
17,111047,903,4.3007456372554325E-6,
18,111048,4457,4.297484285233516E-6,
19,111049,4490,3.166530296852896E-6,
20,111050,20250,4.582238014338882E-6,
21,111060,5660,2.3979792237933668E-5,
22,111070,13788,2.499040657778544E-4,
23,111081,5223,1.0437967360313596E-4,
24,111082,18754,1.91419506362418E-5,
25,111083,6133,1.5836755646319716E-5,
26,111084,15194,2.5880592195833776E-5,
27,111085,10124,5.122783544302898E-6,
28,111086,2528,1.8719053665586932E-6,
29,111087,13852,6.062803737303827E-6,
30,111088,3118,1.6921467904444153E-5,
31,111089,2844,1.711150358659891E-5,
32,111090,510,8.239425579165303E-6,
33,111091,212,1.979166847985835E-4,
34,111092,2946,2.037625784322139E-4,
35,111093,19956,3.752614754428223E-5,
36,111094,2485,8.340626427018332E-6,
37,111095,1794,5.144135086961943E-6,
38,111096,2707,2.1838688800329562E-5,
39,111097,2700,3.2176371118416426E-5,
40,111098,3449,4.494561376021463E-5,
41,111099,5594,6.406540037984189E-6,
42,112011,3093,1.3790730765067722E-6,
43,112012,21200,1.4854343116003105E-6,
44,112013,15552,1.880598749523506E-6,
45,112014,34480,1.8351170488407236E-6,
46,112015,4666,9.996072920598758E-7,
47,112016,11966,5.213893016517644E-6,
48,112017,13480,3.3268858923571154E-6,
49,112018,14831,5.589061774773664E-6,
50,112019,46077,8.10776749372563E-6,
51,112020,1906,3.398057066092351E-6,
52,112030,2337,6.662164703419852E-7,
53,112041,4145,3.3274249133730123E-6,
54,112042,9610,1.9880697779760636E-6,
55,112043,1103,2.7805442649086965E-6,
56,112044,5576,2.068753622368702E-6,
57,112045,2564,1.9217991973928894E-6,
58,112046,18320,3.9745246967538835E-6,
59,112047,22718,3.9124179531600395E-6,
60,112048,6256,6.409119880712889E-6,
61,112049,17069,1.151170284769296E-5,
62,112050,8062,2.1711717594291656E-6,
63,112060,9065,2.8859507037708453E-6,
64,112070,2276,4.45793791942663E-6,
65,112111,39164,1.6535987695554755E-5,
66,112112,4819,3.071337522598964E-6,
67,112113,7180,1.9361446950625458E-6,
68,112114,4624,4.65309597098743E-6,
69,112115,1326,2.6930344427951696E-6,
70,112116,4584,4.604208905202121E-6,
71,112117,2017,1.6214178801130528E-6,
72,112118,4443,2.334035738004948E-5,
73,112119,6741,6.241053997660627E-6,
74,112120,6306,4.6382723310259487E-7,
75,112130,3588,3.685088432617623E-7,
76,112140,5675,8.577388692701098E-7,
77,112150,567,2.9609342149496754E-7,
78,112160,4941,7.816292739100257E-7,
79,112170,17030,8.348065889749656E-7,
80,112180,5677,9.148907488844613E-7,
81,112190,13172,8.687397742211687E-7,
82,112200,33905,1.1199341179189203E-6,
83,112300,8315,1.4958074480886615E-6,
84,112400,30830,2.025100149617583E-6,
85,112500,806,1.3900951357308493E-6,
86,112600,7692,1.5087288456970708E-6,
87,112700,9177,1.4013649782184933E-6,
88,112801,6769,9.336206193324534E-7,
89,112802,7135,4.99221957048676E-7,
90,112803,17267,3.5566371498030275E-7,
91,112804,9185,2.2537802483107987E-6,
92,112805,5556,7.736952545728549E-7,
93,112806,6540,1.729773567477801E-6,
94,112807,9643,8.657045666249023E-7,
95,112808,3496,1.516306066097003E-6,
96,112809,10746,6.050961511216522E-6,
97,112901,27,2.1448124196602423E-6,
98,112902,3218,1.0500560745037703E-6,
99,112903,1169,9.50079199952068E-7,
100,112904,2951,1.470293077194901E-6,
101,112905,37,1.5156342169173868E-6,
102,112906,2413,1.7978976028221555E-6,
103,112907,779,1.9438472793150903E-6,
104,112908,5204,1.7274561766070169E-6,
105,112909,20422,1.2384172852732194E-5,
106,113000,4675,0.0,
107,114001,54761,5.8737779288036335E-6,
108,114002,2390,1.3516285795064352E-6,
109,114100,1656,7.283705944942818E-6,
110,114210,16802,9.663079595963198E-7,
111,114221,2409,7.189384418926562E-7,
112,114222,5839,8.274881069537059E-7,
113,114223,174,9.041844593925982E-7,
114,114224,77580,1.0699011409277354E-5,
115,114225,2250,7.244066830386519E-7,
116,114226,17050,8.359522686491563E-6,
117,114227,24212,1.0539136378587638E-5,
118,114228,5771,8.855673116077305E-6,
119,114229,9213,8.788134644348566E-6,
120,114230,2510,5.09271787907058E-7,
121,114240,9987,7.350424801251977E-6,
122,114250,4469,2.0205562850476764E-5,
123,114260,6798,1.4203872029561592E-5,
124,114270,14977,1.406841570098982E-5,
125,114281,1050,3.921549065100334E-6,
126,114282,6319,3.469721130469765E-6,
127,114283,60,4.7455690812186665E-6,
128,114284,14492,9.752849946025855E-6,
129,114285,1297,3.4101231037728314E-6,
130,114286,6726,9.089457508741667E-6,
131,114287,4228,1.4060825227693152E-5,
132,114288,2619,2.3770402974910647E-5,
133,114289,5390,4.5277569338340525E-5,
134,114290,26586,1.0971143037102619E-4,
135,114300,722,3.9505402992102324E-5,
136,114410,3376,1.7277549442515684E-6,
137,114411,11647,2.3713914744774518E-6,
138,114412,3525,3.784992640821652E-6,
139,114413,15127,3.3239185674446433E-6,
140,114414,3267,2.5514475680000563E-6,
141,114415,1,1.8403048739511735E-6,
142,114416,4264,2.9312172728853667E-6,
143,114417,542,1.7672316450180743E-6,
144,114418,12522,1.988470622613141E-6,
145,114419,3385,1.7443854623867154E-6,
146,114420,17640,2.114213570020098E-6,
147,114430,12313,3.7669519326214763E-6,
148,114441,1660,1.5156164888007218E-5,
149,114442,3796,1.2052158239060223E-5,
150,114443,23070,1.746574144801999E-5,
151,114444,3586,8.34989788037439E-6,
152,114445,6066,9.287702456646339E-6,
153,114446,8489,1.071455664477218E-5,
154,114447,2883,2.0314551065279873E-5,
155,114448,12265,2.7665808546644212E-5,
156,114449,8665,4.4607574007069606E-5,
157,114450,473,7.919660990017266E-5,
158,114460,29132,1.6862133962813314E-5,
159,114470,26976,1.4410121900088276E-5,
160,114480,17674,1.2602107056545424E-5,
161,114490,22455,2.4819477698943713E-5,
162,114500,27914,2.342082487021071E-6,
163,114601,5823,2.3359974914150238E-6,
164,114602,10662,5.1238736990034895E-6,
165,114603,506,1.5510286090541747E-6,
166,114604,6933,3.136925702495268E-6,
167,114605,4090,4.350335806624233E-6,
168,114606,5583,1.0979232951166625E-5,
169,114607,21267,2.6243847048816082E-6,
170,114608,3869,1.6432699337893463E-6,
171,114609,2978,1.408938301599727E-6,
172,114701,4745,1.3749914880250547E-5,
173,114702,5013,5.6767155841238404E-6,
174,114703,5019,1.1989144626628461E-5,
175,114704,8359,1.5182356674912148E-6,
176,114705,9685,3.7860571334786014E-6,
177,114706,1442,1.910139243561909E-6,
178,114707,446,1.6825516211529735E-6,
179,114708,1479,1.8627233328152554E-6,
180,114709,13,4.069042360165524E-6,
181,114801,5712,6.041662005441761E-6,
182,114802,3134,7.096502265041161E-6,
183,114803,856,4.047512200322197E-6,
184,114804,3306,5.370315433840242E-6,
185,114805,5341,6.710709460103686E-6,
186,114806,4465,7.763618795703966E-6,
187,114807,8853,7.273430036563102E-6,
188,114808,9325,2.1336164330462385E-5,
189,114809,12520,2.7340986286388653E-5,
190,114910,24602,3.641163212922749E-6,
191,114920,13186,7.863087544767445E-6,
192,114931,367,5.816883975939344E-6,
193,114932,6668,4.081140251098183E-6,
194,114933,3381,6.8946295249073705E-6,
195,114934,4835,8.767244870972841E-6,
196,114935,10129,7.128709628787176E-6,
197,114936,1413,3.229710383705449E-6,
198,114937,2005,3.7755398285857404E-6,
199,114938,7122,8.394440729241462E-6,
200,114939,3723,7.898646224119456E-6,
201,114940,17917,1.972844200563601E-5,
202,114950,8839,1.3971770894441688E-5,
203,114960,17499,7.072277349364558E-5,
204,114970,3830,2.357465461063281E-5,
205,114980,12419,6.664107168000095E-5,
206,114990,32085,5.247818207525202E-5,
207,115101,71040,4.239409277862378E-5,
208,115102,2813,7.049440108703386E-5,
209,115103,1057,9.22722134185887E-5,
210,115201,4944,1.9216561101276306E-5,
211,115202,7332,4.477301751500483E-5,
212,115203,9279,5.087940846898881E-5,
213,115204,4711,1.893738035846896E-5,
214,115205,18925,4.445708094692335E-5,
215,115206,1020,9.427430912844245E-6,
216,115207,6669,1.4564593133530602E-5,
217,115208,4606,3.083161379462656E-5,
218,115209,6567,1.0751639329636528E-4,
219,115300,31550,1.771280619741292E-4,
220,115410,59,2.0497593774380439E-7,
221,115421,2746,6.4791722348338984E-6,
222,115422,5910,3.773116020647394E-6,
223,115423,190,1.952015565475126E-5,
224,115424,27002,5.1541609039437E-5,
225,115425,317,3.441460633257815E-5,
226,115426,4129,2.2438574668968422E-5,
227,115427,2339,3.395322082367582E-5,
228,115428,1980,1.634467243988266E-5,
229,115429,11579,1.0356801765521832E-4,
230,115430,18309,1.1659748288272274E-5,
231,115440,14238,3.761440045759527E-5,
232,115451,34,0.0,
233,115452,3041,1.2502232278081697E-5,
234,115453,6141,1.8904754608223744E-5,
235,115454,5229,2.0298599582531696E-5,
236,115455,8528,1.6287708784360615E-5,
237,115456,4944,4.120967165946039E-5,
238,115457,740,3.376820787612073E-5,
239,115458,4129,5.182923247779387E-5,
240,115459,17083,1.0195036580967549E-4,
241,115460,8270,7.497362292891108E-5,
242,115470,9268,1.5848090962482513E-4,
243,115480,12405,1.1540528527365912E-4,
244,115490,6089,1.8066460251406265E-4,
245,115501,6,2.5413304289826916E-5,
246,115502,8893,3.87819103617289E-5,
247,115503,750,4.296752322649094E-5,
248,115504,2436,4.067905507546467E-5,
249,115505,2096,3.7402189289982443E-5,
250,115506,7486,1.4696643130756126E-5,
251,115507,574,2.8682515522858144E-5,
252,115508,7481,2.490423029168018E-5,
253,115509,7552,1.1443181486055942E-5,
254,115601,269,9.846081080473672E-7,
255,115602,21806,3.269441904209325E-5,
256,115603,1991,2.257637158204448E-5,
257,115604,2276,1.2998171862194262E-4,
258,115605,19149,1.9994379050327239E-4,
