system:index,PfafIDDomWW_yearY2014M12,countDomWW_yearY2014M12,meanDomWW_yearY2014M12,.geo
0,111011,2536,0.0059056505964877794,
1,111012,3921,5.329246558461499E-5,
2,111013,1194,1.5564005345397182E-4,
3,111014,5605,3.075996368726253E-5,
4,111015,21769,2.428070855426309E-4,
5,111016,2382,2.9216299620265165E-6,
6,111017,11168,1.0520035050771164E-4,
7,111018,2509,2.7005112195658146E-6,
8,111019,8353,2.027523489488225E-5,
9,111020,14779,9.320731124697855E-6,
10,111030,6961,9.351223684554824E-5,
11,111041,17205,3.7415092451734345E-5,
12,111042,6643,4.072014484636805E-5,
13,111043,349,5.1206425409532935E-5,
14,111044,6597,5.1627823063459414E-5,
15,111045,7591,3.913455042275313E-5,
16,111046,4623,1.2560688397043394E-5,
17,111047,903,5.0566133881630835E-5,
18,111048,4457,5.0554145915656495E-5,
19,111049,4490,3.7324640023269236E-5,
20,111050,20250,5.410877198162189E-5,
21,111060,5660,2.8200529380828537E-4,
22,111070,13788,0.002968437099725803,
23,111081,5223,0.0012392238665456558,
24,111082,18754,2.2373164471368927E-4,
25,111083,6133,1.860050296715464E-4,
26,111084,15194,2.9934503050611707E-4,
27,111085,10124,5.928900856163568E-5,
28,111086,2528,2.148597187158294E-5,
29,111087,13852,6.955800279858335E-5,
30,111088,3118,1.9383312820408924E-4,
31,111089,2844,1.9676613399669335E-4,
32,111090,510,9.59625906327722E-5,
33,111091,212,0.002355802402306511,
34,111092,2946,0.002421975637194168,
35,111093,19956,4.4455081737482667E-4,
36,111094,2485,9.71979455937848E-5,
37,111095,1794,5.987288130429328E-5,
38,111096,2707,2.542470734714427E-4,
39,111097,2700,3.717413065848823E-4,
40,111098,3449,5.190074123416842E-4,
41,111099,5594,7.537015951616391E-5,
42,112011,3093,1.588897852361219E-5,
43,112012,21200,1.7095308680659746E-5,
44,112013,15552,2.169076577855442E-5,
45,112014,34480,2.1166826972618328E-5,
46,112015,4666,1.1528606675007926E-5,
47,112016,11966,6.0510104488626154E-5,
48,112017,13480,3.845519673262106E-5,
49,112018,14831,6.493271493431664E-5,
50,112019,46077,9.41046556321337E-5,
51,112020,1906,3.9617833007413255E-5,
52,112030,2337,7.658690668253296E-6,
53,112041,4145,3.880952778761639E-5,
54,112042,9610,2.3072632863386393E-5,
55,112043,1103,3.2123612433339845E-5,
56,112044,5576,2.390014340341879E-5,
57,112045,2564,2.216493275340488E-5,
58,112046,18320,4.61235101095483E-5,
59,112047,22718,4.5202952097289746E-5,
60,112048,6256,7.42008046530688E-5,
61,112049,17069,1.3323234066469513E-4,
62,112050,8062,2.497249472804645E-5,
63,112060,9065,3.3579591949795616E-5,
64,112070,2276,5.220341512517747E-5,
65,112111,39164,1.9441195756065717E-4,
66,112112,4819,3.5902451709429785E-5,
67,112113,7180,2.2785638311460796E-5,
68,112114,4624,5.4272158796236446E-5,
69,112115,1326,3.163343466158265E-5,
70,112116,4584,5.366435240651759E-5,
71,112117,2017,1.9112196404801805E-5,
72,112118,4443,2.7247417155397787E-4,
73,112119,6741,7.348249356539087E-5,
74,112120,6306,5.445694054346141E-6,
75,112130,3588,4.347181276721375E-6,
76,112140,5675,1.0044911508749736E-5,
77,112150,567,3.487865069517569E-6,
78,112160,4941,9.160389520991422E-6,
79,112170,17030,9.7883475968978E-6,
80,112180,5677,1.0653185819205856E-5,
81,112190,13172,1.0077915225106397E-5,
82,112200,33905,1.2992207675696835E-5,
83,112300,8315,1.7207026360770534E-5,
84,112400,30830,2.348051423804144E-5,
85,112500,806,1.595655923080833E-5,
86,112600,7692,1.7359709719145247E-5,
87,112700,9177,1.6089857662416078E-5,
88,112801,6769,1.0723073227537471E-5,
89,112802,7135,5.746373183947494E-6,
90,112803,17267,4.112884129930888E-6,
91,112804,9185,2.6344762463036325E-5,
92,112805,5556,9.005120855666069E-6,
93,112806,6540,2.0125569811981654E-5,
94,112807,9643,1.010459833837499E-5,
95,112808,3496,1.7732033319858258E-5,
96,112809,10746,7.074821481366818E-5,
97,112901,27,2.4592677348943066E-5,
98,112902,3218,1.2047285440942685E-5,
99,112903,1169,1.0895198344847169E-5,
100,112904,2951,1.6860569641926932E-5,
101,112905,37,1.737200993140439E-5,
102,112906,2413,2.0618672558392352E-5,
103,112907,779,2.2288016499682955E-5,
104,112908,5204,1.981500829768298E-5,
105,112909,20422,1.4534977795361694E-4,
106,113000,4675,0.0,
107,114001,54761,7.077104764407571E-5,
108,114002,2390,1.62988646456361E-5,
109,114100,1656,8.653360956280215E-5,
110,114210,16802,1.1540642856997854E-5,
111,114221,2409,8.6116571161302E-6,
112,114222,5839,9.913555014923385E-6,
113,114223,174,1.0856698499926952E-5,
114,114224,77580,1.2900035975164567E-4,
115,114225,2250,8.683556598805279E-6,
116,114226,17050,1.0032251844307785E-4,
117,114227,24212,1.271062242466095E-4,
118,114228,5771,1.0729113049709009E-4,
119,114229,9213,1.067252013460761E-4,
120,114230,2510,6.1058982641313374E-6,
121,114240,9987,8.82179369293881E-5,
122,114250,4469,2.4175966385014708E-4,
123,114260,6798,1.6987445615677073E-4,
124,114270,14977,1.6843548205657186E-4,
125,114281,1050,4.712373965933273E-5,
126,114282,6319,4.156285718116586E-5,
127,114283,60,5.703971806465503E-5,
128,114284,14492,1.1700161149310612E-4,
129,114285,1297,4.093276155253391E-5,
130,114286,6726,1.086064893623471E-4,
131,114287,4228,1.6875194845327994E-4,
132,114288,2619,2.834534615644168E-4,
133,114289,5390,5.359138762158164E-4,
134,114290,26586,0.0013011534961745147,
135,114300,722,4.679593622958776E-4,
136,114410,3376,2.0652539951296993E-5,
137,114411,11647,2.8263858948483226E-5,
138,114412,3525,4.5214993953847835E-5,
139,114413,15127,3.980386474896735E-5,
140,114414,3267,3.0525546090695995E-5,
141,114415,1,2.203920839287172E-5,
142,114416,4264,3.511010812898192E-5,
143,114417,542,2.116750720242657E-5,
144,114418,12522,2.3773961992629213E-5,
145,114419,3385,2.0892797824757894E-5,
146,114420,17640,2.5162881017282536E-5,
147,114430,12313,4.496084251668536E-5,
148,114441,1660,1.8101710752082135E-4,
149,114442,3796,1.4443223469775489E-4,
150,114443,23070,2.0962429677380323E-4,
151,114444,3586,1.001442716315982E-4,
152,114445,6066,1.1189577237146122E-4,
153,114446,8489,1.2972925465510636E-4,
154,114447,2883,2.4420650612551E-4,
155,114448,12265,3.3157359810402317E-4,
156,114449,8665,5.299468149003754E-4,
157,114450,473,9.466875027188132E-4,
158,114460,29132,1.958998055856327E-4,
159,114470,26976,1.7076520125718802E-4,
160,114480,17674,1.4700694186721018E-4,
161,114490,22455,2.920075444928579E-4,
162,114500,27914,2.7761596344214214E-5,
163,114601,5823,2.7670183047666974E-5,
164,114602,10662,6.0321727011060376E-5,
165,114603,506,1.828162685304924E-5,
166,114604,6933,3.724061710440374E-5,
167,114605,4090,5.170483590878262E-5,
168,114606,5583,1.306953233171178E-4,
169,114607,21267,3.104126387000512E-5,
170,114608,3869,1.9511369484516374E-5,
171,114609,2978,1.6731150289892296E-5,
172,114701,4745,1.615833315638251E-4,
