system:index,PfafIDIndWW_monthY2014M09,countIndWW_monthY2014M09,meanIndWW_monthY2014M09,.geo
0,111011,2536,0.0021438352010095035,
1,111012,3921,2.2831855063309997E-4,
2,111013,1194,6.92903278196487E-4,
3,111014,5605,1.7945257300792E-5,
4,111015,21769,5.403739398559038E-4,
5,111016,2382,1.314720659220329E-7,
6,111017,11168,7.744025966312254E-5,
7,111018,2509,7.687141659199116E-7,
8,111019,8353,3.127157265032684E-5,
9,111020,14779,8.433608603360957E-6,
10,111030,6961,6.37642590906309E-6,
11,111041,17205,0.0,
12,111042,6643,0.0,
13,111043,349,0.0,
14,111044,6597,0.0,
15,111045,7591,0.0,
16,111046,4623,0.0,
17,111047,903,0.0,
18,111048,4457,0.0,
19,111049,4490,0.0,
20,111050,20250,8.464754153604642E-6,
21,111060,5660,4.6227029748568815E-7,
22,111070,13788,1.0217633132105122E-4,
23,111081,5223,2.025954460462828E-6,
24,111082,18754,0.0,
25,111083,6133,0.0,
26,111084,15194,1.5799041683005526E-5,
27,111085,10124,0.0,
28,111086,2528,1.675705114595912E-6,
29,111087,13852,3.158161630330753E-6,
30,111088,3118,0.0,
31,111089,2844,1.0789281010019603E-5,
32,111090,510,0.0,
33,111091,212,3.6934777019513766E-6,
34,111092,2946,1.3133214357773226E-7,
35,111093,19956,6.927652857245282E-7,
36,111094,2485,1.31703990514404E-7,
37,111095,1794,0.0,
38,111096,2707,7.066691885551838E-6,
39,111097,2700,6.506889602931689E-5,
40,111098,3449,2.5108158865604276E-5,
41,111099,5594,1.7015781354754445E-7,
42,112011,3093,0.0,
43,112012,21200,0.0,
44,112013,15552,0.0,
45,112014,34480,0.0,
46,112015,4666,0.0,
47,112016,11966,0.0,
48,112017,13480,0.0,
49,112018,14831,0.0,
50,112019,46077,2.6156477640286935E-9,
51,112020,1906,0.0,
52,112030,2337,0.0,
53,112041,4145,0.0,
54,112042,9610,0.0,
55,112043,1103,0.0,
56,112044,5576,0.0,
57,112045,2564,0.0,
58,112046,18320,0.0,
59,112047,22718,7.312110535770668E-7,
60,112048,6256,0.0,
61,112049,17069,2.0810828053132917E-6,
62,112050,8062,0.0,
63,112060,9065,0.0,
64,112070,2276,0.0,
65,112111,39164,8.427360236369943E-6,
66,112112,4819,0.0,
67,112113,7180,0.0,
68,112114,4624,0.0,
69,112115,1326,0.0,
70,112116,4584,0.0,
71,112117,2017,0.0,
72,112118,4443,0.0,
73,112119,6741,0.0,
74,112120,6306,0.0,
75,112130,3588,0.0,
76,112140,5675,0.0,
77,112150,567,0.0,
78,112160,4941,0.0,
79,112170,17030,0.0,
80,112180,5677,0.0,
81,112190,13172,0.0,
82,112200,33905,0.0,
83,112300,8315,0.0,
84,112400,30830,0.0,
85,112500,806,0.0,
86,112600,7692,0.0,
87,112700,9177,0.0,
88,112801,6769,0.0,
89,112802,7135,0.0,
90,112803,17267,0.0,
91,112804,9185,0.0,
92,112805,5556,0.0,
93,112806,6540,0.0,
94,112807,9643,0.0,
95,112808,3496,0.0,
96,112809,10746,0.0,
97,112901,27,0.0,
98,112902,3218,0.0,
99,112903,1169,0.0,
100,112904,2951,0.0,
101,112905,37,0.0,
102,112906,2413,0.0,
103,112907,779,0.0,
104,112908,5204,0.0,
105,112909,20422,0.0,
106,113000,4675,2.4083926933253283E-7,
107,114001,54761,2.8606371209478815E-7,
108,114002,2390,0.0,
109,114100,1656,0.0,
110,114210,16802,0.0,
111,114221,2409,0.0,
112,114222,5839,0.0,
113,114223,174,0.0,
114,114224,77580,2.172333314534398E-6,
115,114225,2250,0.0,
116,114226,17050,0.0,
117,114227,24212,0.0,
118,114228,5771,0.0,
119,114229,9213,0.0,
120,114230,2510,0.0,
121,114240,9987,4.670356972705011E-9,
122,114250,4469,9.121283538856039E-6,
123,114260,6798,0.0,
124,114270,14977,5.088603932402164E-7,
125,114281,1050,0.0,
126,114282,6319,0.0,
127,114283,60,0.0,
128,114284,14492,7.821083931660929E-7,
129,114285,1297,0.0,
130,114286,6726,0.0,
131,114287,4228,0.0,
132,114288,2619,1.0883609079267017E-7,
133,114289,5390,3.077004506754031E-6,
134,114290,26586,1.4686187032266483E-5,
135,114300,722,0.0,
136,114410,3376,0.0,
137,114411,11647,0.0,
138,114412,3525,0.0,
139,114413,15127,0.0,
140,114414,3267,0.0,
141,114415,1,0.0,
142,114416,4264,0.0,
143,114417,542,0.0,
144,114418,12522,0.0,
145,114419,3385,0.0,
146,114420,17640,0.0,
147,114430,12313,6.2124792611328065E-9,
148,114441,1660,4.142229993425824E-7,
149,114442,3796,0.0,
150,114443,23070,0.0,
151,114444,3586,0.0,
152,114445,6066,1.3773710092966239E-6,
153,114446,8489,0.0,
154,114447,2883,1.3287950501910715E-5,
155,114448,12265,2.982447867971619E-7,
156,114449,8665,3.123098641699454E-5,
157,114450,473,1.4544343098941636E-5,
158,114460,29132,3.2018651625233357E-6,
159,114470,26976,0.0,
160,114480,17674,7.391658209701582E-7,
161,114490,22455,1.4902340004881254E-6,
162,114500,27914,0.0,
163,114601,5823,0.0,
164,114602,10662,0.0,
165,114603,506,0.0,
166,114604,6933,0.0,
167,114605,4090,0.0,
168,114606,5583,0.0,
169,114607,21267,0.0,
170,114608,3869,0.0,
171,114609,2978,0.0,
172,114701,4745,0.0,
173,114702,5013,0.0,
174,114703,5019,0.0,
175,114704,8359,0.0,
176,114705,9685,0.0,
177,114706,1442,0.0,
178,114707,446,0.0,
179,114708,1479,0.0,
180,114709,13,0.0,
181,114801,5712,0.0,
182,114802,3134,0.0,
183,114803,856,0.0,
184,114804,3306,0.0,
185,114805,5341,1.7594122726079893E-6,
186,114806,4465,0.0,
187,114807,8853,3.530282079476162E-6,
188,114808,9325,1.3257812761020712E-6,
189,114809,12520,1.7305030823284695E-5,
190,114910,24602,2.2964234695589287E-6,
191,114920,13186,0.0,
192,114931,367,0.0,
193,114932,6668,0.0,
194,114933,3381,0.0,
195,114934,4835,0.0,
196,114935,10129,0.0,
197,114936,1413,0.0,
198,114937,2005,0.0,
199,114938,7122,0.0,
200,114939,3723,0.0,
201,114940,17917,1.627599448376194E-6,
202,114950,8839,0.0,
203,114960,17499,3.5435384576446225E-5,
204,114970,3830,0.0,
205,114980,12419,7.564494930125193E-6,
206,114990,32085,5.400685356005929E-6,
207,115101,71040,2.637212268319728E-6,
208,115102,2813,4.176549735862946E-8,
209,115103,1057,0.0,
210,115201,4944,0.0,
211,115202,7332,2.395923701796966E-7,
212,115203,9279,5.112154780013684E-6,
213,115204,4711,0.0,
214,115205,18925,1.7456744451448691E-6,
215,115206,1020,3.718793112916993E-6,
216,115207,6669,9.385750810068236E-9,
217,115208,4606,8.577306675916127E-6,
218,115209,6567,3.7284316210183333E-5,
219,115300,31550,3.791477104490239E-5,
220,115410,59,0.0,
221,115421,2746,0.0,
222,115422,5910,0.0,
223,115423,190,0.0,
224,115424,27002,1.8473028448769739E-6,
225,115425,317,0.0,
226,115426,4129,0.0,
227,115427,2339,0.0,
228,115428,1980,0.0,
229,115429,11579,1.3978897477069544E-6,
230,115430,18309,0.0,
231,115440,14238,0.0,
232,115451,34,0.0,
233,115452,3041,0.0,
234,115453,6141,6.309390745017592E-8,
235,115454,5229,9.264851464736164E-6,
236,115455,8528,0.0,
237,115456,4944,0.0,
238,115457,740,0.0,
239,115458,4129,1.937688344175399E-6,
240,115459,17083,3.50893040158903E-6,
241,115460,8270,1.162239960642027E-8,
242,115470,9268,5.723040140641404E-6,
243,115480,12405,5.903440296369864E-6,
244,115490,6089,6.409720758912655E-5,
245,115501,6,0.0,
246,115502,8893,3.7301834028141426E-7,
247,115503,750,0.0,
248,115504,2436,0.0,
249,115505,2096,0.0,
250,115506,7486,6.093886134770097E-6,
251,115507,574,0.0,
252,115508,7481,0.0,
253,115509,7552,0.0,
254,115601,269,0.0,
255,115602,21806,1.5796691082762947E-8,
256,115603,1991,0.0,
257,115604,2276,1.5106665505969E-5,
258,115605,19149,2.422863302846166E-5,
259,115606,1710,1.6303869035440445E-4,
260,115607,4877,2.7971564257209774E-5,
261,115608,12255,3.0225332575049415E-5,
262,115711,18,0.0,
263,115712,7528,0.0,
264,115713,7,0.0,
265,115714,25076,2.7241838882170786E-5,
266,115715,13882,1.089832380138959E-5,
267,115716,6926,4.202618199230061E-6,
268,115717,32235,1.3519594608176761E-5,
269,115718,4428,5.46303712217167E-6,
270,115719,27564,2.4421455526231473E-4,
271,115720,175,5.501977142552228E-7,
272,115730,15209,5.399171623397083E-6,
273,115740,4470,0.0,
274,115750,4443,0.0,
275,115801,15355,1.4484270463922274E-5,
276,115802,8564,7.34418493868703E-7,
277,115803,22718,1.066567828888676E-5,
278,115804,1554,0.0,
279,115805,2794,0.0,
280,115806,5497,0.0,
281,115807,2697,0.0,
282,115808,8272,0.0,
283,115809,7022,1.6039840616946613E-5,
284,115900,20078,7.040242855801232E-6,
285,116001,3505,0.0,
286,116002,38883,2.8988466451990585E-6,
287,116003,3319,0.0,
288,116004,21261,1.6247836032604582E-6,
289,116005,3515,0.0,
290,116006,4365,0.0,
291,116007,6990,0.0,
292,116008,3767,0.0,
293,116009,7974,0.0,
294,117000,10611,2.6985127312678832E-5,
295,117100,200,0.0,
296,117101,327,0.0,
297,117102,12545,0.0,
298,117103,154,0.0,
299,117104,13065,2.445259780443649E-7,
300,117105,9005,0.0,
301,117106,6687,0.0,
302,117107,528,2.511950054599398E-7,
303,117108,11426,0.0,
304,117109,3709,1.0191592663684091E-5,
305,117201,2410,6.89828536485128E-7,
306,117202,9093,0.0,
307,117203,5632,1.5895121516025476E-7,
308,117204,15089,2.8163523380426167E-6,
309,117205,7273,0.0,
310,117206,15598,1.42226360677317E-6,
311,117207,2233,0.0,
312,117208,6528,0.0,
313,117209,47115,3.897284350422605E-5,
314,117300,3443,5.894957973169338E-5,
315,117310,1731,4.8510962149636264E-5,
316,117320,9733,1.8176354754699775E-6,
317,117321,35,4.922671558211271E-4,
318,117322,3445,2.140001323187392E-6,
319,117323,4536,4.593296794528504E-6,
320,117324,8445,5.780680662544457E-6,
321,117325,4901,1.0857185589590663E-5,
322,117326,10718,5.890189381382178E-6,
323,117327,860,0.0,
324,117328,3379,3.629163373431609E-5,
325,117329,8495,6.307735335090784E-4,
326,117331,962,1.6061197266760175E-4,
327,117332,8998,1.3112899041321593E-5,
328,117333,1609,3.99433568781659E-4,
329,117334,4584,1.798240015228238E-5,
330,117335,130,1.3946375007169179E-4,
331,117336,5124,1.310736931168453E-5,
332,117337,3766,4.3823795443742426E-5,
333,117338,7822,9.939281175485018E-8,
334,117339,4481,3.260255071053313E-5,
335,117340,3629,5.3136595361348015E-8,
336,117341,3562,1.142135184669835E-5,
337,117342,1453,1.9554037738139177E-6,
338,117343,225,6.743757682760925E-5,
339,117344,24075,1.1280117462381494E-7,
340,117345,1996,8.512288850723365E-6,
341,117346,2560,4.163282229230395E-6,
342,117347,7977,2.196218156527012E-6,
343,117348,6817,5.505281828126106E-5,
344,117349,7746,6.640588016394063E-5,
345,117350,9106,1.1509412570618515E-6,
346,117360,1417,0.0,
347,117361,8261,2.3543012088757917E-8,
348,117362,4616,1.2615434554451506E-6,
349,117363,1954,4.743346488986417E-6,
350,117364,3249,0.0,
351,117365,5139,1.0014071730914433E-6,
352,117366,3863,7.660883273649833E-7,
353,117367,10234,1.640520086951334E-6,
354,117368,3636,2.1825940188556073E-5,
355,117369,8350,2.8556789003119534E-8,
356,117370,289,1.4791652024278113E-6,
357,117380,20668,1.0594495594636482E-5,
358,117390,8986,1.2621263088567406E-4,
359,117400,31535,1.7130613361514847E-6,
360,117410,6659,1.2806989685474325E-6,
361,117420,9684,0.0,
362,117430,6244,0.0,
363,117441,7455,0.0,
364,117442,30064,0.0,
365,117443,1483,0.0,
366,117444,4685,4.4559054490785994E-7,
367,117445,6049,4.155943537833973E-6,
368,117446,6873,3.0447393114342977E-6,
369,117447,7098,1.514865781972795E-7,
370,117448,11424,9.92122677218925E-7,
371,117449,10133,1.1955920333036275E-6,
372,117450,23656,1.8114821002372971E-6,
373,117460,32576,6.5293814114056205E-9,
374,117470,3648,0.0,
375,117480,6353,9.399562374288518E-6,
376,117490,34383,5.701775621113756E-7,
377,117501,4101,1.433832883754802E-6,
378,117502,19773,0.0,
379,117503,131,2.43604221441826E-6,
380,117504,4880,1.9897471902554776E-7,
381,117505,1891,1.6927335577653522E-7,
382,117506,20274,0.0,
383,117507,1796,4.834592186927769E-6,
384,117508,7144,2.159416469063776E-6,
385,117509,6695,4.0217573354524995E-6,
386,117610,21194,7.344342035210463E-7,
387,117621,20963,0.0,
388,117622,7510,0.0,
389,117623,6148,0.0,
390,117624,5529,0.0,
391,117625,3107,0.0,
392,117626,5092,0.0,
393,117627,2338,0.0,
394,117628,4803,2.2324789346170995E-8,
395,117629,17441,1.3165271086395428E-6,
396,117630,7944,0.0,
397,117640,12237,5.496297033665179E-7,
398,117650,27139,4.941784739771201E-9,
399,117660,11080,4.863236525176832E-7,
400,117670,16159,2.222635103834989E-7,
401,117680,7373,3.3366535853986762E-6,
402,117690,8974,0.0,
403,117701,4237,1.993946167541205E-7,
404,117702,3062,6.692288272067828E-8,
405,117703,3098,1.0594365430804347E-6,
406,117704,29472,0.0,
407,117705,3488,0.0,
408,117706,12305,4.5855025730589067E-7,
409,117707,5022,2.425132190919481E-6,
410,117708,6600,5.408329367535766E-7,
411,117709,6,0.0,
412,117801,19386,5.838618949756876E-8,
