system:index,PfafIDIrrWN_monthY2014M03,countIrrWN_monthY2014M03,meanIrrWN_monthY2014M03,.geo
0,111011,2536,2.8762674874869537E-5,
1,111012,3921,0.0,
2,111013,1194,0.0,
3,111014,5605,0.0,
4,111015,21769,0.0,
5,111016,2382,0.0,
6,111017,11168,0.0,
7,111018,2509,0.0,
8,111019,8353,0.0,
9,111020,14779,0.0,
10,111030,6961,0.0,
11,111041,17205,0.0,
12,111042,6643,0.0,
13,111043,349,0.0,
14,111044,6597,0.0,
15,111045,7591,0.0,
16,111046,4623,0.0,
17,111047,903,0.0,
18,111048,4457,0.0,
19,111049,4490,0.0,
20,111050,20250,0.0,
21,111060,5660,1.246860891854206E-6,
22,111070,13788,1.1260246622676095E-4,
23,111081,5223,6.235536933102234E-4,
24,111082,18754,5.9784890879302605E-9,
25,111083,6133,0.0,
26,111084,15194,1.3066178681527538E-4,
27,111085,10124,1.7406968251378085E-8,
28,111086,2528,0.0,
29,111087,13852,3.894650116471401E-5,
30,111088,3118,0.0,
31,111089,2844,7.907511348355483E-5,
32,111090,510,2.6749799161338407E-5,
33,111091,212,0.004245214204700449,
34,111092,2946,0.0013569387346575,
35,111093,19956,7.177793100814025E-6,
36,111094,2485,2.7379916854092024E-5,
37,111095,1794,7.009263271705947E-5,
38,111096,2707,2.213792629572404E-4,
39,111097,2700,9.887249513234223E-5,
40,111098,3449,2.5007193903273014E-4,
41,111099,5594,1.1840368193916823E-5,
42,112011,3093,0.0,
43,112012,21200,0.0,
44,112013,15552,0.0,
45,112014,34480,0.0,
46,112015,4666,0.0,
47,112016,11966,0.0,
48,112017,13480,0.0,
49,112018,14831,0.0,
50,112019,46077,8.994284247049106E-5,
51,112020,1906,0.0,
52,112030,2337,0.0,
53,112041,4145,0.0,
54,112042,9610,0.0,
55,112043,1103,0.0,
56,112044,5576,0.0,
57,112045,2564,0.0,
58,112046,18320,0.0,
59,112047,22718,0.0,
60,112048,6256,0.0,
61,112049,17069,0.0,
62,112050,8062,0.0,
63,112060,9065,0.0,
64,112070,2276,0.0,
65,112111,39164,2.9675166847827575E-6,
66,112112,4819,0.0,
67,112113,7180,0.0,
68,112114,4624,7.311703968177038E-4,
