system:index,PfafIDIrrWW_monthY2014M05,countIrrWW_monthY2014M05,meanIrrWW_monthY2014M05,.geo
0,111011,2536,1.1953365184026028E-4,
1,111012,3921,0.0,
2,111013,1194,0.0,
3,111014,5605,0.0,
4,111015,21769,0.0,
5,111016,2382,0.0,
6,111017,11168,0.0,
7,111018,2509,0.0,
8,111019,8353,0.0,
9,111020,14779,0.0,
10,111030,6961,0.0,
11,111041,17205,0.0,
12,111042,6643,0.0,
13,111043,349,0.0,
14,111044,6597,0.0,
15,111045,7591,0.0,
16,111046,4623,0.0,
17,111047,903,0.0,
18,111048,4457,0.0,
19,111049,4490,0.0,
20,111050,20250,0.0,
21,111060,5660,0.0,
22,111070,13788,6.277217042930251E-4,
23,111081,5223,0.0034010594332826694,
24,111082,18754,0.0,
25,111083,6133,0.0,
26,111084,15194,1.6980732835775294E-4,
27,111085,10124,1.5385993365570385E-8,
28,111086,2528,0.0,
29,111087,13852,4.384905920249345E-5,
30,111088,3118,0.0,
31,111089,2844,9.593568909128997E-5,
32,111090,510,4.922698633385787E-5,
33,111091,212,0.023708573507686882,
34,111092,2946,0.007477698432777109,
35,111093,19956,2.2094964531563847E-5,
36,111094,2485,3.613347377386679E-5,
37,111095,1794,1.3833900293181987E-4,
38,111096,2707,4.0646952323418305E-4,
39,111097,2700,1.9007076090591835E-4,
40,111098,3449,4.3262094437268854E-4,
41,111099,5594,2.178953343740266E-5,
42,112011,3093,0.0,
43,112012,21200,0.0,
44,112013,15552,0.0,
45,112014,34480,0.0,
46,112015,4666,0.0,
47,112016,11966,0.0,
48,112017,13480,0.0,
49,112018,14831,0.0,
50,112019,46077,1.2222057616857588E-4,
51,112020,1906,0.0,
52,112030,2337,0.0,
53,112041,4145,0.0,
54,112042,9610,0.0,
55,112043,1103,0.0,
56,112044,5576,0.0,
57,112045,2564,0.0,
58,112046,18320,0.0,
59,112047,22718,0.0,
60,112048,6256,0.0,
61,112049,17069,0.0,
62,112050,8062,0.0,
63,112060,9065,0.0,
64,112070,2276,0.0,
65,112111,39164,7.842565099489144E-6,
66,112112,4819,0.0,
67,112113,7180,0.0,
68,112114,4624,5.338111856027873E-4,
69,112115,1326,0.0,
70,112116,4584,0.0017072007628029645,
71,112117,2017,0.0,
72,112118,4443,9.846372295837953E-4,
73,112119,6741,2.3213486678433986E-5,
74,112120,6306,2.940526772761023E-6,
75,112130,3588,0.0,
76,112140,5675,0.0,
77,112150,567,0.0,
78,112160,4941,0.0,
79,112170,17030,0.0,
80,112180,5677,0.0,
81,112190,13172,0.0,
82,112200,33905,0.0,
83,112300,8315,0.0,
84,112400,30830,0.0,
85,112500,806,0.0,
86,112600,7692,0.0,
87,112700,9177,0.0,
88,112801,6769,0.0,
89,112802,7135,0.0,
90,112803,17267,0.0,
91,112804,9185,0.0,
92,112805,5556,0.0,
93,112806,6540,0.0,
94,112807,9643,0.0,
95,112808,3496,2.7974772445557984E-6,
96,112809,10746,2.132420195492676E-4,
97,112901,27,0.0,
98,112902,3218,0.0,
99,112903,1169,0.0,
100,112904,2951,0.0,
101,112905,37,0.0,
102,112906,2413,0.0,
103,112907,779,0.0,
104,112908,5204,0.0,
105,112909,20422,5.703581542966893E-5,
106,113000,4675,0.0,
107,114001,54761,0.0,
108,114002,2390,0.0,
109,114100,1656,1.3943478865995754E-4,
110,114210,16802,1.8182250148960898E-5,
111,114221,2409,6.975668822617897E-7,
112,114222,5839,0.0,
113,114223,174,0.0,
114,114224,77580,1.237133606082478E-5,
115,114225,2250,0.0,
116,114226,17050,1.634565064886362E-5,
117,114227,24212,5.990888329997789E-6,
