system:index,PfafIDLivWN_monthY2014M09,countLivWN_monthY2014M09,meanLivWN_monthY2014M09,.geo
0,111011,2536,1.3652166835155893E-7,
1,111012,3921,6.616540462499106E-7,
2,111013,1194,5.116393776408635E-8,
3,111014,5605,2.1084865385536169E-7,
4,111015,21769,2.6862511384381666E-8,
5,111016,2382,1.1219657036854731E-8,
6,111017,11168,3.3705349698728415E-8,
7,111018,2509,9.576285479534322E-9,
8,111019,8353,4.177527955531412E-9,
9,111020,14779,3.150928635926095E-9,
10,111030,6961,8.54862624779879E-12,
11,111041,17205,1.5140614682690724E-8,
12,111042,6643,9.108885745537433E-9,
13,111043,349,4.788667598296927E-9,
14,111044,6597,1.3972549348211735E-8,
15,111045,7591,1.8684814316465987E-9,
16,111046,4623,7.181763125785743E-10,
17,111047,903,2.08678141090838E-9,
18,111048,4457,7.2064942696907744E-9,
19,111049,4490,1.8840176267192492E-8,
20,111050,20250,1.3694725931648026E-8,
21,111060,5660,2.5200331843914245E-8,
22,111070,13788,3.736702767035625E-7,
23,111081,5223,1.7291360283006771E-6,
24,111082,18754,2.443614168081622E-7,
25,111083,6133,5.925779424962257E-8,
26,111084,15194,5.032173476058239E-7,
27,111085,10124,5.946276520066814E-8,
28,111086,2528,3.6290032053956803E-7,
29,111087,13852,5.569254487613587E-7,
30,111088,3118,9.657458698088442E-7,
31,111089,2844,1.135354303516018E-6,
32,111090,510,3.760771554428062E-6,
33,111091,212,5.990473643425646E-6,
34,111092,2946,5.804598319821483E-6,
35,111093,19956,1.749238669405243E-7,
36,111094,2485,3.0970248573722655E-7,
37,111095,1794,3.971435959195172E-8,
38,111096,2707,4.781723218463268E-7,
39,111097,2700,2.7889325444771586E-7,
40,111098,3449,6.561684241554563E-7,
41,111099,5594,3.8436866387588566E-7,
42,112011,3093,9.171193585683062E-7,
43,112012,21200,1.22632026330926E-6,
44,112013,15552,7.185202712383497E-7,
45,112014,34480,6.416407965219851E-7,
46,112015,4666,7.797759350873242E-7,
47,112016,11966,3.1816456981183165E-8,
48,112017,13480,1.7994753097359675E-7,
49,112018,14831,3.82320137544146E-8,
50,112019,46077,7.910650379124617E-7,
51,112020,1906,7.226387213078173E-7,
52,112030,2337,8.044255441250809E-7,
53,112041,4145,1.1319037901026694E-6,
54,112042,9610,1.3787293382377706E-6,
55,112043,1103,1.2128016604510814E-6,
56,112044,5576,1.0503707609568173E-6,
57,112045,2564,9.743269192868111E-7,
58,112046,18320,4.4555144731843407E-7,
59,112047,22718,4.2528676795722536E-7,
60,112048,6256,1.4531286482888907E-14,
61,112049,17069,8.392979260161387E-7,
62,112050,8062,1.0873476868698142E-6,
63,112060,9065,9.685235489050926E-7,
64,112070,2276,1.431949714730912E-6,
65,112111,39164,1.7249927711119448E-7,
66,112112,4819,6.709489917012313E-7,
67,112113,7180,1.0393465735759434E-6,
68,112114,4624,6.629712205504966E-7,
69,112115,1326,6.489198608421848E-7,
70,112116,4584,1.0808178533149253E-6,
71,112117,2017,1.668906493624122E-6,
72,112118,4443,9.886986433804895E-7,
73,112119,6741,4.127412984762539E-7,
74,112120,6306,6.09696729181393E-7,
75,112130,3588,2.398216096908086E-6,
76,112140,5675,1.1760584393988754E-6,
77,112150,567,2.2975750029695813E-7,
78,112160,4941,1.0019984238137492E-6,
79,112170,17030,5.128363494237352E-7,
80,112180,5677,1.9023822693605831E-6,
81,112190,13172,7.284144911568346E-7,
82,112200,33905,6.567490736038503E-7,
83,112300,8315,1.184578523834046E-6,
84,112400,30830,8.931903894029728E-7,
85,112500,806,1.0839365521553302E-7,
86,112600,7692,7.70679717377387E-7,
87,112700,9177,7.644372171474918E-7,
88,112801,6769,9.60052501886115E-7,
89,112802,7135,7.372860759921746E-7,
90,112803,17267,7.943958416325058E-7,
91,112804,9185,8.692848575735171E-7,
92,112805,5556,8.123401127015917E-7,
93,112806,6540,8.615638728130527E-7,
94,112807,9643,9.84024756865238E-7,
95,112808,3496,1.048577884857226E-6,
96,112809,10746,1.2178845650445866E-6,
97,112901,27,1.3479102010446563E-7,
98,112902,3218,9.58960400375034E-7,
99,112903,1169,1.1445475324791994E-6,
100,112904,2951,1.0274321808945896E-6,
101,112905,37,9.531064166586688E-7,
102,112906,2413,9.694060215961804E-7,
103,112907,779,7.645300611239814E-7,
104,112908,5204,8.666824904837026E-7,
105,112909,20422,1.658202511425446E-6,
106,113000,4675,0.0,
107,114001,54761,1.5430755049724092E-6,
108,114002,2390,5.070326020109354E-7,
109,114100,1656,1.282476456523826E-6,
110,114210,16802,1.0193884677932645E-6,
111,114221,2409,1.056500656348427E-6,
112,114222,5839,2.2098453943667264E-6,
113,114223,174,9.450579008241153E-7,
114,114224,77580,7.68214712720475E-7,
115,114225,2250,1.975287975743599E-6,
116,114226,17050,1.56384369157174E-6,
117,114227,24212,1.6705035823770184E-6,
118,114228,5771,1.9879229909903063E-6,
119,114229,9213,2.799825412971873E-6,
120,114230,2510,1.0852277598054447E-6,
