system:index,PfafIDrunoff_month_M01,countrunoff_month_M01,meanrunoff_month_M01,.geo
0,111011,2479,9.823626742533241E-5,
1,111012,3914,2.7368711742925386E-5,
2,111013,1141,2.613531332559244E-5,
3,111014,5605,8.437087559757878E-7,
4,111015,21086,1.717402202443341E-8,
5,111016,2382,2.4530526527872603E-9,
6,111017,10902,4.3239620764478145E-9,
7,111018,2506,-1.0220556233368595E-10,
8,111019,8039,8.761092963392727E-7,
9,111020,14779,5.9225974547854224E-6,
10,111030,6859,4.410088768550198E-6,
11,111041,17198,5.220673555865446E-5,
12,111042,6643,1.8211272369522267E-5,
13,111043,349,1.3982536205623427E-5,
14,111044,6597,1.5986971632508381E-4,
15,111045,7591,1.3706420042199001E-5,
16,111046,4623,7.98093438502354E-6,
17,111047,903,1.0778200366468735E-6,
18,111048,4457,1.6093885819252192E-5,
19,111049,4490,3.537957062883108E-5,
20,111050,19515,1.2653641878638332E-4,
21,111060,5660,2.2223201040613239E-4,
22,111070,13666,9.326394614580647E-4,
23,111081,5213,-9.97779876791551E-4,
24,111082,18754,9.740232174628972E-4,
25,111083,6133,0.001389047899476735,
26,111084,15194,7.231045494229141E-4,
27,111085,10124,8.774185468400089E-4,
28,111086,2528,4.1089036446721786E-5,
29,111087,13852,1.182022817982209E-4,
30,111088,3118,2.4434081721843177E-4,
31,111089,2844,2.5899293797210823E-4,
32,111090,510,0.005105647921302836,
33,111091,204,-0.0353715687364636,
34,111092,2946,0.0015290030343303408,
35,111093,19488,0.00222736484873591,
36,111094,2475,0.003562224673541301,
37,111095,1771,0.009625428869172593,
38,111096,2707,0.006895497596407502,
39,111097,2562,0.007777414028160452,
40,111098,3435,0.004699911326830146,
41,111099,4503,0.005763694658899158,
42,112011,3093,0.0015756830340183387,
43,112012,21200,6.873197666612712E-4,
44,112013,15552,0.0013086256351416846,
45,112014,34480,9.136833904913429E-4,
46,112015,4666,0.0016145331344811149,
47,112016,11966,7.107289923298691E-4,
48,112017,13480,8.412882970758785E-4,
49,112018,14831,3.6426682573122816E-4,
50,112019,46077,6.799891794751415E-4,
51,112020,1906,4.526088917199431E-4,
52,112030,2337,2.2036431163655184E-4,
53,112041,4145,2.0236975728535157E-5,
54,112042,9610,4.712400094055495E-4,
55,112043,1103,1.6961986971865684E-5,
56,112044,5576,4.297811603146101E-4,
57,112045,2564,2.5117969621386877E-6,
58,112046,18320,7.458242032881206E-4,
59,112047,22718,6.770002743075325E-4,
60,112048,6256,4.8686838700851627E-4,
61,112049,17069,0.001005497392448338,
62,112050,8062,4.760950098849336E-4,
63,112060,9044,0.001674996679066428,
64,112070,2276,5.395816411693116E-5,
65,112111,38098,0.0015876580659887403,
66,112112,4819,0.0026423937085812647,
67,112113,7103,7.077056174137767E-4,
68,112114,4624,0.0014078068533223784,
69,112115,1314,7.222091148613555E-4,
70,112116,4584,0.0021301803063465924,
71,112117,1995,6.742618604735727E-4,
72,112118,4443,9.550735553469536E-4,
73,112119,6706,9.711160053040265E-4,
74,112120,6306,0.0012289988309763657,
75,112130,3465,4.3103844611961403E-4,
76,112140,5654,6.728201401376219E-4,
77,112150,489,6.880364329899701E-4,
78,112160,4941,6.715369070711242E-4,
79,112170,16279,4.138394729794177E-4,
80,112180,5677,1.7400039145714882E-4,
81,112190,12627,1.4106674790657738E-4,
82,112200,33892,1.8733458237027456E-4,
83,112300,8109,2.870115223989576E-4,
84,112400,30829,5.142090495542162E-4,
85,112500,769,1.0741516601672695E-4,
86,112600,7681,4.7407306080826016E-4,
87,112700,9037,4.825824608339876E-4,
88,112801,6763,5.051234982740517E-4,
89,112802,7135,5.378683727034801E-4,
90,112803,17267,7.814755421949421E-4,
91,112804,9185,6.795335285667617E-4,
92,112805,5556,6.843708999226183E-4,
93,112806,6540,5.524614804062995E-4,
94,112807,9643,6.768743446111409E-4,
95,112808,3496,9.795719333964758E-4,
96,112809,10746,9.445353808951073E-4,
97,112901,25,2.1277753291618163E-4,
98,112902,3218,6.612242466992E-4,
99,112903,1119,6.907952774982907E-4,
100,112904,2948,7.704133993613217E-4,
101,112905,32,8.644951158203185E-4,
102,112906,2394,0.0011134592098328156,
103,112907,744,0.0013058139025493578,
104,112908,5204,8.499930611375457E-4,
105,112909,19271,0.0018267684206850951,
106,113000,4073,2.313320112898138E-4,
107,114001,54761,0.009098598383930677,
108,114002,2390,0.0031965815848427124,
109,114100,1621,-7.505758766841783E-4,
110,114210,16802,0.0013405081378899829,
111,114221,2409,0.0017351848030328027,
112,114222,5839,0.0013808336189063944,
113,114223,174,7.491546058380671E-4,
