PFAF_ID,SUB_NAME,MAJ_NAME
111011,[Wadi El Naqa],"[Africa, Red Sea - Gulf of Aden Coast]"
111012,[Egyptian east coast],"[Africa, Red Sea - Gulf of Aden Coast]"
111013,[Egyptian east coast],"[Africa, Red Sea - Gulf of Aden Coast]"
111014,[Egyptian east coast],"[Africa, Red Sea - Gulf of Aden Coast]"
111015,[Egyptian east coast],"[Africa, Red Sea - Gulf of Aden Coast]"
111016,[Egyptian east coast],"[Africa, Red Sea - Gulf of Aden Coast]"
111017,[Egyptian east coast],"[Africa, Red Sea - Gulf of Aden Coast]"
111018,[Egyptian east coast],"[Africa, Red Sea - Gulf of Aden Coast]"
111019,[Egyptian east coast],"[Africa, Red Sea - Gulf of Aden Coast]"
111020,[Egyptian east coast],"[Africa, Red Sea - Gulf of Aden Coast]"
111030,[Egyptian east coast],"[Africa, Red Sea - Gulf of Aden Coast]"
111041,[Odib],"[Africa, Red Sea - Gulf of Aden Coast]"
111042,[Odib],"[Africa, Red Sea - Gulf of Aden Coast]"
111043,[Odib],"[Africa, Red Sea - Gulf of Aden Coast]"
111044,[Odib],"[Africa, Red Sea - Gulf of Aden Coast]"
111045,[Odib],"[Africa, Red Sea - Gulf of Aden Coast]"
111046,[Odib],"[Africa, Red Sea - Gulf of Aden Coast]"
111047,[Odib],"[Africa, Red Sea - Gulf of Aden Coast]"
111048,[Odib],"[Africa, Red Sea - Gulf of Aden Coast]"
111049,[Odib],"[Africa, Red Sea - Gulf of Aden Coast]"
111050,"[Odib, Sudanese east coast]","[Africa, Red Sea - Gulf of Aden Coast, Africa, Red Sea - Gulf of Aden Coast]"
111060,[Sudanese east coast],"[Africa, Red Sea - Gulf of Aden Coast]"
111070,[Sudanese east coast],"[Africa, Red Sea - Gulf of Aden Coast]"
111081,[Nahr al Qash],"[Africa, Red Sea - Gulf of Aden Coast]"
111082,[Nahr al Qash],"[Africa, Red Sea - Gulf of Aden Coast]"
111083,[Nahr al Qash],"[Africa, Red Sea - Gulf of Aden Coast]"
111084,[Nahr al Qash],"[Africa, Red Sea - Gulf of Aden Coast]"
111085,[Nahr al Qash],"[Africa, Red Sea - Gulf of Aden Coast]"
111086,[Nahr al Qash],"[Africa, Red Sea - Gulf of Aden Coast]"
111087,[Nahr al Qash],"[Africa, Red Sea - Gulf of Aden Coast]"
111088,[Nahr al Qash],"[Africa, Red Sea - Gulf of Aden Coast]"
111089,[Nahr al Qash],"[Africa, Red Sea - Gulf of Aden Coast]"
111090,[Erythrean coast],"[Africa, Red Sea - Gulf of Aden Coast]"
111091,[Nahr al Qash],"[Africa, Red Sea - Gulf of Aden Coast]"
111092,[Nahr al Qash],"[Africa, Red Sea - Gulf of Aden Coast]"
111093,"[Nahr al Qash, Erythrean coast]","[Africa, Red Sea - Gulf of Aden Coast, Africa, Red Sea - Gulf of Aden Coast]"
111094,[Erythrean coast],"[Africa, Red Sea - Gulf of Aden Coast]"
111095,[Erythrean coast],"[Africa, Red Sea - Gulf of Aden Coast]"
111096,[Erythrean coast],"[Africa, Red Sea - Gulf of Aden Coast]"
111097,[Erythrean coast],"[Africa, Red Sea - Gulf of Aden Coast]"
111098,[Erythrean coast],"[Africa, Red Sea - Gulf of Aden Coast]"
111099,[Erythrean coast],"[Africa, Red Sea - Gulf of Aden Coast]"
112011,[Ogaden],"[Africa, Red Sea - Gulf of Aden Coast]"
112012,[Ogaden],"[Africa, Red Sea - Gulf of Aden Coast]"
112013,[Ogaden],"[Africa, Red Sea - Gulf of Aden Coast]"
112014,[Ogaden],"[Africa, Red Sea - Gulf of Aden Coast]"
112015,[Ogaden],"[Africa, Red Sea - Gulf of Aden Coast]"
112016,[Ogaden],"[Africa, Red Sea - Gulf of Aden Coast]"
112017,[Ogaden],"[Africa, Red Sea - Gulf of Aden Coast]"
112018,[Ogaden],"[Africa, Red Sea - Gulf of Aden Coast]"
112019,[Ogaden],"[Africa, Red Sea - Gulf of Aden Coast]"
112020,[Ogaden],"[Africa, Red Sea - Gulf of Aden Coast]"
112030,[Ogaden],"[Africa, Red Sea - Gulf of Aden Coast]"
112041,[Ogaden],"[Africa, Red Sea - Gulf of Aden Coast]"
112042,[Ogaden],"[Africa, Red Sea - Gulf of Aden Coast]"
112043,[Ogaden],"[Africa, Red Sea - Gulf of Aden Coast]"
112044,[Ogaden],"[Africa, Red Sea - Gulf of Aden Coast]"
112045,[Ogaden],"[Africa, Red Sea - Gulf of Aden Coast]"
112046,[Ogaden],"[Africa, Red Sea - Gulf of Aden Coast]"
112047,[Ogaden],"[Africa, Red Sea - Gulf of Aden Coast]"
112048,[Ogaden],"[Africa, Red Sea - Gulf of Aden Coast]"
112049,[Ogaden],"[Africa, Red Sea - Gulf of Aden Coast]"
112050,[Ogaden],"[Africa, Red Sea - Gulf of Aden Coast]"
112060,[Ogaden],"[Africa, Red Sea - Gulf of Aden Coast]"
112070,[Shebelli 1],[Shebelli - Juba]
112111,"[Somalian north coast, Erythrean coast, Djiboutan north east coast]","[Africa, Red Sea - Gulf of Aden Coast, Africa, Red Sea - Gulf of Aden Coast, Africa, Red Sea - Gulf of Aden Coast]"
112112,[Somalian north coast],"[Africa, Red Sea - Gulf of Aden Coast]"
112113,[Somalian north coast],"[Africa, Red Sea - Gulf of Aden Coast]"
112114,[Somalian north coast],"[Africa, Red Sea - Gulf of Aden Coast]"
112115,[Somalian north coast],"[Africa, Red Sea - Gulf of Aden Coast]"
112116,[Somalian north coast],"[Africa, Red Sea - Gulf of Aden Coast]"
112117,[Somalian north coast],"[Africa, Red Sea - Gulf of Aden Coast]"
112118,[Somalian north coast],"[Africa, Red Sea - Gulf of Aden Coast]"
112119,[Somalian north coast],"[Africa, Red Sea - Gulf of Aden Coast]"
112120,[Somalian north coast],"[Africa, Red Sea - Gulf of Aden Coast]"
112130,[Somalian north coast],"[Africa, Red Sea - Gulf of Aden Coast]"
112140,[Somalian north coast],"[Africa, Red Sea - Gulf of Aden Coast]"
