OBJECTID,ID_0,ISO,NAME_0,ID_1,NAME_1,TYPE_1,ENGTYPE_1,NL_NAME_1,VARNAME_1,Shape_Leng,Shape_Area,provinceID
1,1,AFG,Afghanistan,1,Badakhshan,Velayat,Province,,Badahšan,19.50877493110,4.42520049261,1
2,1,AFG,Afghanistan,2,Badghis,Velayat,Province,,Badghes|Badghisat|Badgis,7.46704044543,2.03651381525,2
3,1,AFG,Afghanistan,3,Baghlan,Velayat,Province,,Baglan|Bughlan,8.38252288028,2.10343851779,3
4,1,AFG,Afghanistan,4,Balkh,Velayat,Province,,Balh|Mazar-i-Sharif|Mazar,7.18234308282,1.73879121746,4
5,1,AFG,Afghanistan,5,Bamyan,Velayat,Province,,,7.35319279875,1.39488223863,5
6,1,AFG,Afghanistan,6,Daykundi,Velayat,Province,,<Null>,7.06772075314,1.74260108500,6
7,1,AFG,Afghanistan,7,Farah,Velayat,Province,,,12.53951064240,4.65378918666,7
8,1,AFG,Afghanistan,8,Faryab,Velayat,Province,,Fariab|Maimana|Meymaneh,8.48827473257,2.03055980255,8
9,1,AFG,Afghanistan,9,Ghazni,Velayat,Province,,Gazni,9.33648332866,2.21842716682,9
10,1,AFG,Afghanistan,10,Ghor,Velayat,Province,,Gawr|Ghore|Ghour|Ghur,12.39093144350,3.56658739537,10
11,1,AFG,Afghanistan,11,Hilmand,Velayat,Province,,Girishk|Hilmend,11.51977507130,5.53517360700,11
12,1,AFG,Afghanistan,12,Hirat,Velayat,Province,,,14.00839387910,5.35367696304,12
13,1,AFG,Afghanistan,13,Jawzjan,Velayat,Province,,Jaozjan|Jozjan|Juzjan|Jouzjan|Shibarghan,6.10251605636,1.19200446914,13
14,1,AFG,Afghanistan,14,Kabul,Velayat,Province,,Cabul|Kabol|Kaboul,3.71140101373,0.43853277723,14
15,1,AFG,Afghanistan,15,Kandahar,Velayat,Province,,Qandahar,12.32733773730,5.05267619945,15
16,1,AFG,Afghanistan,16,Kapisa,Velayat,Province,,Kapesa,2.26343919666,0.18822406376,16
17,1,AFG,Afghanistan,17,Khost,Velayat,Province,,,3.29544260679,0.38972087688,17
18,1,AFG,Afghanistan,18,Kunar,Velayat,Province,,Konarha|Kunarha,3.85837308969,0.48266420818,18
19,1,AFG,Afghanistan,19,Kunduz,Velayat,Province,,Kondoz|Qonduz|Qunduz,4.55177857007,0.81247339897,19
20,1,AFG,Afghanistan,20,Laghman,Velayat,Province,,Lagman,3.19940869438,0.37827082962,20
21,1,AFG,Afghanistan,21,Logar,Velayat,Province,,Lawghar|Loghar,2.90540151793,0.37756740983,21
22,1,AFG,Afghanistan,22,Nangarhar,Velayat,Province,,Ningrahar|Eastern Province,4.71639812597,0.73112665290,22
23,1,AFG,Afghanistan,23,Nimroz,Velayat,Province,,Neemroze|Nimrod|Nimrooz|Nimroze|Chakhansur,9.51022578958,3.86167712288,23
24,1,AFG,Afghanistan,24,Nuristan,Velayat,Province,,Nooristan|Nuristão,5.65260161551,0.91545281799,24
25,1,AFG,Afghanistan,25,Paktika,Velayat,Province,,Paktiya|Paktya|Southern Province,7.19306797745,1.82866377314,25
26,1,AFG,Afghanistan,26,Paktya,Velayat,Province,,Paktiya|Southern Province,4.40585545882,0.62512393399,26
27,1,AFG,Afghanistan,27,Panjshir,Velayat,Province,,<Null>,3.33815650781,0.36094366838,27
28,1,AFG,Afghanistan,28,Parwan,Velayat,Province,,Charikar,4.86435805849,0.58128514361,28
29,1,AFG,Afghanistan,29,Samangan,Velayat,Province,,,5.30702071982,1.12515450163,29
30,1,AFG,Afghanistan,30,Sari Pul,Velayat,Province,,Sar-e Pul|Saripol,7.54047245572,1.59374515581,30
31,1,AFG,Afghanistan,31,Takhar,Velayat,Province,,Takar,6.43321445704,1.24418524450,31
32,1,AFG,Afghanistan,32,Uruzgan,Velayat,Province,,Urozgan,5.94681285299,1.23870262003,32
33,1,AFG,Afghanistan,33,Wardak,Velayat,Province,,Verdak|Wardag|Maiden,5.32458848463,0.87399209703,33
34,1,AFG,Afghanistan,34,Zabul,Velayat,Province,,Zubul|Zaboul,7.53810237590,1.65775866506,34
35,2,XAD,Akrotiri and Dhekelia,1,"Akrotiri
",Sovereign Base Area,Sovereign Base Area,,Western Sovereign Base Area,1.04115050264,0.01072911842,35
36,2,XAD,Akrotiri and Dhekelia,2,Dhekelia,Sovereign Base Area,Sovereign Base Area,,Eastern Sovereign Base Area,1.15790772318,0.01237686745,36
37,3,ALA,Åland,1,Brändö,Municipality,Municipality,,Braendoe,4.07075046144,0.01251400126,37
38,3,ALA,Åland,2,Eckerö,Municipality,Municipality,,Eckeroe,1.80528310398,0.01678869815,38
39,3,ALA,Åland,3,Föglö,Municipality,Municipality,,Foegloe,8.99260834109,0.02258235937,39
40,3,ALA,Åland,4,Finström,Municipality,Municipality,,Finstroem,1.11916751685,0.02611525779,40
41,3,ALA,Åland,5,Geta,Municipality,Municipality,,,1.25845485078,0.01333278080,41
42,3,ALA,Åland,6,Hammarland,Municipality,Municipality,,,1.73218271457,0.02171457641,42
43,3,ALA,Åland,7,Jomala,Municipality,Municipality,,,1.26489288264,0.02207131937,43
44,3,ALA,Åland,8,Kökar,Municipality,Municipality,,Koekar,10.17649378640,0.01254009092,44
45,3,ALA,Åland,9,Kumlinge,Municipality,Municipality,,,2.83830641186,0.01230472537,45
46,3,ALA,Åland,10,Lemland,Municipality,Municipality,,,3.84341794924,0.01886072256,46
